season,player_id,player_name,goals,bigChancesMissed,successfulDribbles,successfulDribblesPercentage,totalShots,shotsOnTarget,shotsOffTarget,blockedShots,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,goalsFromInsideTheBox,goalsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,hitWoodwork,offsides,penaltyConversion,setPieceConversion,rating,tackles,interceptions,clearances,ownGoals,dribbledPast,bigChancesCreated,assists,accuratePasses,inaccuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,saves,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,possessionLost,appearances,player_slug,player_userCount,team_name,team_slug
2017,12994,Lionel Messi,34,18,185,71.98,197,96,57,44,17.26,4,2,0,26,8,0,32,2,14,13,50,12.5,8.48,17,7,0,0,16,30,12,1529,354,1883,81.2,252,1288,846,89,11,21.15,75,67.57,0,0,18,3,0,0,0,0,0,3,0,282,57.2,8,42.11,290,56.64,2996,80,17,107,693,36,lionel-messi,596400,Barcelona,barcelona
2017,750,Cristiano Ronaldo,26,22,31,60.78,178,77,63,38,14.61,4,3,1,26,0,5,7,14,8,40,75,0,7.9,7,6,14,0,5,8,5,597,135,732,81.56,123,481,291,38,7,20.59,13,59.09,0,0,25,4,0,0,0,0,0,1,0,56,44.8,34,53.97,90,47.87,2292,18,19,27,270,27,cristiano-ronaldo,565170,Real Madrid,real-madrid
2017,83486,Yoel Rodríguez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,0,0,3,0,0,0,0,13,26,39,33.33,0,13,1,0,0,0,13,34.21,5,3,0,0,1,4,3,0,0,0,0,0,0,0,0,0,0,90,0,0,0,26,1,yoel-rodriguez,39,Eibar,eibar
2017,26502,Toni Kroos,5,1,24,75,41,17,14,10,12.2,0,0,0,2,3,0,2,3,1,2,0,0,7.73,55,16,7,0,37,11,7,1927,143,2070,93.09,711,1262,609,65,46,31.08,167,87.89,0,0,28,4,0,0,0,0,0,4,0,117,59.39,11,61.11,128,59.53,2267,38,21,14,295,27,toni-kroos,49238,Real Madrid,real-madrid
2017,11378,Javier Mascherano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7,15,8,19,0,1,0,0,401,37,438,91.55,251,150,45,3,0,0,61,76.25,0,0,1,0,0,0,0,0,0,0,0,16,59.26,0,0,16,50,541,1,9,2,45,7,javier-mascherano,1687,Barcelona,barcelona
2017,19356,Iago Aspas,22,12,58,63.04,94,44,28,22,23.4,3,2,1,21,1,1,13,6,2,11,66.67,16.67,7.6,26,23,9,0,29,15,5,972,262,1234,78.77,300,683,405,69,11,17.74,51,69.86,0,0,42,4,0,0,0,0,0,9,0,145,52.92,16,28.57,161,48.79,2937,62,23,47,488,34,iago-aspas,4687,Celta Vigo,celta-vigo
2017,123865,Jasper Cillessen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,0,0,1,0,0,0,0,20,6,26,76.92,20,0,0,0,0,0,2,25,6,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,90,0,0,0,6,1,jasper-cillessen,1687,Barcelona,barcelona
2017,39182,Dani Parejo,7,0,46,76.67,45,21,17,7,15.56,6,6,0,6,1,0,0,7,1,2,100,4.55,7.59,88,34,23,0,56,9,7,2023,341,2364,85.58,800,1282,586,70,59,34.5,208,71.48,0,0,25,8,0,0,0,0,0,15,1,200,54.95,17,44.74,217,53.98,3005,67,47,48,568,34,dani-parejo,2201,Valencia,valencia
2017,15354,Gareth Bale,16,9,31,59.62,77,33,32,12,20.78,1,1,2,14,2,1,13,2,4,13,100,0,7.52,21,12,14,0,11,8,2,573,123,696,82.33,154,434,258,41,15,27.27,36,72,0,0,20,2,0,0,0,0,0,5,0,68,47.22,33,52.38,101,48.79,1803,16,25,20,258,26,gareth-bale,30721,Real Madrid,real-madrid
2017,16943,Luis Suárez,25,24,39,37.86,121,56,38,27,20.66,1,1,1,25,0,2,4,19,6,56,100,0,7.51,17,8,31,0,15,19,12,810,244,1054,76.85,196,615,410,58,1,8.33,45,67.16,0,0,21,4,0,0,0,0,0,8,0,104,38.95,13,59.09,117,40.48,2899,50,46,41,458,33,luis-suarez,66258,Barcelona,barcelona
2017,85859,Antoine Griezmann,19,11,28,60.87,72,40,21,11,26.39,2,2,1,17,2,1,12,6,4,26,100,12.5,7.49,36,10,10,0,20,13,9,798,230,1028,77.63,246,560,338,45,8,19.51,47,64.38,0,0,13,2,0,0,0,0,0,6,1,107,54.04,26,30.23,133,46.83,2529,44,24,32,373,32,antoine-griezmann,65479,Atlético Madrid,atletico-madrid
2017,119159,Philippe Coutinho,8,2,46,59.74,37,20,8,9,21.62,0,0,0,4,4,0,0,8,3,8,0,0,7.47,27,6,3,0,23,5,5,707,107,814,86.86,147,574,334,29,14,27.45,17,65.38,0,0,15,1,0,0,0,0,0,1,0,105,50.72,5,45.45,110,50.46,1303,32,12,36,266,18,philippe-coutinho,51984,Barcelona,barcelona
2017,26029,Filipe Luís,1,0,26,59.09,5,2,3,0,20,0,0,0,1,0,0,0,1,1,1,0,0,7.45,83,35,31,0,13,4,2,791,157,948,83.44,344,453,214,19,6,13.95,36,45,0,0,8,2,0,0,0,0,0,4,0,135,69.59,18,62.07,153,68.61,1660,27,16,13,274,20,filipe-luis,2806,Atlético Madrid,atletico-madrid
2017,212072,Iván López,0,0,4,100,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,1,8,1,0,0,1,1,56,14,70,80,29,29,16,1,2,25,7,53.85,0,0,2,0,0,0,0,0,0,0,0,5,100,1,100,6,100,175,0,0,0,28,3,ivan-lopez,6,Levante UD,levante-ud
2017,122951,Casemiro,5,2,11,64.71,32,12,14,6,15.63,0,0,0,5,0,2,1,2,0,2,0,0,7.35,109,63,45,0,42,5,3,1542,203,1745,88.37,821,723,301,24,2,33.33,152,74.88,0,0,29,4,0,0,0,0,0,8,0,187,57.54,63,61.76,250,58.55,2601,72,59,33,277,30,casemiro,62843,Real Madrid,real-madrid
2017,99519,Marc Bartra,1,1,22,91.67,13,4,7,2,7.69,0,0,0,1,0,1,0,0,0,0,0,0,7.34,38,32,94,0,18,1,0,937,155,1092,85.81,614,324,96,5,1,50,83,47.98,0,0,15,0,0,0,0,0,0,6,0,76,64.41,51,65.38,127,64.8,1421,16,20,7,187,16,marc-bartra,925,Real Betis,real-betis
2017,15466,Luka Modrić,1,1,48,76.19,35,8,18,9,2.86,0,0,1,0,1,0,0,1,1,0,0,0,7.34,33,31,7,0,26,8,6,1390,157,1547,89.85,496,897,472,40,3,16.67,126,79.75,0,0,16,3,0,0,0,0,0,3,0,112,58.03,7,36.84,119,56.13,1976,31,20,20,242,26,luka-modric,94765,Real Madrid,real-madrid
