season,player_id,player_name,goals,bigChancesMissed,successfulDribbles,successfulDribblesPercentage,totalShots,shotsOnTarget,shotsOffTarget,blockedShots,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,goalsFromInsideTheBox,goalsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,hitWoodwork,offsides,penaltyConversion,setPieceConversion,rating,tackles,interceptions,clearances,ownGoals,dribbledPast,bigChancesCreated,assists,accuratePasses,inaccuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,saves,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,possessionLost,appearances,player_slug,player_userCount,team_name,team_slug
2021,797290,Alfonso Pedraza,4,0,31,50.82,22,8,10,4,18.18,0,0,0,4,0,1,2,1,2,2,0,0,6.93,34,31,29,0,18,6,4,565,167,732,77.19,232,349,195,24,16,15.84,19,26.03,0,0,17,1,0,0,0,0,0,2,0,91,47.15,14,50,105,47.51,1703,26,35,19,383,28,alfonso-pedraza,530,Villarreal,villarreal
2021,556884,Matías Dituro,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93,0,0,28,0,0,0,0,799,529,1328,60.17,578,221,53,1,0,0,362,41.04,96,29,38,5,18,11,11,31,0,1,0,2,100,8,100,10,100,3420,2,1,0,541,38,matias-dituro,346,Celta Vigo,celta-vigo
2021,294377,Sergio Herrera,0,0,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93,3,1,27,0,3,0,0,592,488,1080,54.81,235,357,107,1,0,0,410,46.07,101,39,44,4,9,31,30,21,2,3,0,11,78.57,9,100,20,86.96,3240,9,0,0,495,36,sergio-herrera,345,Osasuna,osasuna
2021,914522,Edgar González,1,1,4,100,5,1,4,0,20,0,0,0,1,0,0,0,1,0,0,0,0,6.93,25,23,81,0,7,3,1,794,108,902,88.03,593,201,36,3,0,0,40,51.95,0,0,19,2,0,0,0,0,0,6,0,37,57.81,32,47.76,69,52.67,1464,8,21,1,118,21,edgar-gonzalez,244,Real Betis,real-betis
2021,805078,Mathías Olivera,1,4,27,50,24,7,12,5,4.17,0,0,0,1,0,1,0,0,1,3,0,0,6.93,79,55,55,0,29,4,3,755,297,1052,71.77,306,461,234,31,12,19.05,33,37.93,0,0,27,1,0,0,0,0,0,10,0,152,51.18,111,49.55,263,50.48,2807,46,55,38,547,32,mathias-olivera,1645,Getafe,getafe
2021,96373,José Campaña,2,1,21,60,13,6,3,4,15.38,1,0,0,2,0,0,0,2,0,1,0,0,6.93,27,21,19,0,20,1,2,703,115,818,85.94,295,417,210,24,9,16.07,39,60.94,0,0,25,3,0,0,0,0,0,6,1,70,53.85,17,48.57,87,52.73,1428,22,17,10,212,20,jose-campana,274,Levante UD,levante-ud
2021,831424,Reinildo Isnard Mandava,0,0,5,71.43,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.92,45,21,32,0,8,0,0,486,95,581,83.65,315,171,60,3,0,0,18,31.03,0,0,10,2,0,0,0,0,0,4,0,69,65.09,23,44.23,92,58.23,1298,20,26,5,150,17,mandava-reinildo-isnard,1944,Atlético Madrid,atletico-madrid
2021,18184,Kiko Casilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.92,0,1,10,0,1,0,0,252,155,407,61.92,194,58,18,1,0,0,102,40.32,43,16,14,3,8,8,8,7,0,3,0,2,66.67,3,100,5,83.33,1260,1,0,0,163,14,kiko-casilla,746,Elche,elche
2021,811557,Édgar Badía,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.92,0,0,31,0,0,0,0,461,261,722,63.85,318,143,24,0,0,0,205,44.57,79,28,34,1,15,13,12,16,0,2,0,0,0,9,75,9,75,2160,1,0,0,266,24,edgar-badia,321,Elche,elche
2021,76265,Stefan Savić,0,3,8,88.89,15,5,9,1,0,0,0,0,0,0,0,0,0,0,3,0,0,6.92,46,37,97,1,14,0,0,1133,243,1376,82.34,772,361,94,3,0,0,106,44.92,0,0,22,2,0,0,0,0,0,12,0,75,61.98,71,57.26,146,59.59,2440,22,30,3,263,28,stefan-savic,1845,Atlético Madrid,atletico-madrid
