season,player_id,player_name,goals,bigChancesMissed,successfulDribbles,successfulDribblesPercentage,totalShots,shotsOnTarget,shotsOffTarget,blockedShots,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,goalsFromInsideTheBox,goalsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,hitWoodwork,offsides,penaltyConversion,setPieceConversion,rating,tackles,interceptions,clearances,ownGoals,dribbledPast,bigChancesCreated,assists,accuratePasses,inaccuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,saves,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,possessionLost,appearances,player_slug,player_userCount,team_name,team_slug
2015,12994,Lionel Messi,26,18,117,61.58,158,75,42,41,16.46,7,3,3,20,6,1,23,2,5,10,42.86,10.53,8.43,11,6,0,0,7,37,16,1505,333,1838,81.88,247,1272,792,82,14,29.17,117,72.22,0,0,22,0,0,0,0,0,0,3,0,189,53.39,5,35.71,194,52.72,2728,61,13,74,0,33,lionel-messi,596400,Barcelona,barcelona
2015,124712,Neymar,24,30,143,57.89,124,61,46,17,19.35,7,5,8,23,1,0,11,13,6,24,71.43,7.14,8.04,28,11,1,0,18,26,12,1467,347,1814,80.87,255,1250,813,105,38,30.16,64,76.19,0,0,25,1,0,0,0,0,0,6,0,300,53.86,21,48.84,321,53.5,3057,130,48,91,0,34,neymar,300976,Barcelona,barcelona
2015,15354,Gareth Bale,19,2,42,59.15,81,36,34,11,23.46,0,0,1,17,2,9,8,2,3,17,0,0,7.95,11,20,6,0,10,15,10,556,140,696,79.89,135,439,263,52,18,21.18,29,69.05,0,0,18,0,0,0,0,0,0,2,0,79,54.86,21,42.86,100,51.81,1738,27,13,18,0,23,gareth-bale,30721,Real Madrid,real-madrid
2015,750,Cristiano Ronaldo,35,27,51,55.43,227,98,92,37,15.42,9,6,2,30,5,6,9,20,8,50,66.67,3.85,7.86,11,8,15,0,12,13,11,850,220,1070,79.44,177,682,389,52,9,18.75,12,63.16,0,0,29,2,0,0,0,0,0,3,0,99,46.7,56,56.57,155,49.84,3183,38,22,44,0,36,cristiano-ronaldo,565170,Real Madrid,real-madrid
2015,16943,Luis Suárez,40,29,41,35.04,137,70,55,12,29.2,5,3,2,40,0,5,5,30,7,59,60,0,7.69,23,8,18,0,13,21,16,677,249,926,73.11,93,588,350,57,4,11.76,23,54.76,0,0,26,1,0,0,0,0,0,6,0,121,41.87,15,44.12,136,42.11,3150,59,41,43,0,35,luis-suarez,66258,Barcelona,barcelona
2015,3306,Karim Benzema,24,11,17,44.74,98,51,32,15,24.49,0,0,1,24,0,4,4,15,0,19,0,0,7.58,8,3,13,0,2,9,7,545,124,669,81.46,97,449,294,43,1,5,15,68.18,0,0,19,1,0,0,0,0,0,1,0,45,39.13,10,28.57,55,36.67,1993,21,16,34,0,27,karim-benzema,160479,Real Madrid,real-madrid
2015,15466,Luka Modrić,2,1,47,78.33,35,10,11,14,5.71,0,0,1,1,1,0,1,1,0,2,0,0,7.42,49,62,7,0,22,5,4,1986,198,2184,90.93,734,1273,620,61,21,38.89,144,76.19,0,0,24,1,0,0,0,0,0,5,0,140,59.32,8,32,148,56.7,2627,44,26,36,0,32,luka-modric,94765,Real Madrid,real-madrid
2015,110783,Sergi Darder,0,0,1,100,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,4,0,0,0,1,0,0,29,7,36,80.56,12,18,10,1,1,100,3,60,0,0,0,0,0,0,0,0,0,1,0,6,60,0,0,6,60,85,1,1,2,0,1,sergi-darder,867,Málaga,malaga
2015,84539,Koke,5,1,15,44.12,42,12,20,10,11.9,0,0,0,5,0,1,0,4,5,1,0,0,7.39,101,49,28,0,46,13,14,1659,364,2023,82.01,508,1201,652,78,50,24.39,65,46.76,0,0,12,4,0,0,0,0,0,4,0,166,51.88,23,52.27,189,51.92,2973,52,34,55,0,35,koke,3637,Atlético Madrid,atletico-madrid
2015,123977,Nolito,12,5,58,40.56,81,33,30,18,14.81,2,1,0,10,2,1,1,10,3,32,50,0,7.39,48,27,3,0,23,11,7,762,365,1127,67.61,143,647,439,62,28,22.76,61,48.41,0,0,31,8,0,0,0,0,0,9,0,166,44.74,17,42.5,183,44.53,2472,61,41,60,22,29,nolito,396,Celta Vigo,celta-vigo
2015,14933,Diego Godín,1,3,11,68.75,25,6,16,3,4,0,0,0,1,0,1,0,0,4,4,0,0,7.38,71,101,159,0,9,2,1,868,239,1107,78.41,618,250,77,7,0,0,92,47.42,0,0,10,1,0,0,0,0,0,5,1,109,69.43,94,63.95,203,66.78,2651,33,36,6,0,31,diego-godin,2145,Atlético Madrid,atletico-madrid
2015,26502,Toni Kroos,1,0,25,75.76,20,4,9,7,5,0,0,0,1,0,0,0,1,0,0,0,0,7.37,64,40,11,0,53,5,10,2277,148,2425,93.9,1016,1300,499,57,39,33.05,233,88.93,0,0,28,3,0,0,0,0,0,3,0,136,56.2,10,41.67,146,54.89,2745,47,34,14,0,32,toni-kroos,49238,Real Madrid,real-madrid
2015,3595,Andrés Iniesta,1,3,41,70.69,23,6,12,5,4.35,0,0,0,1,0,0,0,1,1,0,0,0,7.36,57,27,6,0,23,8,2,1621,214,1835,88.34,426,1198,637,35,3,17.65,142,77.17,0,0,17,0,0,0,0,0,0,2,0,136,60.18,11,47.83,147,59.04,2248,38,20,32,0,28,andres-iniesta,11932,Barcelona,barcelona
2015,107414,James Rodríguez,7,2,19,43.18,39,18,9,12,17.95,0,0,0,2,5,0,6,1,0,5,0,50,7.34,34,16,2,0,25,12,8,936,141,1077,86.91,281,693,379,62,38,31.93,53,69.74,0,0,16,2,0,0,0,0,0,1,0,70,46.36,6,33.33,76,44.97,1516,17,12,23,0,26,james-rodriguez,28546,Real Madrid,real-madrid
2015,85859,Antoine Griezmann,22,16,32,43.84,92,43,32,17,23.91,2,1,1,17,5,2,18,2,3,17,50,40,7.33,57,39,32,0,26,10,5,1062,294,1356,78.32,290,782,432,54,10,31.25,49,72.06,0,0,12,3,0,0,0,0,0,5,0,123,45.56,56,33.94,179,41.15,3058,37,31,51,0,38,antoine-griezmann,65479,Atlético Madrid,atletico-madrid
2015,122951,Casemiro,1,1,9,75,20,3,11,6,5,0,0,0,1,0,1,0,0,0,0,0,0,7.32,71,45,33,0,36,2,3,890,131,1021,87.17,483,408,130,7,1,33.33,110,76.39,0,0,11,2,0,0,0,0,0,6,0,116,58.59,43,70.49,159,61.39,1526,36,38,9,0,23,casemiro,62843,Real Madrid,real-madrid
2015,113593,Asier Illarramendi,1,0,25,73.53,22,7,6,9,4.55,0,0,0,1,0,0,0,1,0,0,0,0,7.3,103,114,48,0,37,3,1,1408,331,1739,80.97,610,817,350,30,19,27.14,146,60.58,0,0,37,3,0,0,0,0,0,14,0,189,60.77,60,55.56,249,59.43,2847,65,44,36,0,33,asier-illarramendi,474,Real Sociedad,real-sociedad
2015,26029,Filipe Luís,1,1,71,57.26,8,2,5,1,12.5,0,0,0,1,0,0,1,0,0,0,0,0,7.3,126,87,53,0,16,2,4,1370,290,1660,82.53,504,888,496,29,22,19.13,47,36.72,0,0,14,3,0,0,0,0,0,11,1,226,65.51,42,55.26,268,63.66,2834,30,29,26,0,32,filipe-luis,2806,Atlético Madrid,atletico-madrid
2015,118759,Javi Castellano,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3,3,2,5,0,1,0,0,30,9,39,76.92,21,9,1,0,0,0,2,33.33,0,0,0,1,0,0,0,0,0,0,0,6,75,3,75,9,75,90,3,1,0,0,1,javi-castellano,8,Las Palmas,las-palmas
2015,39433,Sergio Busquets,0,0,11,100,6,2,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,7.29,103,67,26,0,39,8,4,2176,246,2422,89.84,991,1187,494,21,2,100,165,85.94,0,0,24,1,0,0,0,0,0,6,0,175,65.3,59,64.84,234,65.18,2906,66,30,26,0,35,sergio-busquets,16400,Barcelona,barcelona
2015,89894,Shkodran Mustafi,2,0,7,53.85,22,4,13,5,9.09,0,0,1,2,0,2,0,0,1,5,0,0,7.28,80,133,160,1,25,2,0,1147,263,1410,81.35,803,344,105,4,0,0,162,57.45,0,0,34,6,0,0,0,0,0,14,0,106,60.92,90,73.17,196,65.99,2682,22,34,5,0,30,shkodran-mustafi,939,Valencia,valencia
2015,11378,Javier Mascherano,0,1,9,81.82,3,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.28,82,69,56,0,19,3,0,1918,202,2120,90.47,1107,812,250,11,1,100,252,74.34,0,0,24,1,0,0,0,0,0,9,1,112,65.12,37,59.68,149,63.68,2694,21,27,15,0,32,javier-mascherano,1687,Barcelona,barcelona
2015,129451,Jonathan Viera,10,4,52,47.71,86,36,38,12,11.63,5,4,0,9,1,0,0,10,1,17,80,0,7.26,70,22,6,0,32,10,9,1530,337,1867,81.95,453,1104,571,80,27,27.55,62,59.62,0,0,50,1,0,0,0,0,0,4,0,205,51.12,13,28.26,218,48.77,3121,83,26,82,0,36,jonathan-viera,765,Las Palmas,las-palmas
2015,10710,Sergio Ramos,2,0,3,60,19,4,11,4,10.53,0,0,1,2,0,1,0,1,1,4,0,0,7.26,35,77,78,0,8,1,2,1151,123,1274,90.35,734,419,114,7,2,66.67,83,59.29,0,0,19,2,0,0,0,0,0,7,2,63,58.88,40,70.18,103,62.8,1944,26,34,3,0,23,sergio-ramos,57100,Real Madrid,real-madrid
2015,52713,Roberto Trashorras,3,1,28,50.91,31,12,10,9,9.68,3,2,0,2,1,0,1,2,1,6,66.67,0,7.25,60,49,38,0,47,4,7,2351,342,2693,87.3,1184,1215,568,80,48,25.26,312,72.06,0,0,65,3,0,0,0,0,0,10,0,171,54.63,19,36.54,190,52.05,3118,83,38,40,0,36,roberto-trashorras,3,Rayo Vallecano,rayo-vallecano
2015,7635,Ivan Rakitić,7,4,13,52,45,14,19,12,15.56,0,0,0,6,1,0,1,6,0,4,0,0,7.24,63,51,18,1,35,7,2,1564,212,1776,88.06,591,997,437,33,24,36.36,109,78.99,0,0,17,1,0,0,0,0,0,3,0,125,56.05,33,58.93,158,56.63,2580,50,39,17,0,36,ivan-rakitic,12375,Barcelona,barcelona
2015,18248,Bruno Soriano,5,0,15,75,25,9,10,6,20,3,3,0,4,1,0,5,0,1,0,100,16.67,7.23,52,95,76,0,15,0,1,1448,227,1675,86.45,684,765,359,17,1,50,86,63.7,0,0,22,2,0,0,0,0,0,5,1,86,59.31,55,61.11,141,60,2593,19,21,22,0,31,bruno-soriano,75,Villarreal,villarreal
2015,1221,Tiago,1,0,1,33.33,7,2,5,0,14.29,0,0,1,0,1,0,0,1,0,0,0,0,7.22,27,33,23,0,11,2,2,647,117,764,84.69,299,348,163,8,0,0,54,78.26,0,0,5,1,0,0,0,0,0,4,0,45,56.96,20,47.62,65,53.72,1053,19,15,6,0,14,tiago,99,Atlético Madrid,atletico-madrid
2015,31981,Éver Banega,5,2,40,60.61,39,19,12,8,12.82,1,1,0,4,1,0,2,3,2,4,100,16.67,7.22,52,19,6,0,27,9,2,972,200,1172,82.94,340,662,369,44,30,26.32,111,67.27,0,0,13,3,0,0,0,0,0,6,1,136,49.28,6,31.58,142,48.14,1725,44,26,62,9,25,ever-banega,1546,Sevilla,sevilla
2015,17787,Marcelo,2,0,56,57.14,19,4,9,6,10.53,0,0,0,2,0,0,2,0,0,3,0,0,7.22,75,54,26,0,33,5,3,1469,273,1742,84.33,592,909,462,51,32,26.23,105,55.26,0,0,20,3,0,0,0,0,0,2,0,165,60,5,35.71,170,58.82,2474,34,16,20,0,30,marcelo,32482,Real Madrid,real-madrid
2015,76227,Grzegorz Krychowiak,0,2,14,70,20,3,13,4,0,0,0,2,0,0,0,0,0,0,2,0,0,7.21,64,116,78,2,13,0,0,1007,187,1194,84.34,651,357,141,6,1,20,77,59.23,0,0,27,6,0,0,0,0,0,6,0,127,62.87,76,71.03,203,65.7,2271,51,46,13,4,26,grzegorz-krychowiak,4009,Sevilla,sevilla
2015,141832,Pedro Bigas,3,1,21,75,15,5,6,4,20,0,0,0,3,0,3,0,0,0,0,0,0,7.21,36,121,141,0,9,0,0,1023,188,1211,84.48,800,224,49,6,1,33.33,81,46.02,0,0,35,1,0,0,0,0,0,5,0,79,66.95,42,55.26,121,62.37,2353,23,20,4,0,27,pedro-bigas,87,Las Palmas,las-palmas
2015,124992,Danilo,2,0,15,75,18,6,8,4,11.11,0,0,0,2,0,0,0,2,0,2,0,0,7.2,70,55,40,0,17,2,5,1069,174,1243,86,443,638,291,19,12,20,49,51.58,0,0,22,3,0,0,0,0,0,5,0,103,61.68,30,66.67,133,62.74,2044,19,36,8,0,24,danilo,5331,Real Madrid,real-madrid
2015,139421,Diego Reyes,2,1,11,68.75,11,2,7,2,18.18,0,0,0,2,0,1,0,1,2,3,0,0,7.2,58,104,101,1,5,0,0,856,192,1048,81.68,565,296,95,7,5,62.5,99,56.57,0,0,25,2,0,0,0,0,0,3,1,82,68.91,76,60.32,158,64.49,2313,13,23,7,0,27,diego-reyes,255,Real Sociedad,real-sociedad
2015,39182,Dani Parejo,8,3,28,59.57,46,20,15,11,17.39,2,2,1,4,4,0,0,8,3,2,100,25,7.18,72,49,25,0,48,3,5,1495,253,1748,85.53,538,987,424,43,30,25.42,143,76.06,0,0,34,5,0,0,0,0,0,8,0,177,54.63,27,40.91,204,52.31,2735,78,36,47,0,33,dani-parejo,2201,Valencia,valencia
2015,32965,Ignacio Camacho,2,3,10,66.67,23,7,12,4,8.7,0,0,0,2,0,2,0,0,0,0,0,0,7.17,70,81,45,0,22,1,1,829,299,1128,73.49,348,483,194,13,2,16.67,60,48.39,0,0,20,4,0,0,0,0,0,7,1,123,55.91,73,56.59,196,56.16,2007,44,51,23,0,23,ignacio-camacho,38,Málaga,malaga
2015,5884,Pepe,1,1,6,54.55,12,6,3,3,8.33,0,0,0,1,0,1,0,0,0,0,0,0,7.17,33,53,72,0,9,3,1,997,141,1138,87.61,681,319,73,7,3,50,55,47.01,0,0,19,1,0,0,0,0,0,5,0,62,65.96,57,68.67,119,67.23,1887,23,17,3,0,21,pepe,5989,Real Madrid,real-madrid
2015,18987,Beñat Etxebarria,1,0,15,48.39,29,9,13,7,3.45,0,0,0,0,1,0,0,1,1,0,0,8.33,7.17,77,64,13,0,47,5,5,1543,354,1897,81.34,622,986,445,64,65,28.51,178,60.34,0,0,31,5,0,0,0,0,0,8,0,146,51.23,16,47.06,162,50.78,2900,54,38,38,0,36,benat-etxebarria,75,Athletic Club,athletic-club
2015,13262,Imanol Agirretxe,13,5,7,33.33,46,22,16,8,28.26,0,0,0,13,0,3,1,9,1,10,0,0,7.17,4,4,8,0,8,1,0,219,112,331,66.16,69,152,72,3,2,16.67,6,33.33,0,0,17,1,0,0,0,0,0,0,0,33,40.24,28,35.9,61,38.13,1174,27,10,19,0,16,imanol-agirretxe,7,Real Sociedad,real-sociedad
2015,2806,Gabi,1,0,21,63.64,17,3,10,4,5.88,0,0,0,0,1,0,0,1,0,1,0,0,7.16,106,78,33,0,65,4,3,1753,381,2134,82.15,732,1046,514,27,25,31.65,161,58.97,0,0,13,3,0,0,0,0,0,11,1,164,50.77,47,49.47,211,50.48,2880,41,66,22,0,35,gabi,298,Atlético Madrid,atletico-madrid
2015,590036,Federico Ricca,1,0,1,50,2,1,0,1,50,0,0,0,1,0,0,1,0,0,0,0,0,7.16,25,21,22,0,2,1,1,144,83,227,63.44,63,86,37,5,5,23.81,8,27.59,0,0,5,1,0,0,0,0,0,3,0,32,68.09,21,63.64,53,66.25,641,7,11,3,0,8,federico-ricca,163,Málaga,malaga
2015,235386,Jaume Doménech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.16,2,1,15,0,0,0,0,226,205,431,52.44,133,93,24,1,0,0,135,39.82,64,26,14,4,5,13,11,5,2,0,0,3,100,7,100,10,100,1530,6,0,0,0,17,jaume-domenech,188,Valencia,valencia
2015,19356,Iago Aspas,14,11,27,49.09,80,34,35,11,17.5,1,1,2,13,1,1,11,2,6,16,100,0,7.15,23,14,11,0,16,8,4,725,211,936,77.46,191,543,306,51,9,23.08,37,69.81,0,0,30,7,0,0,0,0,0,8,0,82,39.05,20,28.17,102,36.3,2668,36,39,49,9,35,iago-aspas,4687,Celta Vigo,celta-vigo
2015,255239,Lucas Vázquez,4,5,29,56.86,23,13,4,6,17.39,0,0,2,4,0,1,1,2,0,0,0,0,7.14,53,25,8,0,16,8,6,536,89,625,85.76,182,368,196,30,14,22.22,15,53.57,0,0,9,0,0,0,0,0,0,4,0,117,57.92,4,33.33,121,56.54,1230,35,16,33,0,25,lucas-vazquez,8672,Real Madrid,real-madrid
2015,24819,Carlos Martínez,0,0,4,44.44,3,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.14,19,25,21,0,2,3,2,212,57,269,78.81,87,128,74,6,3,15,12,46.15,0,0,9,0,0,0,0,0,0,2,0,29,65.91,13,81.25,42,70,536,6,5,3,0,10,carlos-martinez,4,Real Sociedad,real-sociedad
2015,14250,Aritz Aduriz,20,22,18,28.57,93,49,34,10,21.51,5,3,2,20,0,5,3,12,5,38,60,0,7.14,23,11,24,0,6,6,6,432,281,713,60.59,76,358,204,33,2,11.76,8,53.33,0,0,28,7,0,0,0,0,0,9,0,95,35.19,164,58.99,259,47.26,2776,68,56,80,0,34,aritz-aduriz,387,Athletic Club,athletic-club
2015,56113,Keylor Navas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.13,4,4,28,0,0,0,0,455,263,718,63.37,376,79,11,0,0,0,201,43.6,95,39,26,2,14,42,42,17,0,0,0,9,100,12,100,21,100,3060,5,2,0,0,34,keylor-navas,10115,Real Madrid,real-madrid
2015,45512,Youssef El Arabi,16,7,25,69.44,70,34,24,12,22.86,7,7,1,15,1,2,3,11,2,44,100,0,7.12,34,9,26,0,8,8,2,413,219,632,65.35,135,282,137,23,4,28.57,21,53.85,0,0,38,7,0,0,0,0,0,3,0,101,47.2,69,37.91,170,42.93,2517,51,46,55,0,35,youssef-el-arabi,2003,Granada,granada
2015,153440,Rubén Pardo,0,1,6,42.86,36,7,13,16,0,0,0,0,0,0,0,0,0,0,0,0,0,7.12,25,35,6,0,11,7,7,840,189,1029,81.63,314,570,267,45,44,32.59,100,56.82,0,0,23,1,0,0,0,0,0,7,0,39,44.83,18,45,57,44.88,1786,8,20,9,0,28,ruben-pardo,81,Real Sociedad,real-sociedad
2015,770,Gerard Piqué,2,4,8,80,13,6,5,2,15.38,0,0,0,2,0,1,1,0,1,4,0,0,7.11,39,54,107,0,11,2,1,1830,193,2023,90.46,1157,673,173,6,0,0,128,60.66,0,0,22,1,0,0,0,0,0,12,0,53,58.24,60,63.16,113,60.75,2592,8,19,12,0,30,gerard-pique,11189,Barcelona,barcelona
2015,129865,Raúl Lizoain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.11,1,1,12,0,0,0,0,132,113,245,53.88,102,30,2,0,0,0,55,33.33,35,14,12,1,5,10,10,5,1,0,0,3,100,6,100,9,100,707,2,0,0,0,8,raul-lizoain,32,Las Palmas,las-palmas
2015,325355,José María Giménez,1,0,9,64.29,12,4,7,1,8.33,0,0,0,1,0,1,0,0,0,4,0,0,7.11,56,67,147,0,19,3,1,631,230,861,73.29,440,192,59,8,1,50,95,40.25,0,0,12,4,0,0,0,0,0,8,0,74,56.92,58,68.24,132,61.4,2430,11,28,8,0,27,jose-maria-gimenez,3174,Atlético Madrid,atletico-madrid
2015,107128,Lucas Pérez,17,24,38,49.35,100,50,35,15,17,1,1,1,15,2,0,14,3,3,37,100,20,7.09,18,5,1,0,15,8,8,709,187,896,79.13,71,663,380,72,25,23.15,23,69.7,0,0,48,7,0,0,0,0,0,3,0,104,40.94,4,23.53,108,39.85,3140,48,35,65,0,36,lucas-perez,1027,Deportivo La Coruña,deportivo-la-coruna
2015,129479,Charles Días,12,7,7,36.84,84,43,27,14,14.29,1,1,0,12,0,3,0,9,2,31,100,0,7.09,20,15,44,1,13,6,3,596,250,846,70.45,171,427,243,36,2,12.5,8,42.11,0,0,28,3,0,0,0,0,0,12,0,64,37.65,132,51.36,196,45.9,3005,44,59,38,0,35,charles-dias,68,Málaga,malaga
2015,106289,Pedro Mosquera,0,1,9,75,29,4,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0,7.08,121,83,53,0,52,6,2,1608,341,1949,82.5,798,811,335,22,1,11.11,196,60.87,0,0,54,5,0,0,0,0,0,9,0,167,52.02,46,56.79,213,52.99,3288,43,69,32,0,37,pedro-mosquera,49,Deportivo La Coruña,deportivo-la-coruna
2015,28317,Alberto Garcia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.08,1,1,4,0,1,0,0,77,100,177,43.5,47,30,9,0,0,0,44,30.56,28,12,11,2,1,5,5,3,0,0,0,2,66.67,0,0,2,66.67,540,1,0,0,0,6,alberto-garcia,8,Sporting Gijón,sporting-gijon
2015,4581,Raúl García,7,2,11,36.67,78,20,37,21,8.97,0,0,1,6,1,4,1,2,4,11,0,0,7.08,69,34,32,0,33,7,6,593,336,929,63.83,185,410,232,25,2,5.71,29,40.28,0,0,17,5,0,0,0,0,0,9,0,151,49.19,112,54.11,263,51.17,2384,79,70,41,0,31,raul-garcia,725,Athletic Club,athletic-club
2015,34125,Mateo Musacchio,1,0,2,50,2,1,1,0,50,0,0,0,1,0,1,0,0,0,1,0,0,7.08,17,38,41,0,5,0,0,380,78,458,82.97,265,115,20,2,0,0,31,48.44,0,0,3,0,0,0,0,0,0,1,0,28,58.33,13,40.63,41,51.25,1009,9,13,2,0,13,mateo-musacchio,339,Villarreal,villarreal
2015,129617,Aderllan Santos,0,1,4,100,7,2,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,7.08,46,40,103,0,5,0,0,533,104,637,83.67,406,127,19,1,0,0,57,51.82,0,0,20,3,0,0,0,0,0,0,1,54,72,32,65.31,86,69.35,1520,6,12,6,0,17,aderllan-santos,79,Valencia,valencia
2015,114155,Rubén Rochina,6,3,61,59.22,77,23,35,19,7.79,0,0,0,5,1,1,5,0,2,0,0,0,7.07,52,55,14,0,30,6,6,826,341,1167,70.78,298,557,283,47,29,20,127,51.42,0,0,46,4,0,0,0,0,0,9,0,190,51.63,40,57.14,230,52.51,2494,77,42,65,0,35,ruben-rochina,136,Granada,granada
2015,116955,Saúl Ñíguez,4,1,31,46.97,45,16,19,10,8.89,0,0,0,4,0,3,1,0,0,5,0,0,7.07,94,56,47,0,34,2,2,867,269,1136,76.32,313,560,275,19,6,26.09,24,42.11,0,0,9,3,0,0,0,0,0,1,0,147,50.17,82,53.59,229,51.35,2329,26,46,38,0,31,saul-niguez,3812,Atlético Madrid,atletico-madrid
2015,13208,Roberto Soldado,5,9,14,53.85,40,21,16,3,12.5,0,0,1,4,1,0,1,4,1,22,0,0,7.06,22,13,36,0,12,14,10,546,252,798,68.42,162,386,217,29,2,8.7,25,49.02,0,0,17,1,0,0,0,0,0,11,0,95,47.98,21,24.14,116,40.7,2255,59,52,32,0,28,roberto-soldado,465,Villarreal,villarreal
