season,player_id,player_name,goals,bigChancesMissed,successfulDribbles,successfulDribblesPercentage,totalShots,shotsOnTarget,shotsOffTarget,blockedShots,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,goalsFromInsideTheBox,goalsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,hitWoodwork,offsides,penaltyConversion,setPieceConversion,rating,tackles,interceptions,clearances,ownGoals,dribbledPast,bigChancesCreated,assists,accuratePasses,inaccuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,saves,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,possessionLost,appearances,player_slug,player_userCount,team_name,team_slug
2023,991011,Jude Bellingham,10,2,21,53.85,27,17,3,7,37.04,0,0,0,9,1,2,2,6,0,2,0,0,8.2,16,9,6,0,8,1,2,468,57,525,89.14,150,319,164,18,1,11.11,11,73.33,0,0,8,0,0,0,0,0,0,1,0,69,57.02,9,42.86,78,54.93,947,34,11,15,125,11,jude-bellingham,106672,Real Madrid,real-madrid
2023,796047,Aleix García,3,0,3,50,17,5,4,8,17.65,0,0,0,2,1,0,0,3,1,0,0,0,7.75,20,16,22,0,12,5,4,867,82,949,91.36,418,476,234,27,27,33.33,88,73.95,0,0,16,0,0,0,0,0,0,1,0,35,57.38,8,47.06,43,55.13,1170,13,9,3,155,13,aleix-garcia,2028,Girona,girona
2023,146866,Gerard Moreno,7,1,16,50,23,9,6,8,30.43,2,2,0,6,1,0,5,2,1,4,100,0,7.65,10,3,5,0,6,3,1,260,65,325,80,68,196,123,17,4,33.33,26,83.87,0,0,12,3,0,0,0,0,0,0,0,40,46.51,10,71.43,50,50,733,14,4,22,130,10,gerard-moreno,4128,Villarreal,villarreal
2023,795222,Frenkie de Jong,1,0,7,70,3,1,1,1,33.33,0,0,0,1,0,0,0,1,1,0,0,0,7.63,5,2,7,0,3,1,0,566,34,600,94.33,231,337,166,7,2,25,16,69.57,0,0,4,1,0,0,0,0,0,2,0,19,54.29,9,60,28,56,486,7,6,4,52,6,frenkie-de-jong,44383,Barcelona,barcelona
2023,992587,Pedri,1,1,5,71.43,5,2,0,3,20,0,0,0,1,0,0,1,0,0,0,0,0,7.57,4,0,1,0,2,3,0,94,15,109,86.24,25,70,37,9,1,50,8,72.73,0,0,0,0,0,0,0,0,0,1,0,12,57.14,0,0,12,57.14,202,3,2,3,30,3,pedri,53527,Barcelona,barcelona
2023,857574,Andriy Lunin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.57,0,0,3,0,0,0,0,69,7,76,90.79,66,3,1,0,0,0,15,68.18,11,3,2,0,3,0,0,3,0,0,0,0,0,0,0,0,0,270,0,0,0,7,3,andriy-lunin,7513,Real Madrid,real-madrid
2023,19356,Iago Aspas,1,7,15,88.24,37,12,18,7,2.7,2,0,0,0,1,0,1,0,1,5,0,0,7.55,2,4,4,0,5,9,4,307,76,383,80.16,86,240,160,41,19,30.16,13,52,0,0,16,1,0,0,0,0,0,4,0,36,63.16,1,7.14,37,52.11,1002,20,5,9,156,13,iago-aspas,4746,Celta Vigo,celta-vigo
2023,880218,Takefusa Kubo,5,0,16,55.17,19,7,6,6,26.32,0,0,0,5,0,0,5,0,0,6,0,0,7.53,10,7,1,0,6,7,2,193,57,250,77.2,49,158,94,23,14,29.17,7,58.33,0,0,10,1,0,0,0,0,0,0,0,44,62.86,2,25,46,58.97,886,18,6,3,144,12,kubo-takefusa,15365,Real Sociedad,real-sociedad
2023,26502,Toni Kroos,1,0,1,50,17,8,5,4,5.88,0,0,0,0,1,0,0,1,2,1,0,0,7.52,20,7,3,0,10,4,4,684,36,720,95,327,373,165,27,16,38.1,49,80.33,0,0,8,0,0,0,0,0,0,2,0,34,64.15,3,100,37,66.07,711,13,8,1,71,13,toni-kroos,49474,Real Madrid,real-madrid
2023,831808,Federico Valverde,1,1,11,61.11,24,7,10,7,4.17,0,0,0,0,1,0,0,1,0,0,0,0,7.52,18,16,9,0,3,4,2,604,71,675,89.48,212,394,220,26,2,14.29,19,51.35,0,0,6,0,0,0,0,0,0,0,0,35,63.64,5,83.33,40,65.57,1030,6,5,5,114,13,federico-valverde,46456,Real Madrid,real-madrid
2023,138892,João Cancelo,2,0,18,69.23,8,3,2,3,25,0,0,0,2,0,0,0,2,0,2,0,0,7.5,30,6,9,0,6,3,1,389,81,470,82.77,168,225,96,9,4,20,22,55,0,0,6,2,0,0,0,0,0,2,0,57,63.33,4,26.67,61,58.1,716,9,8,11,145,9,joao-cancelo,34746,Barcelona,barcelona
2023,7635,Ivan Rakitić,1,0,5,41.67,20,5,8,7,5,0,0,0,1,0,0,0,1,0,1,0,0,7.5,17,6,8,0,4,3,1,395,96,491,80.45,155,264,143,28,24,34.29,43,56.58,0,0,9,2,0,0,0,0,0,3,0,32,58.18,10,66.67,42,60,818,11,7,5,174,10,ivan-rakitic,12385,Sevilla,sevilla
2023,103417,Isco,2,3,22,50,28,12,12,4,7.14,0,0,0,2,0,0,0,2,2,1,0,0,7.48,13,4,1,0,12,5,2,517,74,591,87.48,133,407,215,36,23,34.85,28,71.79,0,0,12,2,0,0,0,0,0,4,0,71,47.65,4,19.05,75,44.12,978,36,13,32,202,12,isco,13989,Real Betis,real-betis
2023,138572,Daniel Carvajal,2,1,6,50,9,6,3,0,22.22,0,0,0,1,1,1,1,0,1,0,0,0,7.46,26,10,15,0,7,2,2,450,71,521,86.37,206,247,116,14,3,14.29,17,56.67,0,0,5,0,0,0,0,0,0,1,0,39,52,7,43.75,46,50.55,957,7,12,11,122,11,daniel-carvajal,14233,Real Madrid,real-madrid
2023,783374,Iñaki Williams,5,5,22,47.83,37,20,9,8,13.51,0,0,0,4,1,0,1,4,2,12,0,0,7.45,10,4,12,0,7,5,3,249,86,335,74.33,71,189,112,22,11,23.91,3,27.27,0,0,13,2,0,0,0,0,0,2,0,53,44.92,14,63.64,67,47.86,1144,21,13,21,218,13,inaki-williams,8229,Athletic Club,athletic-club
2023,341097,Jeremías Ledesma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.44,0,0,16,0,1,0,0,209,189,398,52.51,99,110,44,0,0,0,126,40.13,50,18,16,1,11,5,4,19,1,0,0,2,66.67,2,100,4,80,1080,2,0,0,192,12,jeremias-ledesma,1297,Cádiz,cadiz
2023,85859,Antoine Griezmann,7,5,11,61.11,23,10,7,6,30.43,2,2,0,7,0,1,5,1,1,4,100,0,7.4,13,2,6,0,8,2,0,339,75,414,81.88,123,225,101,17,9,27.27,19,73.08,0,0,5,5,0,0,0,0,0,3,0,32,52.46,5,41.67,37,50.68,890,8,5,9,136,11,antoine-griezmann,65583,Atlético Madrid,atletico-madrid
2023,1414933,Marc Guiu,1,0,0,0,1,1,0,0,100,0,0,0,1,0,0,0,1,0,0,0,0,7.4,1,0,0,0,0,0,0,1,0,1,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,66.67,0,0,2,66.67,11,1,1,0,0,1,guiu-marc,4386,Barcelona,barcelona
2023,10710,Sergio Ramos,0,1,0,0,6,2,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,7.4,3,6,18,1,1,0,0,175,17,192,91.15,120,55,19,1,0,0,24,72.73,0,0,4,0,0,0,0,0,0,2,0,9,64.29,13,68.42,22,66.67,360,6,3,2,24,4,sergio-ramos,56936,Sevilla,sevilla
2023,962053,Filip Jörgensen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.38,1,0,11,0,1,0,0,310,87,397,78.09,258,52,15,0,0,0,75,47.47,54,15,17,4,8,3,3,10,0,1,0,4,66.67,5,100,9,81.82,1080,3,1,0,92,12,filip-jorgensen,677,Villarreal,villarreal
2023,827212,Jules Koundé,1,1,5,83.33,9,4,2,3,11.11,0,0,0,1,0,1,0,0,0,0,0,0,7.35,6,4,34,0,2,1,0,704,59,763,92.27,374,334,129,8,4,80,31,63.27,0,0,7,1,0,0,0,0,0,0,0,15,75,31,65.96,46,68.66,776,4,2,1,65,10,jules-kounde,18478,Barcelona,barcelona
2023,791773,Álex Remiro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.32,0,0,17,0,0,0,0,333,114,447,74.5,276,57,21,1,0,0,103,48.58,47,16,14,2,9,9,9,4,0,1,0,1,100,3,100,4,100,1170,1,0,0,118,13,alex-remiro,786,Real Sociedad,real-sociedad
2023,1046795,Sávio,4,2,30,63.83,15,8,4,3,26.67,0,0,0,3,1,0,4,0,1,7,0,0,7.32,15,4,2,0,4,5,4,262,63,325,80.62,68,202,122,15,8,17.39,3,30,0,0,14,0,0,0,0,0,0,1,0,63,55.26,3,27.27,66,52.8,1046,18,8,22,183,13,savio,3587,Girona,girona
2023,96370,Suso,1,1,14,70,18,5,6,7,5.56,0,0,0,0,1,0,1,0,1,1,0,0,7.31,10,3,0,0,4,4,1,249,39,288,86.46,49,215,140,17,15,25.42,24,82.76,0,0,12,2,0,0,0,0,0,2,0,41,58.57,4,44.44,45,56.96,596,17,11,11,119,10,suso,1994,Sevilla,sevilla
2023,910536,Rodrygo,3,5,22,45.83,42,12,20,10,7.14,1,0,1,3,0,0,1,2,1,6,0,0,7.31,5,4,1,0,4,2,3,283,38,321,88.16,43,246,167,19,6,37.5,3,100,0,0,9,0,0,0,0,0,0,0,0,46,52.27,4,28.57,50,49.02,890,19,4,8,117,13,rodrygo,71125,Real Madrid,real-madrid
2023,37318,Ante Budimir,7,5,4,36.36,28,14,7,7,25,2,2,2,7,0,2,5,0,2,12,100,0,7.3,11,3,3,0,3,2,1,84,62,146,57.53,27,58,32,4,1,25,0,0,0,0,16,1,0,0,0,0,0,3,0,23,41.07,49,55.06,72,49.66,894,9,15,10,111,13,ante-budimir,2124,Osasuna,osasuna
2023,129451,Jonathan Viera,2,1,10,58.82,14,6,7,1,14.29,2,2,0,2,0,0,0,2,1,1,100,0,7.3,6,0,1,0,8,2,1,450,44,494,91.09,161,293,152,17,4,25,6,75,0,0,6,1,0,0,0,0,0,1,0,32,54.24,1,20,33,51.56,619,16,3,9,90,9,jonathan-viera,763,Las Palmas,las-palmas
2023,964983,Álvaro Valles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3,2,0,22,0,1,0,0,411,133,544,75.55,353,58,15,0,0,0,92,42.2,43,19,11,1,11,8,7,9,0,0,0,4,80,2,100,6,85.71,1170,2,0,0,135,13,alvaro-valles,393,Las Palmas,las-palmas
