season,player_id,player_name,goals,bigChancesMissed,successfulDribbles,successfulDribblesPercentage,totalShots,shotsOnTarget,shotsOffTarget,blockedShots,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,goalsFromInsideTheBox,goalsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,hitWoodwork,offsides,penaltyConversion,setPieceConversion,rating,tackles,interceptions,clearances,ownGoals,dribbledPast,bigChancesCreated,assists,accuratePasses,inaccuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,saves,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,possessionLost,appearances,player_slug,player_userCount,team_name,team_slug
2020,12994,Lionel Messi,30,11,160,64.52,196,91,50,55,15.31,5,3,0,22,8,2,27,1,8,7,60,7.5,8.33,18,6,0,0,11,22,9,1914,334,2248,85.14,277,1672,1069,81,35,27.78,71,73.96,0,0,29,6,0,0,0,0,0,4,0,277,57.23,7,41.18,284,56.69,3023,99,22,87,694,35,lionel-messi,596400,Barcelona,barcelona
2020,1089219,Ángel Jiménez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,14,17,31,45.16,6,8,0,0,0,0,9,36,7,2,2,0,1,0,0,0,0,0,0,0,0,1,100,1,100,90,0,0,0,17,1,angel-jimenez,25,Granada,granada
2020,26502,Toni Kroos,3,3,16,88.89,34,12,17,5,8.82,0,0,0,0,3,0,0,3,0,1,0,100,7.68,42,15,9,0,33,11,10,1892,129,2021,93.62,701,1228,624,67,37,29.37,229,87.07,0,0,19,2,0,0,0,0,0,6,0,89,55.97,12,60,101,56.42,2121,31,27,8,253,28,toni-kroos,49238,Real Madrid,real-madrid
2020,146866,Gerard Moreno,23,10,71,62.28,97,47,31,19,23.71,10,10,0,21,2,0,19,4,5,19,100,0,7.56,24,15,25,0,27,14,7,736,320,1056,69.7,253,497,280,44,14,40,58,61.7,0,0,32,2,0,0,0,0,0,3,0,153,48.11,62,47.69,215,47.99,2682,58,44,59,551,33,gerard-moreno,4107,Villarreal,villarreal
2020,19356,Iago Aspas,14,7,60,70.59,50,27,16,7,28,5,5,0,12,2,0,9,5,3,13,100,16.67,7.46,11,16,20,0,21,16,13,965,259,1224,78.84,283,689,416,64,7,25,49,80.33,0,0,38,6,0,0,0,0,0,9,0,123,56.16,17,27.42,140,49.82,2870,53,24,27,409,33,iago-aspas,4687,Celta Vigo,celta-vigo
2020,3306,Karim Benzema,23,19,39,62.9,123,55,43,25,18.7,1,1,0,19,4,6,5,12,7,23,100,0,7.44,8,8,24,0,10,10,9,1023,186,1209,84.62,273,755,459,38,5,27.78,43,82.69,0,0,23,1,0,0,0,0,0,2,0,72,46.15,26,38.81,98,43.95,2901,25,17,39,328,34,karim-benzema,160479,Real Madrid,real-madrid
2020,962883,Ansu Fati,4,1,11,47.83,14,7,6,1,28.57,0,0,2,4,0,0,0,4,0,2,0,0,7.34,9,3,0,0,8,3,0,165,32,197,83.76,29,138,88,9,2,50,0,0,0,0,5,0,0,0,0,0,0,1,0,31,48.44,2,33.33,33,47.14,436,11,6,8,70,7,ansu-fati,65098,Barcelona,barcelona
2020,39182,Dani Parejo,3,0,37,75.51,27,9,13,5,11.11,0,0,0,0,3,0,0,3,0,0,0,16.67,7.34,65,45,18,0,48,7,4,2407,261,2668,90.22,977,1472,696,44,42,37.5,177,74.68,0,0,39,4,0,0,0,0,0,5,0,162,59.12,24,50,186,57.76,3119,60,32,21,399,36,dani-parejo,2201,Villarreal,villarreal
2020,15466,Luka Modrić,5,0,55,74.32,45,15,14,16,11.11,0,0,0,5,0,1,2,2,1,1,0,0,7.31,37,48,11,0,23,7,3,1948,262,2210,88.14,724,1239,667,50,15,18.99,164,79.23,0,0,21,2,0,0,0,0,0,4,0,125,54.82,19,47.5,144,53.73,2743,33,30,33,428,35,luka-modric,94765,Real Madrid,real-madrid
2020,69256,Kieran Trippier,0,0,19,76,3,1,1,1,0,0,0,0,0,0,0,0,0,0,6,0,0,7.29,61,40,47,0,26,7,6,1183,307,1490,79.4,519,698,378,35,34,32.38,66,45.52,0,0,13,0,0,0,0,0,0,0,0,94,58.02,41,63.08,135,59.47,2477,15,30,7,450,28,kieran-trippier,9561,Atlético Madrid,atletico-madrid
2020,832427,Carlos Soler,11,3,25,64.1,37,17,10,10,29.73,9,7,0,9,2,0,1,10,0,0,77.78,0,7.29,41,23,40,0,33,10,8,1228,203,1431,85.81,575,692,333,45,39,30.95,99,58.93,0,0,30,11,0,0,0,0,0,7,0,102,54.26,19,59.38,121,55,2737,37,26,13,367,32,carlos-soler,3375,Valencia,valencia
2020,122951,Casemiro,6,5,13,56.52,46,11,25,10,13.04,0,0,0,6,0,4,0,2,2,4,0,0,7.27,84,70,54,0,40,4,4,1620,312,1932,83.85,890,735,297,25,5,21.74,150,64.94,0,0,18,2,0,0,0,0,0,9,1,148,53.62,101,55.8,249,54.49,2903,55,55,28,409,34,casemiro,62843,Real Madrid,real-madrid
2020,316148,Thomas Partey,0,0,7,87.5,5,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7.27,7,2,1,0,3,0,0,196,24,220,89.09,69,128,48,0,1,33.33,20,74.07,0,0,1,0,0,0,0,0,0,1,0,15,60,2,50,17,58.62,199,1,5,1,28,3,thomas-partey,22590,Atlético Madrid,atletico-madrid
2020,255239,Lucas Vázquez,2,2,32,71.11,21,8,8,5,9.52,0,0,0,2,0,1,0,1,0,3,0,0,7.25,61,19,23,0,30,5,5,1072,151,1223,87.65,457,640,358,44,25,26.04,65,67.01,0,0,14,2,0,0,0,0,0,3,0,124,57.41,10,52.63,134,57.02,1850,31,30,21,315,24,lucas-vazquez,8672,Real Madrid,real-madrid
