Player full name,Game Week,AS Score,Marca Score,Mundo Deportivo Score,Sofa Score,Stat 1,Stat 2,Stat 3,Stat 4,Stat 5,Stat 6,Stat 7,Stat 8,Stat 9,Stat 10,Stat 11,Stat 12,Stat 13,Stat 14,Stat 15,Stat 16,Stat 17,Stat 18,Stat 19,Stat 20,Stat 21,Stat 22,Stat 23,Stat 24,Stat 25,Stat 26,Stat 27,Stat 28,Stat 29,Stat 30
IsiPalazón,J11,2,6,6,3,Pases totales 35,Pases precisos 24,Balones en largo totales 4,Balones en largo precisos 2,Centros totales 6,Centros precisos 1,Duelos aéreos perdidos 7,Duelos aéreos ganados 2,Duelos perdidos 12,Duelos ganados 7,Regateado 2,Regates totales 5,Regates completados 2,Tiros fuera 1,Tiros a puerta 1,Tiros bloqueados en ataque 1,Despejes totales 1,Entradas totales 1,Faltas recibidas 2,Minutos jugados 90,Toques 61,Valoración 6.6,Posesiones perdidas 20,Goles esperados 0.1,MATCH_STAT_expectedAssists 0.1,2023-11-03 23:07:28.125413
IsiPalazón,J10,2,2,6,6,Pases totales 19,Pases precisos 12,Balones en largo totales 3,Centros totales 5,Centros precisos 3,Duelos aéreos perdidos 4,Duelos perdidos 4,Duelos ganados 3,Regates totales 1,Regates completados 1,Despejes totales 3,Intercepciones 2,Faltas recibidas 2,Minutos jugados 77,Toques 42,Valoración 7.3,Posesiones perdidas 13,Pases clave 2,MATCH_STAT_expectedAssists 0.2,2023-11-03 23:07:34.774728
IsiPalazón,J9,10,2,2,2,Pases totales 26,Pases precisos 17,Balones en largo totales 4,Balones en largo precisos 3,Centros totales 2,Centros precisos 1,Duelos aéreos perdidos 4,Duelos aéreos ganados 1,Duelos perdidos 11,Duelos ganados 4,Pérdidas 3,Regates totales 2,Tiros a puerta 1,Despejes totales 3,Faltas recibidas 3,Faltas cometidas 3,Minutos jugados 83,Toques 48,Valoración 6.5,Posesiones perdidas 18,Goles esperados 0.1,MATCH_STAT_expectedAssists 0.1,2023-11-03 23:07:41.438463
IsiPalazón,J8,2,2,2,6,Pases totales 41,Pases precisos 34,Balones en largo totales 6,Balones en largo precisos 2,Centros totales 5,Centros precisos 1,Duelos aéreos perdidos 2,Duelos aéreos ganados 1,Duelos perdidos 5,Duelos ganados 9,Regateado 1,Regates totales 4,Regates completados 2,Tiros a puerta 1,Tiros al palo 1,Despejes totales 1,Entradas totales 2,Faltas recibidas 4,Minutos jugados 90,Toques 62,Valoración 7.2,Posesiones perdidas 15,Goles esperados 0.0,MATCH_STAT_expectedAssists 0.1,2023-11-03 23:07:48.114825
IsiPalazón,J7,6,2,6,4,Pases totales 6,Pases precisos 5,Balones en largo totales 1,Balones en largo precisos 1,Centros totales 2,Duelos perdidos 1,Duelos ganados 1,Pérdidas 1,Tiros fuera 2,Tiros a puerta 1,Faltas recibidas 1,Minutos jugados 24,Toques 13,Valoración 6.9,Posesiones perdidas 4,Goles esperados 0.1,MATCH_STAT_expectedAssists 0.0,2023-11-03 23:07:54.764252
IsiPalazón,J6,2,6,2,2,Pases totales 17,Pases precisos 10,Balones en largo totales 3,Balones en largo precisos 1,Duelos aéreos perdidos 1,Duelos perdidos 5,Duelos ganados 1,Regateado 1,Pérdidas 3,Tiros a puerta 1,Despejes totales 1,Intercepciones 1,Faltas recibidas 1,Fueras de juego 1,Minutos jugados 60,Toques 24,Valoración 6.4,Posesiones perdidas 10,Goles esperados 0.0,MATCH_STAT_expectedAssists 0.0,2023-11-03 23:08:01.421049
IsiPalazón,J5,9,9,9,10,Pases totales 27,Pases precisos 22,Balones en largo totales 5,Balones en largo precisos 3,Centros totales 4,Centros precisos 1,Duelos aéreos perdidos 3,Duelos perdidos 7,Duelos ganados 2,Pérdidas 2,Regates totales 2,Regates completados 1,Tiros a puerta 3,Goles 1,Despejes totales 2,Faltas recibidas 1,Faltas cometidas 1,Minutos jugados 77,Toques 46,Valoración 7.5,Posesiones perdidas 13,Goles esperados 0.8,Pases clave 2,MATCH_STAT_expectedAssists 0.1,2023-11-03 23:08:08.110277
IsiPalazón,J4,2,2,6,5,Pases totales 29,Pases precisos 24,Balones en largo totales 4,Balones en largo precisos 4,Centros totales 4,Centros precisos 1,Duelos perdidos 3,Duelos ganados 4,Pérdidas 3,Tiros a puerta 1,Tiros bloqueados en ataque 1,Despejes totales 2,Entradas totales 1,Faltas recibidas 3,Minutos jugados 64,Toques 51,Valoración 7,Posesiones perdidas 14,Goles esperados 0.1,Pases clave 1,MATCH_STAT_expectedAssists 0.1,2023-11-03 23:08:14.780736
IsiPalazón,J3,2,2,6,5,Pases totales 32,Pases precisos 20,Balones en largo totales 3,Balones en largo precisos 2,Centros totales 7,Centros precisos 3,Duelos aéreos perdidos 1,Duelos aéreos ganados 1,Duelos perdidos 7,Duelos ganados 9,Regateado 1,Pérdidas 2,Regates totales 5,Regates completados 3,Tiros a puerta 2,Despejes totales 1,Entradas totales 2,Faltas recibidas 3,Faltas cometidas 2,Minutos jugados 67,Toques 63,Valoración 7,Posesiones perdidas 26,Goles esperados 0.0,Pases clave 2,MATCH_STAT_expectedAssists 0.2,2023-11-03 23:08:21.473358
IsiPalazón,J2,6,2,10,6,Pases totales 38,Pases precisos 29,Balones en largo totales 2,Balones en largo precisos 2,Centros totales 1,Duelos aéreos perdidos 4,Duelos aéreos ganados 3,Duelos perdidos 13,Duelos ganados 9,Regateado 1,Pérdidas 4,Regates totales 4,Regates completados 1,Tiros fuera 1,Tiros a puerta 1,Intercepciones 1,Entradas totales 1,Faltas recibidas 4,Faltas cometidas 2,Fueras de juego 1,Minutos jugados 90,Toques 65,Valoración 7.2,Posesiones perdidas 24,Goles esperados 0.1,Pases clave 2,MATCH_STAT_expectedAssists 0.2,2023-11-03 23:08:28.165608
IsiPalazón,J1,9,9,9,10,Pases totales 38,Pases precisos 32,Balones en largo totales 4,Balones en largo precisos 3,Centros totales 2,Centros precisos 1,Duelos aéreos perdidos 3,Duelos aéreos ganados 2,Duelos perdidos 6,Duelos ganados 5,Pérdidas 2,Regates totales 1,Tiros fuera 1,Tiros a puerta 1,Tiros bloqueados en ataque 1,Goles 1,Despejes totales 2,Intercepciones 3,Entradas totales 1,Faltas recibidas 2,Minutos jugados 90,Toques 57,Valoración 7.5,Posesiones perdidas 11,Goles esperados 1.0,Pases clave 1,MATCH_STAT_expectedAssists 0.0,2023-11-03 23:08:34.886241
