Player full name,Game Week,AS Score,Marca Score,Mundo Deportivo Score,Sofa Score,Stat 1,Stat 2,Stat 3,Stat 4,Stat 5,Stat 6,Stat 7,Stat 8,Stat 9,Stat 10,Stat 11,Stat 12,Stat 13,Stat 14,Stat 15,Stat 16,Stat 17,Stat 18,Stat 19,Stat 20,Stat 21,Stat 22,Stat 23,Stat 24,Stat 25,Stat 26,Stat 27,Stat 28,Stat 29,Stat 30
José ÁngelCarmona,J11,2,2,6,1,Pases totales 11,Pases precisos 6,Balones en largo totales 1,Duelos aéreos perdidos 2,Duelos aéreos ganados 1,Duelos perdidos 8,Duelos ganados 2,Regateado 1,Pérdidas 2,Regates totales 1,Tiros bloqueados en ataque 1,Despejes totales 1,Faltas recibidas 1,Faltas cometidas 3,Minutos jugados 71,Toques 21,Valoración 6.2,Posesiones perdidas 11,Goles esperados 0.1,2023-11-04 02:21:34.815763
José ÁngelCarmona,J10,6,2,2,6,Pases totales 21,Pases precisos 18,Centros totales 1,Duelos aéreos ganados 3,Duelos perdidos 4,Duelos ganados 10,Regateado 1,Tiros fuera 1,Tiros bloqueados en ataque 1,Despejes totales 1,Entradas totales 4,Faltas recibidas 3,Faltas cometidas 3,Minutos jugados 90,Toques 41,Valoración 7.2,Posesiones perdidas 7,Goles esperados 0.1,Pases clave 1,MATCH_STAT_expectedAssists 0.1,2023-11-04 02:21:41.482346
José ÁngelCarmona,J9,0,0,6,2,Despejes totales 1,Minutos jugados 10,Toques 2,Valoración 6.4,Goles esperados 0,2023-11-04 02:21:48.063214
José ÁngelCarmona,J7,6,2,6,5,Pases totales 11,Pases precisos 11,Balones en largo totales 1,Balones en largo precisos 1,Asistencias de gol 1,Centros totales 2,Centros precisos 1,Duelos perdidos 1,Regateado 1,Minutos jugados 13,Toques 14,Valoración 7,Posesiones perdidas 1,Goles esperados 0,Pases clave 1,MATCH_STAT_expectedAssists 0.2,2023-11-04 02:21:56.931848
José ÁngelCarmona,J6,-2,2,6,1,Pases totales 18,Pases precisos 10,Balones en largo totales 3,Centros totales 1,Duelos aéreos perdidos 5,Duelos aéreos ganados 1,Duelos perdidos 9,Duelos ganados 4,Regateado 1,Regates totales 1,Intercepciones 1,Entradas totales 2,Faltas recibidas 1,Faltas cometidas 2,Minutos jugados 68,Toques 32,Valoración 6.2,Posesiones perdidas 13,Goles esperados 0,MATCH_STAT_expectedAssists 0.0,2023-11-04 02:22:03.591130
José ÁngelCarmona,J5,11,11,11,10,Pases totales 11,Pases precisos 10,Balones en largo totales 1,Duelos perdidos 3,Duelos ganados 1,Pérdidas 1,Tiros a puerta 1,Goles 1,Entradas totales 1,Faltas cometidas 2,Minutos jugados 61,Toques 19,Valoración 7,Posesiones perdidas 4,Goles esperados 0.0,Pases clave 1,MATCH_STAT_expectedAssists 0.0,2023-11-04 02:22:10.242382
José ÁngelCarmona,J4,2,2,-2,2,Pases totales 6,Pases precisos 5,Balones en largo totales 1,Balones en largo precisos 1,Duelos perdidos 1,Duelos ganados 1,Despejes totales 1,Intercepciones 1,Faltas recibidas 1,Faltas cometidas 1,Minutos jugados 13,Toques 10,Valoración 6.5,Posesiones perdidas 1,Goles esperados 0,2023-11-04 02:22:16.862664
