Player full name,Game Week,AS Score,Marca Score,Mundo Deportivo Score,Sofa Score,Stat 1,Stat 2,Stat 3,Stat 4,Stat 5,Stat 6,Stat 7,Stat 8,Stat 9,Stat 10,Stat 11,Stat 12,Stat 13,Stat 14,Stat 15,Stat 16,Stat 17,Stat 18,Stat 19,Stat 20,Stat 21,Stat 22,Stat 23,Stat 24,Stat 25,Stat 26,Stat 27,Stat 28,Stat 29,Stat 30
ChristianStuani,J11,2,2,2,3,Pases totales 3,Pases precisos 2,Duelos aéreos ganados 1,Duelos perdidos 3,Duelos ganados 1,Pérdidas 1,Tiros fuera 2,Faltas cometidas 2,Minutos jugados 23,Toques 6,Valoración 6.7,Posesiones perdidas 2,Goles esperados 0.1,MATCH_STAT_expectedAssists 0.1,2023-11-03 23:44:09.657866
ChristianStuani,J10,9,9,9,9,Pases totales 2,Pases precisos 1,Duelos aéreos perdidos 2,Duelos perdidos 2,Duelos ganados 1,Tiros a puerta 1,Goles 1,Faltas recibidas 1,Minutos jugados 23,Toques 5,Valoración 7.2,Posesiones perdidas 1,Goles esperados 0.3,2023-11-03 23:44:16.292194
ChristianStuani,J9,2,2,2,4,Pases totales 5,Pases precisos 3,Duelos aéreos perdidos 1,Duelos perdidos 2,Duelos ganados 2,Despejes totales 2,Entradas totales 1,Faltas recibidas 1,Faltas cometidas 1,Minutos jugados 18,Toques 9,Valoración 6.8,Posesiones perdidas 2,Goles esperados 0,Pases clave 2,2023-11-03 23:44:22.909355
ChristianStuani,J8,2,2,2,3,Pases totales 4,Pases precisos 3,Duelos aéreos perdidos 1,Duelos perdidos 1,Duelos ganados 3,Entradas totales 2,Faltas recibidas 1,Minutos jugados 30,Toques 7,Valoración 6.7,Posesiones perdidas 1,Goles esperados 0,MATCH_STAT_expectedAssists 0.0,2023-11-03 23:44:29.520013
ChristianStuani,J7,2,6,6,3,Pases totales 5,Pases precisos 4,Duelos aéreos perdidos 2,Duelos aéreos ganados 1,Duelos perdidos 4,Duelos ganados 2,Regates totales 1,Regates completados 1,Ocasiones claras falladas 1,Tiros fuera 2,Tiros al palo 1,Despejes totales 2,Faltas cometidas 2,Minutos jugados 21,Toques 12,Valoración 6.7,Posesiones perdidas 2,Goles esperados 0.2,Pases clave 1,MATCH_STAT_expectedAssists 0.0,2023-11-03 23:44:36.174000
ChristianStuani,J6,2,2,2,1,Pases totales 7,Pases precisos 5,Duelos aéreos perdidos 1,Duelos aéreos ganados 2,Duelos perdidos 2,Duelos ganados 3,Ocasiones creadas 1,Ocasiones claras falladas 2,Tiros fuera 2,Entradas totales 1,Faltas cometidas 1,Minutos jugados 29,Toques 12,Valoración 6.2,Posesiones perdidas 4,Goles esperados 0.7,Pases clave 1,MATCH_STAT_expectedAssists 0.0,2023-11-03 23:44:42.834695
ChristianStuani,J5,2,2,2,3,Pases totales 5,Pases precisos 4,Balones en largo totales 1,Balones en largo precisos 1,Asistencias de gol 1,Duelos aéreos perdidos 3,Duelos aéreos ganados 2,Duelos perdidos 6,Duelos ganados 2,Ocasiones claras falladas 2,Tiros a puerta 2,Tiros bloqueados en ataque 1,Faltas cometidas 3,Minutos jugados 19,Toques 9,Valoración 6.7,Posesiones perdidas 1,Goles esperados 1.0,Pases clave 1,2023-11-03 23:44:49.492505
ChristianStuani,J4,6,2,2,3,Pases totales 10,Pases precisos 7,Duelos aéreos ganados 1,Duelos perdidos 5,Duelos ganados 4,Regateado 2,Entradas totales 2,Faltas recibidas 1,Faltas cometidas 3,Fueras de juego 1,Minutos jugados 61,Toques 14,Valoración 6.7,Posesiones perdidas 4,Goles esperados 0,Pases clave 1,MATCH_STAT_expectedAssists 0.1,2023-11-03 23:44:56.127320
ChristianStuani,J3,2,2,2,2,Pases totales 10,Pases precisos 8,Balones en largo totales 1,Duelos perdidos 1,Duelos ganados 1,Despejes totales 1,Intercepciones 1,Faltas recibidas 1,Faltas cometidas 1,Minutos jugados 63,Toques 17,Valoración 6.5,Posesiones perdidas 4,Goles esperados 0,2023-11-03 23:45:02.764166
ChristianStuani,J2,16,16,16,16,Pases totales 11,Pases precisos 8,Centros totales 1,Duelos aéreos perdidos 1,Duelos perdidos 4,Duelos ganados 2,Pérdidas 1,Tiros a puerta 3,Goles 2,Despejes totales 1,Entradas totales 1,Faltas recibidas 1,Faltas cometidas 2,Fueras de juego 1,Minutos jugados 71,Toques 22,Valoración 8.5,Posesiones perdidas 7,Goles esperados 0.7,2023-11-03 23:45:09.444130
ChristianStuani,J1,2,2,6,1,Pases totales 7,Pases precisos 6,Duelos aéreos perdidos 3,Duelos aéreos ganados 5,Duelos perdidos 4,Duelos ganados 5,Regates totales 1,Ocasiones claras falladas 1,Tiros fuera 1,Tiros bloqueados en ataque 1,Despejes totales 1,Fueras de juego 1,Minutos jugados 64,Toques 13,Valoración 6.3,Posesiones perdidas 4,Goles esperados 0.3,2023-11-03 23:45:16.095685
