Player full name,Game Week,AS Score,Marca Score,Mundo Deportivo Score,Sofa Score,Stat 1,Stat 2,Stat 3,Stat 4,Stat 5,Stat 6,Stat 7,Stat 8,Stat 9,Stat 10,Stat 11,Stat 12,Stat 13,Stat 14,Stat 15,Stat 16,Stat 17,Stat 18,Stat 19,Stat 20,Stat 21,Stat 22,Stat 23,Stat 24,Stat 25,Stat 26,Stat 27,Stat 28,Stat 29,Stat 30
Sandro,J5,6,6,6,6,Pases totales 38,Pases precisos 33,Balones en largo totales 1,Balones en largo precisos 1,Centros totales 1,Duelos aéreos perdidos 1,Duelos perdidos 6,Duelos ganados 8,Pérdidas 1,Regates totales 7,Regates completados 3,Tiros a puerta 1,Tiros bloqueados en ataque 2,Despejes totales 1,Entradas totales 3,Faltas recibidas 2,Minutos jugados 90,Toques 63,Valoración 7.3,Posesiones perdidas 14,Goles esperados 0.1,Pases clave 2,MATCH_STAT_expectedAssists 0.1,2023-11-04 03:13:29.849786
Sandro,J3,2,6,6,6,Pases totales 25,Pases precisos 21,Centros totales 2,Duelos aéreos ganados 2,Duelos perdidos 3,Duelos ganados 5,Regateado 1,Regates totales 4,Regates completados 2,Ocasiones creadas 1,Ocasiones claras falladas 1,Tiros fuera 1,Tiros a puerta 1,Despejes totales 1,Faltas recibidas 1,Fueras de juego 2,Minutos jugados 79,Toques 37,Valoración 7.3,Posesiones perdidas 9,Goles esperados 0.2,Pases clave 3,MATCH_STAT_expectedAssists 0.5,2023-11-04 03:13:38.736524
Sandro,J2,2,2,2,5,Pases totales 35,Pases precisos 29,Balones en largo totales 1,Balones en largo precisos 1,Duelos aéreos ganados 1,Duelos ganados 6,Regates totales 2,Regates completados 2,Despejes totales 1,Entradas totales 1,Faltas recibidas 2,Minutos jugados 90,Toques 49,Valoración 7.1,Posesiones perdidas 13,Goles esperados 0,Pases clave 1,MATCH_STAT_expectedAssists 0.0,2023-11-04 03:13:45.397905
Sandro,J1,2,6,10,5,Pases totales 21,Pases precisos 17,Centros totales 2,Duelos aéreos perdidos 1,Duelos perdidos 8,Duelos ganados 6,Pérdidas 3,Regates totales 2,Tiros fuera 1,Tiros a puerta 1,Despejes totales 1,Faltas recibidas 6,Faltas cometidas 2,Penaltis provocados 1,Minutos jugados 90,Toques 43,Valoración 7,Posesiones perdidas 16,Goles esperados 0.1,MATCH_STAT_expectedAssists 0.0,2023-11-04 03:13:52.114996
