Player full name,Game Week,AS Score,Marca Score,Mundo Deportivo Score,Sofa Score,Stat 1,Stat 2,Stat 3,Stat 4,Stat 5,Stat 6,Stat 7,Stat 8,Stat 9,Stat 10,Stat 11,Stat 12,Stat 13,Stat 14,Stat 15,Stat 16,Stat 17,Stat 18,Stat 19,Stat 20,Stat 21,Stat 22,Stat 23,Stat 24,Stat 25,Stat 26,Stat 27,Stat 28,Stat 29,Stat 30
SoryKaba,J12,0,2,6,1,Pases totales 1,Pases precisos 1,Duelos aéreos perdidos 3,Duelos aéreos ganados 1,Duelos perdidos 7,Duelos ganados 1,Pérdidas 2,Regates totales 1,Despejes totales 2,Faltas cometidas 1,Minutos jugados 15,Toques 9,Valoración 6.2,Posesiones perdidas 6,2023-11-04 02:45:54.797795
SoryKaba,J11,9,9,5,8,Pases totales 8,Pases precisos 6,Duelos aéreos perdidos 2,Duelos aéreos ganados 3,Duelos perdidos 5,Duelos ganados 3,Ocasiones claras falladas 1,Tiros fuera 2,Tiros a puerta 1,Goles 1,Despejes totales 1,Faltas cometidas 4,Minutos jugados 30,Toques 14,Valoración 7,Posesiones perdidas 4,Goles esperados 0.2,2023-11-04 02:46:01.468527
SoryKaba,J10,0,0,2,3,Pases totales 6,Pases precisos 4,Duelos aéreos perdidos 1,Duelos aéreos ganados 2,Duelos perdidos 1,Duelos ganados 2,Minutos jugados 16,Toques 7,Valoración 6.6,Posesiones perdidas 3,MATCH_STAT_expectedAssists 0.0,2023-11-04 02:46:08.092804
SoryKaba,J9,2,6,2,3,Pases totales 14,Pases precisos 9,Balones en largo totales 2,Balones en largo precisos 1,Duelos aéreos perdidos 2,Duelos aéreos ganados 1,Duelos perdidos 4,Duelos ganados 7,Regates totales 5,Regates completados 4,Entradas totales 1,Faltas recibidas 1,Faltas cometidas 1,Minutos jugados 32,Toques 30,Valoración 6.6,Posesiones perdidas 13,Goles esperados 0,Pases clave 1,MATCH_STAT_expectedAssists 0.0,2023-11-04 02:46:14.760778
SoryKaba,J8,2,2,2,3,Pases totales 5,Pases precisos 4,Duelos aéreos perdidos 1,Duelos aéreos ganados 1,Duelos perdidos 1,Duelos ganados 2,Despejes totales 1,Faltas recibidas 1,Faltas cometidas 1,Fueras de juego 1,Minutos jugados 63,Toques 13,Valoración 6.6,Posesiones perdidas 3,Goles esperados 0,MATCH_STAT_expectedAssists 0.0,2023-11-04 02:46:21.387279
SoryKaba,J7,-2,2,-2,4,Pases totales 21,Pases precisos 20,Duelos aéreos ganados 2,Duelos perdidos 1,Duelos ganados 4,Pérdidas 1,Regates totales 1,Regates completados 1,Tiros fuera 1,Tiros bloqueados en ataque 1,Despejes totales 1,Faltas recibidas 1,Faltas cometidas 1,Minutos jugados 57,Toques 37,Valoración 6.8,Posesiones perdidas 6,Goles esperados 0.2,Pases clave 1,MATCH_STAT_expectedAssists 0.0,2023-11-04 02:46:28.092309
SoryKaba,J6,2,6,2,0,Pases totales 6,Pases precisos 3,Asistencias de gol 1,Duelos aéreos perdidos 4,Duelos aéreos ganados 1,Duelos perdidos 8,Duelos ganados 1,Pérdidas 1,Regates totales 2,Ocasiones claras falladas 1,Tiros fuera 1,Despejes totales 1,Faltas cometidas 1,Fueras de juego 1,Minutos jugados 24,Toques 14,Valoración 6.1,Posesiones perdidas 7,Goles esperados 0.3,Pases clave 1,MATCH_STAT_expectedAssists 0.0,2023-11-04 02:46:34.778821
SoryKaba,J5,-2,2,2,-1,Pases totales 17,Pases precisos 10,Balones en largo totales 1,Balones en largo precisos 1,Duelos aéreos perdidos 3,Duelos aéreos ganados 3,Duelos perdidos 9,Duelos ganados 5,Regateado 1,Pérdidas 3,Regates totales 1,Regates completados 1,Ocasiones claras falladas 2,Tiros fuera 1,Tiros bloqueados en ataque 1,Despejes totales 1,Faltas recibidas 1,Faltas cometidas 2,Minutos jugados 90,Toques 34,Valoración 5.8,Posesiones perdidas 17,Goles esperados 0.5,MATCH_STAT_expectedAssists 0.0,2023-11-04 02:46:41.482038
SoryKaba,J4,6,2,2,5,Pases totales 15,Pases precisos 10,Balones en largo totales 1,Balones en largo precisos 1,Duelos aéreos perdidos 4,Duelos aéreos ganados 2,Duelos perdidos 8,Duelos ganados 8,Pérdidas 1,Regates totales 7,Regates completados 4,Tiros fuera 1,Tiros bloqueados en ataque 2,Faltas recibidas 2,Minutos jugados 90,Toques 36,Valoración 7,Posesiones perdidas 12,Goles esperados 0.1,Pases clave 1,MATCH_STAT_expectedAssists 0.1,2023-11-04 02:46:48.167436
SoryKaba,J3,2,2,10,3,Pases totales 11,Pases precisos 7,Duelos aéreos perdidos 2,Duelos aéreos ganados 6,Duelos perdidos 7,Duelos ganados 9,Regateado 2,Pérdidas 1,Regates totales 2,Despejes totales 1,Faltas recibidas 4,Minutos jugados 68,Toques 25,Valoración 6.6,Posesiones perdidas 11,Goles esperados 0,MATCH_STAT_expectedAssists 0.0,2023-11-04 02:46:54.812339
