Player full name,Game Week,AS Score,Marca Score,Mundo Deportivo Score,Sofa Score,Stat 1,Stat 2,Stat 3,Stat 4,Stat 5,Stat 6,Stat 7,Stat 8,Stat 9,Stat 10,Stat 11,Stat 12,Stat 13,Stat 14,Stat 15,Stat 16,Stat 17,Stat 18,Stat 19,Stat 20,Stat 21,Stat 22,Stat 23,Stat 24,Stat 25,Stat 26,Stat 27,Stat 28,Stat 29,Stat 30
LéoBaptistão,J11,2,2,2,4,Pases totales 16,Pases precisos 11,Duelos aéreos perdidos 3,Duelos aéreos ganados 1,Duelos perdidos 6,Duelos ganados 3,Pérdidas 1,Regates totales 1,Tiros fuera 1,Tiros a puerta 2,Faltas recibidas 2,Faltas cometidas 1,Fueras de juego 2,Minutos jugados 86,Toques 28,Valoración 6.9,Posesiones perdidas 8,Goles esperados 0.1,Pases clave 1,MATCH_STAT_expectedAssists 0.0,2023-11-04 02:14:15.953891
LéoBaptistão,J10,12,12,12,16,Pases totales 19,Pases precisos 10,Balones en largo totales 1,Balones en largo precisos 1,Centros totales 1,Duelos aéreos perdidos 5,Duelos aéreos ganados 3,Duelos perdidos 8,Duelos ganados 8,Tiros fuera 1,Tiros a puerta 2,Goles 2,Despejes totales 3,Entradas totales 1,Faltas recibidas 4,Faltas cometidas 3,Minutos jugados 89,Toques 37,Valoración 8.5,Posesiones perdidas 13,Goles esperados 0.8,2023-11-04 02:14:22.615511
LéoBaptistão,J8,2,6,10,5,Pases totales 15,Pases precisos 8,Balones en largo totales 3,Balones en largo precisos 1,Centros totales 2,Duelos aéreos ganados 1,Duelos perdidos 2,Duelos ganados 3,Regateado 2,Tiros fuera 1,Tiros a puerta 1,Tiros al palo 1,Despejes totales 1,Tiros bloqueados en defensa 1,Intercepciones 1,Entradas totales 2,Minutos jugados 49,Toques 25,Valoración 7.1,Posesiones perdidas 9,Goles esperados 0.1,2023-11-04 02:14:31.508483
LéoBaptistão,J7,2,2,2,2,Pases totales 3,Pases precisos 3,Duelos aéreos perdidos 1,Duelos perdidos 3,Duelos ganados 2,Regateado 1,Regates totales 1,Faltas recibidas 2,Minutos jugados 18,Toques 8,Valoración 6.4,Posesiones perdidas 2,Goles esperados 0,2023-11-04 02:14:38.153076
LéoBaptistão,J6,2,0,2,1,Centros totales 1,Duelos aéreos perdidos 2,Duelos perdidos 4,Pérdidas 1,Regates totales 1,Minutos jugados 16,Toques 4,Valoración 6.3,Posesiones perdidas 3,Goles esperados 0,2023-11-04 02:14:44.787857
LéoBaptistão,J5,0,0,6,2,Pases totales 2,Pases precisos 1,Duelos perdidos 1,Duelos ganados 1,Regateado 1,Regates totales 1,Regates completados 1,Minutos jugados 10,Toques 3,Valoración 6.5,Posesiones perdidas 1,Goles esperados 0,2023-11-04 02:14:51.424112
LéoBaptistão,J4,0,0,0,3,Pases totales 2,Pases precisos 2,Duelos aéreos ganados 1,Duelos ganados 1,Minutos jugados 8,Toques 2,Valoración 6.6,Goles esperados 0,2023-11-04 02:14:58.048442
LéoBaptistão,J3,2,0,0,3,Duelos ganados 1,Faltas recibidas 1,Minutos jugados 13,Toques 1,Valoración 6.6,Goles esperados 0,2023-11-04 02:15:04.642850
