Player full name,Game Week,AS Score,Marca Score,Mundo Deportivo Score,Sofa Score,Stat 1,Stat 2,Stat 3,Stat 4,Stat 5,Stat 6,Stat 7,Stat 8,Stat 9,Stat 10,Stat 11,Stat 12,Stat 13,Stat 14,Stat 15,Stat 16,Stat 17,Stat 18,Stat 19,Stat 20,Stat 21,Stat 22,Stat 23,Stat 24,Stat 25,Stat 26,Stat 27,Stat 28,Stat 29,Stat 30
WilliamCarvalho,J11,0,0,2,3,Pases totales 12,Pases precisos 9,Centros totales 1,Minutos jugados 10,Toques 15,Valoración 6.6,Posesiones perdidas 4,2023-11-04 04:10:01.320822
WilliamCarvalho,J10,2,2,2,3,Pases totales 32,Pases precisos 29,Balones en largo totales 5,Balones en largo precisos 2,Duelos aéreos ganados 1,Duelos perdidos 1,Duelos ganados 3,Pérdidas 1,Entradas totales 1,Faltas recibidas 1,Minutos jugados 30,Toques 35,Valoración 6.7,Posesiones perdidas 4,MATCH_STAT_expectedAssists 0.0,2023-11-04 04:10:07.953720
WilliamCarvalho,J9,2,2,2,2,Pases totales 46,Pases precisos 39,Balones en largo totales 3,Balones en largo precisos 1,Duelos perdidos 3,Duelos ganados 1,Regateado 1,Regates totales 2,Intercepciones 1,Faltas recibidas 1,Minutos jugados 45,Toques 51,Valoración 6.5,Posesiones perdidas 10,Goles esperados 0,MATCH_STAT_expectedAssists 0.0,2023-11-04 04:10:14.571424
WilliamCarvalho,J8,6,6,6,4,Pases totales 25,Pases precisos 20,Asistencias de gol 1,Duelos aéreos ganados 1,Duelos perdidos 1,Duelos ganados 3,Regates totales 2,Regates completados 1,Faltas recibidas 1,Minutos jugados 28,Toques 30,Valoración 6.9,Posesiones perdidas 8,Goles esperados 0,Pases clave 1,MATCH_STAT_expectedAssists 0.0,2023-11-04 04:10:21.201258
WilliamCarvalho,J7,2,2,2,4,Pases totales 22,Pases precisos 19,Balones en largo totales 1,Centros totales 1,Duelos aéreos ganados 1,Duelos ganados 2,Entradas totales 1,Minutos jugados 17,Toques 24,Valoración 6.9,Posesiones perdidas 4,Goles esperados 0,Pases clave 1,MATCH_STAT_expectedAssists 0.1,2023-11-04 04:10:27.818728
