Player full name,Game Week,AS Score,Marca Score,Mundo Deportivo Score,Sofa Score,Stat 1,Stat 2,Stat 3,Stat 4,Stat 5,Stat 6,Stat 7,Stat 8,Stat 9,Stat 10,Stat 11,Stat 12,Stat 13,Stat 14,Stat 15,Stat 16,Stat 17,Stat 18,Stat 19,Stat 20,Stat 21,Stat 22,Stat 23,Stat 24,Stat 25,Stat 26,Stat 27,Stat 28,Stat 29,Stat 30
AridaneHernández,J10,6,2,6,5,Pases totales 36,Pases precisos 32,Balones en largo totales 7,Balones en largo precisos 4,Duelos aéreos perdidos 1,Duelos aéreos ganados 2,Duelos perdidos 2,Duelos ganados 3,Regates totales 1,Regates completados 1,Despejes totales 9,Tiros bloqueados en defensa 1,Intercepciones 1,Penaltis cometidos 1,Faltas cometidas 2,Minutos jugados 90,Toques 51,Valoración 7.1,Posesiones perdidas 4,2023-11-04 02:07:10.351626
AridaneHernández,J9,6,2,2,3,Pases totales 10,Pases precisos 8,Balones en largo totales 2,Balones en largo precisos 2,Duelos aéreos perdidos 2,Duelos aéreos ganados 3,Duelos perdidos 3,Duelos ganados 4,Despejes totales 10,Tiros bloqueados en defensa 1,Faltas recibidas 1,Faltas cometidas 1,Minutos jugados 90,Toques 24,Valoración 6.7,Posesiones perdidas 2,Goles esperados 0,2023-11-04 02:07:17.020024
AridaneHernández,J8,2,2,2,2,Pases totales 40,Pases precisos 33,Balones en largo totales 8,Balones en largo precisos 4,Duelos aéreos perdidos 3,Duelos aéreos ganados 4,Duelos perdidos 4,Duelos ganados 5,Regateado 1,Despejes totales 3,Intercepciones 1,Errores que llevan a disparo 1,Faltas recibidas 1,Minutos jugados 71,Toques 45,Valoración 6.4,Posesiones perdidas 7,Goles esperados 0,2023-11-04 02:07:23.661805
AridaneHernández,J6,2,2,2,3,Pases totales 25,Pases precisos 22,Balones en largo totales 7,Balones en largo precisos 5,Despejes totales 6,Minutos jugados 90,Toques 32,Valoración 6.7,Posesiones perdidas 4,Goles esperados 0,2023-11-04 02:07:32.532575
AridaneHernández,J5,2,2,6,5,Pases totales 38,Pases precisos 33,Balones en largo totales 5,Balones en largo precisos 2,Duelos aéreos perdidos 1,Duelos aéreos ganados 1,Duelos perdidos 3,Duelos ganados 5,Despejes totales 5,Tiros bloqueados en defensa 1,Entradas totales 2,Faltas recibidas 2,Faltas cometidas 2,Minutos jugados 90,Toques 49,Valoración 7.1,Posesiones perdidas 6,Goles esperados 0,2023-11-04 02:07:39.155664
AridaneHernández,J4,2,-2,6,5,Pases totales 45,Pases precisos 36,Balones en largo totales 9,Balones en largo precisos 5,Duelos aéreos perdidos 1,Duelos aéreos ganados 2,Duelos perdidos 1,Duelos ganados 5,Despejes totales 6,Tiros bloqueados en defensa 1,Entradas totales 1,Faltas recibidas 2,Minutos jugados 90,Toques 57,Valoración 7.1,Posesiones perdidas 10,Goles esperados 0,Pases clave 1,MATCH_STAT_expectedAssists 0.0,2023-11-04 02:07:45.776363
AridaneHernández,J3,-2,-2,2,-2,Pases totales 32,Pases precisos 25,Balones en largo totales 4,Balones en largo precisos 1,Duelos aéreos perdidos 2,Duelos aéreos ganados 2,Duelos perdidos 3,Duelos ganados 4,Regateado 1,Tiros bloqueados en ataque 1,Despejes totales 1,Entradas totales 2,Minutos jugados 90,Toques 39,Valoración 5.6,Posesiones perdidas 7,Goles esperados 0.0,MATCH_STAT_expectedAssists 0.0,2023-11-04 02:07:52.389965
AridaneHernández,J2,6,6,6,5,Pases totales 37,Pases precisos 34,Balones en largo totales 3,Balones en largo precisos 3,Duelos aéreos ganados 1,Duelos perdidos 1,Duelos ganados 2,Regateado 1,Tiros fuera 1,Despejes totales 4,Entradas totales 1,Minutos jugados 90,Toques 43,Valoración 7,Posesiones perdidas 3,Goles esperados 0.0,2023-11-04 02:07:59.023655
AridaneHernández,J1,6,6,6,6,Pases totales 35,Pases precisos 26,Balones en largo totales 9,Balones en largo precisos 5,Duelos aéreos ganados 3,Duelos perdidos 1,Duelos ganados 4,Despejes totales 5,Intercepciones 1,Entradas totales 1,Faltas cometidas 1,Minutos jugados 90,Toques 45,Valoración 7.2,Posesiones perdidas 10,Goles esperados 0,MATCH_STAT_expectedAssists 0.0,2023-11-04 02:08:05.687038
