Player full name,Game Week,AS Score,Marca Score,Mundo Deportivo Score,Sofa Score,Stat 1,Stat 2,Stat 3,Stat 4,Stat 5,Stat 6,Stat 7,Stat 8,Stat 9,Stat 10,Stat 11,Stat 12,Stat 13,Stat 14,Stat 15,Stat 16,Stat 17,Stat 18,Stat 19,Stat 20,Stat 21,Stat 22,Stat 23,Stat 24,Stat 25,Stat 26,Stat 27,Stat 28,Stat 29,Stat 30
FilipJörgensen,J11,6,6,10,5,Pases totales 37,Pases precisos 23,Balones en largo totales 14,Balones en largo precisos 1,Despejes totales 2,Paradas desde dentro del área 4,Paradas 6,Despejes con los puños 2,Minutos jugados 90,Toques 50,Valoración 7,Posesiones perdidas 15,Goles evitados -0.4,2023-11-03 22:57:41.341830
FilipJörgensen,J10,10,6,10,10,Pases totales 41,Pases precisos 33,Balones en largo totales 11,Balones en largo precisos 4,Duelos aéreos ganados 2,Duelos ganados 2,Errores que llevan a disparo 1,Despejes por alto 4,Paradas desde dentro del área 4,Paradas 6,Minutos jugados 90,Toques 61,Valoración 8,Posesiones perdidas 8,Goles evitados 0.7,2023-11-03 22:57:47.963793
FilipJörgensen,J9,2,-2,2,5,Pases totales 28,Pases precisos 26,Balones en largo totales 5,Balones en largo precisos 3,Despejes totales 1,Paradas desde dentro del área 3,Paradas 3,Despejes con los puños 1,Salidas totales 2,Salidas precisas 2,Minutos jugados 90,Toques 42,Valoración 7,Posesiones perdidas 2,Goles esperados 0,Goles evitados -0.2,2023-11-03 22:57:54.591110
FilipJörgensen,J8,10,10,14,12,Pases totales 44,Pases precisos 26,Balones en largo totales 34,Balones en largo precisos 16,Despejes por alto 1,Paradas desde dentro del área 7,Paradas 9,Minutos jugados 90,Toques 57,Valoración 9.6,Posesiones perdidas 18,Goles esperados 0,Goles evitados 1.5,2023-11-03 22:58:01.202602
FilipJörgensen,J7,2,-2,2,4,Pases totales 35,Pases precisos 31,Balones en largo totales 14,Balones en largo precisos 10,Duelos perdidos 1,Duelos ganados 1,Regateado 1,Despejes totales 1,Errores que llevan a disparo 1,Faltas recibidas 1,Paradas desde dentro del área 3,Paradas 3,Salidas totales 1,Salidas precisas 1,Minutos jugados 90,Toques 45,Valoración 6.8,Posesiones perdidas 6,Goles esperados 0,Goles evitados -0.6,2023-11-03 22:58:07.854990
FilipJörgensen,J6,6,6,2,9,Pases totales 41,Pases precisos 34,Balones en largo totales 13,Balones en largo precisos 6,Duelos ganados 1,Despejes totales 2,Entradas totales 1,Paradas desde dentro del área 3,Paradas 5,Despejes con los puños 1,Minutos jugados 90,Toques 50,Valoración 7.8,Posesiones perdidas 7,Goles esperados 0,Goles evitados 0.4,2023-11-03 22:58:14.482327
FilipJörgensen,J5,10,6,10,10,Pases totales 28,Pases precisos 22,Balones en largo totales 11,Balones en largo precisos 5,Despejes totales 1,Despejes por alto 1,Paradas desde dentro del área 3,Paradas 6,Despejes con los puños 1,Minutos jugados 90,Toques 46,Valoración 8.1,Posesiones perdidas 7,Goles esperados 0,MATCH_STAT_expectedAssists 0.0,Goles evitados 1.0,2023-11-03 22:58:21.120206
FilipJörgensen,J4,-2,-2,-2,1,Pases totales 26,Pases precisos 21,Balones en largo totales 9,Balones en largo precisos 5,Duelos aéreos ganados 2,Duelos perdidos 1,Duelos ganados 3,Despejes totales 1,Penaltis cometidos 1,Faltas recibidas 1,Faltas cometidas 1,Despejes por alto 1,Paradas desde dentro del área 1,Paradas 1,Despejes con los puños 1,Minutos jugados 90,Toques 34,Valoración 6.2,Posesiones perdidas 5,Goles esperados 0,Goles evitados -0.8,2023-11-03 22:58:27.767014
FilipJörgensen,J3,6,2,6,9,Pases totales 31,Pases precisos 25,Balones en largo totales 15,Balones en largo precisos 9,Despejes totales 1,Despejes por alto 2,Paradas desde dentro del área 3,Paradas 7,Minutos jugados 90,Toques 45,Valoración 7.8,Posesiones perdidas 6,Goles esperados 0,Goles evitados -0.5,2023-11-03 22:58:34.392427
FilipJörgensen,J2,2,2,2,5,Pases totales 28,Pases precisos 18,Balones en largo totales 15,Balones en largo precisos 6,Duelos ganados 1,Despejes totales 1,Faltas recibidas 1,Paradas desde dentro del área 1,Paradas 1,Despejes con los puños 1,Minutos jugados 90,Toques 34,Valoración 7,Posesiones perdidas 11,Goles esperados 0,Goles evitados 0.0,2023-11-03 22:58:41.000906
FilipJörgensen,J1,2,2,6,3,Pases totales 32,Pases precisos 26,Balones en largo totales 10,Balones en largo precisos 4,Duelos aéreos ganados 1,Duelos ganados 1,Despejes totales 1,Paradas desde dentro del área 3,Paradas 3,Despejes con los puños 1,Minutos jugados 90,Toques 38,Valoración 6.6,Posesiones perdidas 6,Goles esperados 0,Goles evitados -1.0,2023-11-03 22:58:47.613436
