Player full name,Game Week,AS Score,Marca Score,Mundo Deportivo Score,Sofa Score,Stat 1,Stat 2,Stat 3,Stat 4,Stat 5,Stat 6,Stat 7,Stat 8,Stat 9,Stat 10,Stat 11,Stat 12,Stat 13,Stat 14,Stat 15,Stat 16,Stat 17,Stat 18,Stat 19,Stat 20,Stat 21,Stat 22,Stat 23,Stat 24,Stat 25,Stat 26,Stat 27,Stat 28,Stat 29,Stat 30
RuiSilva,J5,2,2,6,2,Pases totales 14,Pases precisos 9,Balones en largo totales 10,Balones en largo precisos 5,Duelos perdidos 1,Regateado 1,Intercepciones 1,Despejes por alto 1,Paradas desde dentro del área 1,Paradas 1,Minutos jugados 45,Toques 21,Valoración 6.5,Posesiones perdidas 5,Goles esperados 0,Goles evitados -0.2,2023-11-04 03:41:17.779668
RuiSilva,J4,2,2,6,10,Pases totales 25,Pases precisos 17,Balones en largo totales 11,Balones en largo precisos 3,Duelos ganados 1,Faltas recibidas 1,Despejes por alto 2,Paradas desde dentro del área 3,Paradas 6,Salidas totales 1,Salidas precisas 1,Minutos jugados 90,Toques 39,Valoración 8.2,Posesiones perdidas 8,Goles esperados 0,Goles evitados 0.7,2023-11-04 03:41:24.405818
RuiSilva,J3,2,2,2,0,Pases totales 37,Pases precisos 23,Balones en largo totales 19,Balones en largo precisos 6,Duelos perdidos 1,Despejes totales 2,Penaltis cometidos 1,Faltas cometidas 1,Despejes por alto 1,Paradas desde dentro del área 2,Paradas 2,Salidas totales 1,Salidas precisas 1,Minutos jugados 90,Toques 47,Valoración 6.1,Posesiones perdidas 14,Goles esperados 0,Goles evitados -0.9,2023-11-04 03:41:31.015524
RuiSilva,J2,2,2,2,5,Pases totales 32,Pases precisos 21,Balones en largo totales 18,Balones en largo precisos 7,Duelos ganados 1,Faltas recibidas 1,Despejes por alto 1,Paradas desde dentro del área 1,Paradas 1,Minutos jugados 90,Toques 42,Valoración 7,Posesiones perdidas 11,Goles esperados 0,Goles evitados 0.1,2023-11-04 03:41:37.621750
RuiSilva,J1,2,2,6,7,Pases totales 33,Pases precisos 21,Balones en largo totales 22,Balones en largo precisos 11,Duelos aéreos ganados 1,Duelos ganados 1,Despejes totales 1,Faltas recibidas 1,Despejes por alto 2,Paradas desde dentro del área 3,Paradas 4,Minutos jugados 90,Toques 45,Valoración 7.4,Posesiones perdidas 12,Goles esperados 0,Goles evitados -0.6,2023-11-04 03:41:44.248643
