Player full name,Game Week,AS Score,Marca Score,Mundo Deportivo Score,Sofa Score,Stat 1,Stat 2,Stat 3,Stat 4,Stat 5,Stat 6,Stat 7,Stat 8,Stat 9,Stat 10,Stat 11,Stat 12,Stat 13,Stat 14,Stat 15,Stat 16,Stat 17,Stat 18,Stat 19,Stat 20,Stat 21,Stat 22,Stat 23,Stat 24,Stat 25,Stat 26,Stat 27,Stat 28,Stat 29,Stat 30
SergioCamello,J11,2,2,2,1,Pases totales 3,Pases precisos 2,Balones en largo totales 1,Balones en largo precisos 1,Duelos aéreos perdidos 1,Duelos perdidos 2,Pérdidas 1,Ocasiones claras falladas 1,Tiros a puerta 1,Minutos jugados 19,Toques 9,Valoración 6.2,Posesiones perdidas 4,Goles esperados 0.4,2023-11-04 02:52:06.411986
SergioCamello,J10,2,2,6,2,Pases totales 7,Pases precisos 4,Balones en largo totales 1,Duelos aéreos perdidos 1,Duelos perdidos 2,Faltas cometidas 1,Minutos jugados 24,Toques 10,Valoración 6.5,Posesiones perdidas 4,MATCH_STAT_expectedAssists 0.0,2023-11-04 02:52:13.038786
SergioCamello,J9,2,2,2,4,Pases totales 7,Pases precisos 6,Duelos aéreos ganados 1,Duelos perdidos 1,Duelos ganados 3,Pérdidas 1,Entradas totales 1,Faltas recibidas 1,Minutos jugados 21,Toques 12,Valoración 6.8,Posesiones perdidas 3,Goles esperados 0,Pases clave 1,MATCH_STAT_expectedAssists 0.0,2023-11-04 02:52:19.675209
SergioCamello,J8,6,6,6,5,Pases totales 9,Pases precisos 8,Balones en largo totales 1,Asistencias de gol 1,Duelos aéreos perdidos 5,Duelos perdidos 9,Duelos ganados 2,Pérdidas 2,Regates totales 1,Regates completados 1,Ocasiones creadas 1,Faltas recibidas 1,Faltas cometidas 2,Minutos jugados 60,Toques 18,Valoración 7,Posesiones perdidas 6,Goles esperados 0.0,Pases clave 2,MATCH_STAT_expectedAssists 0.1,2023-11-04 02:52:26.320272
SergioCamello,J7,2,2,2,3,Pases totales 14,Pases precisos 12,Duelos aéreos perdidos 2,Duelos perdidos 3,Duelos ganados 1,Regates totales 1,Tiros a puerta 1,Intercepciones 1,Faltas recibidas 1,Minutos jugados 75,Toques 21,Valoración 6.7,Posesiones perdidas 4,Goles esperados 0.0,Pases clave 1,MATCH_STAT_expectedAssists 0.0,2023-11-04 02:52:32.963468
SergioCamello,J6,2,2,2,2,Pases totales 7,Pases precisos 5,Centros totales 1,Duelos aéreos perdidos 1,Duelos perdidos 3,Duelos ganados 1,Pérdidas 1,Regates totales 2,Regates completados 1,Faltas cometidas 1,Fueras de juego 2,Minutos jugados 30,Toques 14,Valoración 6.5,Posesiones perdidas 6,Goles esperados 0,MATCH_STAT_expectedAssists 0.2,2023-11-04 02:52:39.593453
SergioCamello,J5,2,2,2,5,Pases totales 17,Pases precisos 12,Duelos perdidos 3,Duelos ganados 3,Pérdidas 2,Regates totales 4,Regates completados 3,Tiros fuera 1,Tiros a puerta 1,Despejes totales 1,Minutos jugados 77,Toques 29,Valoración 7.1,Posesiones perdidas 9,Goles esperados 0.2,Pases clave 2,MATCH_STAT_expectedAssists 0.2,2023-11-04 02:52:46.233189
SergioCamello,J4,2,2,6,4,Pases totales 13,Pases precisos 12,Balones en largo totales 2,Balones en largo precisos 2,Duelos perdidos 3,Pérdidas 3,Tiros fuera 1,Tiros a puerta 1,Minutos jugados 32,Toques 20,Valoración 6.9,Posesiones perdidas 5,Goles esperados 0.1,Pases clave 1,MATCH_STAT_expectedAssists 0.1,2023-11-04 02:52:52.899782
SergioCamello,J3,-2,-2,2,1,Pases totales 12,Pases precisos 10,Duelos perdidos 1,Regates totales 1,Minutos jugados 30,Toques 14,Valoración 6.3,Posesiones perdidas 4,Goles esperados 0,MATCH_STAT_expectedAssists 0.0,2023-11-04 02:52:59.535772
