Player full name,Game Week,AS Score,Marca Score,Mundo Deportivo Score,Sofa Score,Stat 1,Stat 2,Stat 3,Stat 4,Stat 5,Stat 6,Stat 7,Stat 8,Stat 9,Stat 10,Stat 11,Stat 12,Stat 13,Stat 14,Stat 15,Stat 16,Stat 17,Stat 18,Stat 19,Stat 20,Stat 21,Stat 22,Stat 23,Stat 24,Stat 25,Stat 26,Stat 27,Stat 28,Stat 29,Stat 30
JulesKoundé,J9,2,-2,2,2,Pases totales 49,Pases precisos 48,Balones en largo totales 2,Balones en largo precisos 1,Duelos aéreos perdidos 1,Duelos aéreos ganados 1,Duelos perdidos 2,Duelos ganados 1,Regateado 1,Tiros fuera 1,Despejes totales 1,Minutos jugados 44,Toques 52,Valoración 6.4,Posesiones perdidas 1,Goles esperados 0.0,MATCH_STAT_expectedAssists 0.0,2023-11-03 23:52:21.153574
JulesKoundé,J8,10,2,10,6,Pases totales 69,Pases precisos 62,Balones en largo totales 10,Balones en largo precisos 4,Duelos aéreos perdidos 1,Duelos aéreos ganados 4,Duelos perdidos 1,Duelos ganados 5,Tiros fuera 1,Tiros bloqueados en ataque 1,Despejes totales 5,Faltas recibidas 1,Faltas cometidas 1,Minutos jugados 90,Toques 78,Valoración 7.2,Posesiones perdidas 8,Goles esperados 0.2,2023-11-03 23:52:27.818229
JulesKoundé,J7,-2,2,0,3,Pases totales 18,Pases precisos 14,Balones en largo totales 4,Balones en largo precisos 3,Centros totales 1,Centros precisos 1,Duelos aéreos perdidos 1,Duelos aéreos ganados 1,Duelos perdidos 2,Duelos ganados 1,Regates totales 1,Despejes totales 1,Minutos jugados 12,Toques 21,Valoración 6.6,Posesiones perdidas 5,Goles esperados 0,MATCH_STAT_expectedAssists 0.1,2023-11-03 23:52:34.479762
JulesKoundé,J6,6,2,2,6,Pases totales 141,Pases precisos 135,Balones en largo totales 5,Balones en largo precisos 4,Centros totales 1,Centros precisos 1,Duelos aéreos perdidos 2,Duelos aéreos ganados 5,Duelos perdidos 3,Duelos ganados 6,Pérdidas 1,Faltas recibidas 1,Minutos jugados 90,Toques 149,Valoración 7.2,Posesiones perdidas 8,Goles esperados 0,Pases clave 2,MATCH_STAT_expectedAssists 0.1,2023-11-03 23:52:41.136759
JulesKoundé,J5,6,2,2,7,Pases totales 79,Pases precisos 72,Balones en largo totales 1,Balones en largo precisos 1,Duelos aéreos ganados 2,Duelos ganados 6,Regates totales 2,Regates completados 2,Despejes totales 1,Entradas totales 2,Minutos jugados 90,Toques 87,Valoración 7.4,Posesiones perdidas 8,Goles esperados 0,MATCH_STAT_expectedAssists 0.0,2023-11-03 23:52:47.783650
JulesKoundé,J4,15,11,15,16,Pases totales 92,Pases precisos 86,Balones en largo totales 6,Balones en largo precisos 5,Duelos aéreos perdidos 2,Duelos aéreos ganados 4,Duelos perdidos 2,Duelos ganados 7,Regates totales 2,Regates completados 2,Tiros a puerta 2,Goles 1,Despejes totales 8,Tiros bloqueados en defensa 2,Intercepciones 2,Entradas totales 1,Minutos jugados 90,Toques 112,Valoración 8.8,Posesiones perdidas 6,Goles esperados 0.1,MATCH_STAT_expectedAssists 0.0,2023-11-03 23:52:54.454641
JulesKoundé,J3,2,6,2,3,Pases totales 63,Pases precisos 58,Balones en largo totales 6,Balones en largo precisos 3,Duelos aéreos perdidos 3,Duelos aéreos ganados 2,Duelos perdidos 3,Duelos ganados 4,Despejes totales 3,Tiros bloqueados en defensa 1,Intercepciones 1,Entradas totales 2,Minutos jugados 90,Toques 72,Valoración 6.6,Posesiones perdidas 5,Goles esperados 0,MATCH_STAT_expectedAssists 0.0,2023-11-03 23:53:01.096572
JulesKoundé,J2,2,6,6,9,Pases totales 60,Pases precisos 54,Balones en largo totales 2,Balones en largo precisos 2,Centros totales 3,Centros precisos 2,Duelos aéreos perdidos 1,Duelos aéreos ganados 4,Duelos perdidos 2,Duelos ganados 5,Ocasiones claras falladas 1,Tiros a puerta 2,Tiros bloqueados en ataque 1,Despejes totales 2,Tiros bloqueados en defensa 1,Entradas totales 1,Faltas cometidas 1,Minutos jugados 90,Toques 79,Valoración 7.9,Posesiones perdidas 7,Goles esperados 0.8,Pases clave 1,MATCH_STAT_expectedAssists 0.2,2023-11-03 23:53:07.784050
JulesKoundé,J1,2,2,10,10,Pases totales 132,Pases precisos 121,Balones en largo totales 9,Balones en largo precisos 6,Duelos aéreos perdidos 3,Duelos aéreos ganados 4,Duelos perdidos 3,Duelos ganados 7,Regates totales 1,Regates completados 1,Ocasiones creadas 1,Tiros bloqueados en ataque 1,Despejes totales 7,Intercepciones 1,Faltas recibidas 2,Minutos jugados 90,Toques 150,Valoración 8.5,Posesiones perdidas 11,Goles esperados 0.0,Pases clave 4,MATCH_STAT_expectedAssists 0.1,2023-11-03 23:53:14.465368
