Player full name,Game Week,AS Score,Marca Score,Mundo Deportivo Score,Sofa Score,Stat 1,Stat 2,Stat 3,Stat 4,Stat 5,Stat 6,Stat 7,Stat 8,Stat 9,Stat 10,Stat 11,Stat 12,Stat 13,Stat 14,Stat 15,Stat 16,Stat 17,Stat 18,Stat 19,Stat 20,Stat 21,Stat 22,Stat 23,Stat 24,Stat 25,Stat 26,Stat 27,Stat 28,Stat 29,Stat 30
JonathanBamba,J11,6,6,6,4,Pases totales 12,Pases precisos 10,Centros totales 1,Duelos aéreos perdidos 1,Duelos perdidos 4,Duelos ganados 2,Pérdidas 2,Regates totales 1,Tiros a puerta 1,Intercepciones 1,Entradas totales 1,Faltas recibidas 1,Minutos jugados 75,Toques 23,Valoración 6.8,Posesiones perdidas 7,Goles esperados 0.1,Pases clave 1,MATCH_STAT_expectedAssists 0.0,2023-11-04 17:59:29.443920
JonathanBamba,J10,6,2,10,5,Pases totales 29,Pases precisos 25,Centros totales 2,Duelos aéreos ganados 1,Duelos perdidos 3,Duelos ganados 9,Regates totales 4,Regates completados 1,Tiros fuera 1,Tiros al palo 1,Intercepciones 1,Entradas totales 1,Faltas recibidas 6,Minutos jugados 90,Toques 51,Valoración 7,Posesiones perdidas 11,Goles esperados 0.0,Pases clave 1,MATCH_STAT_expectedAssists 0.0,2023-11-04 17:59:33.416462
JonathanBamba,J9,9,9,13,9,Pases totales 30,Pases precisos 20,Centros totales 2,Centros precisos 2,Duelos perdidos 4,Duelos ganados 7,Pérdidas 2,Regates totales 2,Tiros a puerta 1,Tiros bloqueados en ataque 2,Goles 1,Faltas recibidas 7,Faltas cometidas 1,Minutos jugados 79,Toques 49,Valoración 7.2,Posesiones perdidas 15,Goles esperados 0.5,Pases clave 1,MATCH_STAT_expectedAssists 0.3,2023-11-04 17:59:37.378459
JonathanBamba,J8,6,6,6,6,Pases totales 22,Pases precisos 13,Asistencias de gol 1,Centros totales 2,Centros precisos 1,Duelos aéreos perdidos 1,Duelos aéreos ganados 1,Duelos perdidos 8,Duelos ganados 6,Regateado 1,Pérdidas 3,Regates totales 6,Regates completados 3,Ocasiones creadas 1,Ocasiones claras falladas 1,Tiros fuera 1,Tiros a puerta 1,Despejes totales 2,Intercepciones 1,Faltas recibidas 2,Minutos jugados 90,Toques 51,Valoración 7.3,Posesiones perdidas 19,Goles esperados 0.3,Pases clave 3,MATCH_STAT_expectedAssists 0.4,2023-11-04 17:59:41.399555
JonathanBamba,J7,2,6,6,2,Pases totales 28,Pases precisos 23,Duelos aéreos perdidos 1,Duelos perdidos 4,Pérdidas 1,Regates totales 1,Tiros bloqueados en ataque 1,Faltas cometidas 1,Minutos jugados 74,Toques 34,Valoración 6.5,Posesiones perdidas 8,Goles esperados 0.1,Pases clave 1,MATCH_STAT_expectedAssists 0.3,2023-11-04 17:59:45.321463
JonathanBamba,J6,6,6,10,6,Pases totales 29,Pases precisos 26,Duelos perdidos 5,Duelos ganados 6,Regateado 1,Regates totales 4,Regates completados 3,Tiros a puerta 2,Faltas recibidas 3,Faltas cometidas 3,Minutos jugados 89,Toques 45,Valoración 7.3,Posesiones perdidas 6,Goles esperados 0.1,Pases clave 3,MATCH_STAT_expectedAssists 0.1,2023-11-04 17:59:49.343311
JonathanBamba,J5,6,6,6,6,Pases totales 37,Pases precisos 32,Balones en largo totales 1,Balones en largo precisos 1,Centros totales 3,Centros precisos 2,Duelos aéreos perdidos 1,Duelos perdidos 2,Duelos ganados 5,Regates totales 1,Ocasiones claras falladas 1,Tiros a puerta 1,Tiros al palo 1,Entradas totales 1,Faltas recibidas 4,Minutos jugados 90,Toques 54,Valoración 7.2,Posesiones perdidas 12,Goles esperados 0.2,Pases clave 1,MATCH_STAT_expectedAssists 0.2,2023-11-04 17:59:53.316889
JonathanBamba,J4,2,2,2,4,Pases totales 25,Pases precisos 22,Centros totales 5,Centros precisos 1,Duelos perdidos 8,Duelos ganados 5,Pérdidas 3,Regates totales 8,Regates completados 3,Tiros a puerta 1,Entradas totales 1,Faltas recibidas 1,Fueras de juego 1,Minutos jugados 89,Toques 48,Valoración 6.9,Posesiones perdidas 16,Goles esperados 0.1,Pases clave 2,MATCH_STAT_expectedAssists 0.2,2023-11-04 17:59:57.266179
JonathanBamba,J3,2,2,6,6,Pases totales 27,Pases precisos 18,Balones en largo totales 1,Balones en largo precisos 1,Centros totales 3,Centros precisos 1,Duelos aéreos perdidos 1,Duelos perdidos 3,Duelos ganados 5,Regates totales 4,Regates completados 2,Tiros fuera 1,Intercepciones 2,Entradas totales 2,Faltas recibidas 1,Minutos jugados 90,Toques 49,Valoración 7.3,Posesiones perdidas 17,Goles esperados 0.1,Pases clave 2,MATCH_STAT_expectedAssists 0.2,2023-11-04 18:00:01.247767
JonathanBamba,J2,6,6,10,3,Pases totales 26,Pases precisos 22,Duelos aéreos perdidos 3,Duelos perdidos 8,Duelos ganados 4,Regateado 1,Regates totales 5,Regates completados 2,Tiros fuera 1,Tiros a puerta 1,Tiros bloqueados en ataque 1,Despejes totales 2,Intercepciones 1,Entradas totales 1,Faltas recibidas 1,Faltas cometidas 1,Fueras de juego 1,Minutos jugados 90,Toques 44,Valoración 6.7,Posesiones perdidas 8,Goles esperados 0.2,MATCH_STAT_expectedAssists 0.1,2023-11-04 18:00:05.206506
JonathanBamba,J1,2,6,2,5,Pases totales 39,Pases precisos 32,Balones en largo totales 2,Centros totales 5,Duelos aéreos perdidos 1,Duelos aéreos ganados 1,Duelos perdidos 5,Duelos ganados 9,Pérdidas 2,Regates totales 6,Regates completados 4,Tiros a puerta 1,Faltas recibidas 4,Fueras de juego 1,Minutos jugados 90,Toques 68,Valoración 7,Posesiones perdidas 18,Goles esperados 0.1,MATCH_STAT_expectedAssists 0.0,2023-11-04 18:00:09.167448
