Player full name,Game Week,AS Score,Marca Score,Mundo Deportivo Score,Sofa Score,Stat 1,Stat 2,Stat 3,Stat 4,Stat 5,Stat 6,Stat 7,Stat 8,Stat 9,Stat 10,Stat 11,Stat 12,Stat 13,Stat 14,Stat 15,Stat 16,Stat 17,Stat 18,Stat 19,Stat 20,Stat 21,Stat 22,Stat 23,Stat 24,Stat 25,Stat 26,Stat 27,Stat 28,Stat 29,Stat 30
AlejandroBalde,J11,2,2,2,2,Pases totales 33,Pases precisos 32,Balones en largo totales 4,Balones en largo precisos 3,Centros totales 1,Duelos perdidos 2,Duelos ganados 1,Pérdidas 1,Regates totales 2,Regates completados 1,Despejes totales 2,Minutos jugados 90,Toques 55,Valoración 6.5,Posesiones perdidas 9,MATCH_STAT_expectedAssists 0.0,2023-11-04 01:46:41.473368
AlejandroBalde,J10,2,2,6,5,Pases totales 39,Pases precisos 29,Balones en largo totales 5,Balones en largo precisos 2,Centros totales 3,Duelos aéreos perdidos 1,Duelos perdidos 1,Duelos ganados 2,Despejes totales 2,Intercepciones 2,Faltas recibidas 2,Minutos jugados 79,Toques 58,Valoración 7.1,Posesiones perdidas 16,Pases clave 2,MATCH_STAT_expectedAssists 0.1,2023-11-04 01:46:48.131454
AlejandroBalde,J9,2,2,2,7,Pases totales 53,Pases precisos 48,Asistencias de gol 1,Centros totales 5,Centros precisos 2,Duelos ganados 4,Regates totales 1,Regates completados 1,Ocasiones creadas 1,Entradas totales 2,Faltas recibidas 1,Minutos jugados 90,Toques 69,Valoración 7.4,Posesiones perdidas 10,Goles esperados 0,Pases clave 2,MATCH_STAT_expectedAssists 0.5,2023-11-04 01:46:54.778906
AlejandroBalde,J8,2,2,2,5,Pases totales 40,Pases precisos 34,Balones en largo totales 2,Balones en largo precisos 1,Centros totales 2,Duelos aéreos ganados 2,Duelos perdidos 4,Duelos ganados 6,Pérdidas 3,Regates totales 3,Regates completados 2,Despejes totales 3,Entradas totales 2,Minutos jugados 90,Toques 77,Valoración 7.1,Posesiones perdidas 22,Goles esperados 0,MATCH_STAT_expectedAssists 0.0,2023-11-04 01:47:01.445681
AlejandroBalde,J7,-2,2,2,2,Pases totales 33,Pases precisos 28,Balones en largo totales 3,Balones en largo precisos 2,Duelos aéreos ganados 1,Duelos perdidos 5,Duelos ganados 4,Pérdidas 3,Regates totales 2,Regates completados 1,Despejes totales 2,Intercepciones 1,Entradas totales 1,Faltas recibidas 1,Faltas cometidas 1,Minutos jugados 90,Toques 58,Valoración 6.5,Posesiones perdidas 13,Goles esperados 0,MATCH_STAT_expectedAssists 0.0,2023-11-04 01:47:08.130417
AlejandroBalde,J6,2,2,2,4,Pases totales 29,Pases precisos 28,Duelos aéreos perdidos 1,Duelos perdidos 2,Duelos ganados 3,Pérdidas 1,Regates totales 1,Regates completados 1,Tiros a puerta 1,Intercepciones 1,Entradas totales 1,Faltas recibidas 1,Minutos jugados 30,Toques 38,Valoración 6.8,Posesiones perdidas 3,Goles esperados 0.0,MATCH_STAT_expectedAssists 0.0,2023-11-04 01:47:14.825636
AlejandroBalde,J5,6,6,6,6,Pases totales 45,Pases precisos 38,Centros totales 2,Duelos aéreos ganados 1,Duelos perdidos 3,Duelos ganados 7,Regates totales 6,Regates completados 3,Tiros bloqueados en defensa 1,Entradas totales 3,Minutos jugados 76,Toques 64,Valoración 7.3,Posesiones perdidas 15,Goles esperados 0,Pases clave 2,MATCH_STAT_expectedAssists 0.0,2023-11-04 01:47:21.484780
AlejandroBalde,J4,2,2,6,3,Pases totales 52,Pases precisos 44,Balones en largo totales 2,Centros totales 2,Centros precisos 1,Duelos aéreos perdidos 2,Duelos aéreos ganados 2,Duelos perdidos 8,Duelos ganados 8,Regateado 1,Pérdidas 2,Regates totales 5,Regates completados 4,Despejes totales 1,Entradas totales 2,Faltas cometidas 2,Minutos jugados 90,Toques 82,Valoración 6.7,Posesiones perdidas 17,Goles esperados 0,MATCH_STAT_expectedAssists 0.0,2023-11-04 01:47:28.154006
AlejandroBalde,J2,6,2,2,4,Pases totales 36,Pases precisos 33,Centros totales 3,Centros precisos 1,Duelos aéreos perdidos 2,Duelos perdidos 3,Duelos ganados 4,Pérdidas 1,Regates totales 2,Regates completados 2,Despejes totales 1,Errores que llevan a disparo 1,Faltas recibidas 2,Minutos jugados 68,Toques 51,Valoración 6.8,Posesiones perdidas 9,Goles esperados 0,Pases clave 1,MATCH_STAT_expectedAssists 0.1,2023-11-04 01:47:37.061255
AlejandroBalde,J1,2,2,2,6,Pases totales 59,Pases precisos 53,Balones en largo totales 2,Balones en largo precisos 1,Centros totales 1,Duelos aéreos ganados 3,Duelos perdidos 2,Duelos ganados 5,Regates totales 1,Despejes totales 3,Entradas totales 2,Faltas cometidas 1,Minutos jugados 90,Toques 81,Valoración 7.3,Posesiones perdidas 11,Goles esperados 0,MATCH_STAT_expectedAssists 0.1,2023-11-04 01:47:43.710590
