Player full name,Game Week,AS Score,Marca Score,Mundo Deportivo Score,Sofa Score,Stat 1,Stat 2,Stat 3,Stat 4,Stat 5,Stat 6,Stat 7,Stat 8,Stat 9,Stat 10,Stat 11,Stat 12,Stat 13,Stat 14,Stat 15,Stat 16,Stat 17,Stat 18,Stat 19,Stat 20,Stat 21,Stat 22,Stat 23,Stat 24,Stat 25,Stat 26,Stat 27,Stat 28,Stat 29,Stat 30
YangelHerrera,J12,-2,6,6,5,Pases totales 47,Pases precisos 37,Centros totales 1,Duelos aéreos perdidos 2,Duelos aéreos ganados 11,Duelos perdidos 8,Duelos ganados 16,Pérdidas 1,Regates totales 2,Regates completados 1,Ocasiones claras falladas 1,Tiros fuera 1,Despejes totales 3,Tiros bloqueados en defensa 2,Intercepciones 3,Faltas recibidas 4,Faltas cometidas 4,Fueras de juego 1,Minutos jugados 90,Toques 70,Valoración 7.1,Posesiones perdidas 15,Goles esperados 0.2,Pases clave 1,MATCH_STAT_expectedAssists 0.0,2023-11-04 17:50:04.812121
YangelHerrera,J11,10,10,10,10,Pases totales 42,Pases precisos 33,Balones en largo totales 3,Balones en largo precisos 1,Duelos aéreos perdidos 5,Duelos aéreos ganados 7,Duelos perdidos 13,Duelos ganados 12,Pérdidas 3,Regates totales 1,Tiros a puerta 1,Tiros bloqueados en ataque 1,Goles 1,Despejes totales 2,Intercepciones 3,Entradas totales 3,Faltas recibidas 2,Faltas cometidas 5,Minutos jugados 90,Toques 67,Valoración 7.3,Posesiones perdidas 19,Goles esperados 0.1,Pases clave 1,MATCH_STAT_expectedAssists 0.0,2023-11-04 17:50:08.830297
YangelHerrera,J10,2,2,6,4,Pases totales 70,Pases precisos 66,Balones en largo totales 4,Balones en largo precisos 2,Centros totales 3,Centros precisos 1,Duelos aéreos perdidos 3,Duelos aéreos ganados 1,Duelos perdidos 6,Duelos ganados 7,Pérdidas 1,Ocasiones claras falladas 1,Tiros fuera 1,Tiros a puerta 1,Tiros bloqueados en ataque 1,Despejes totales 1,Entradas totales 3,Faltas recibidas 3,Faltas cometidas 2,Minutos jugados 90,Toques 88,Valoración 6.9,Posesiones perdidas 9,Goles esperados 0.3,Pases clave 1,MATCH_STAT_expectedAssists 0.1,2023-11-04 17:50:12.846530
YangelHerrera,J9,6,2,6,5,Pases totales 36,Pases precisos 31,Balones en largo totales 1,Balones en largo precisos 1,Centros totales 5,Duelos aéreos perdidos 7,Duelos aéreos ganados 5,Duelos perdidos 9,Duelos ganados 11,Regateado 1,Regates totales 2,Regates completados 2,Ocasiones claras falladas 1,Tiros fuera 2,Tiros a puerta 1,Despejes totales 4,Entradas totales 1,Faltas recibidas 3,Faltas cometidas 1,Minutos jugados 88,Toques 60,Valoración 7.1,Posesiones perdidas 15,Goles esperados 0.6,MATCH_STAT_expectedAssists 0.0,2023-11-04 17:50:16.872726
YangelHerrera,J8,6,6,2,4,Pases totales 34,Pases precisos 33,Balones en largo totales 3,Balones en largo precisos 3,Duelos perdidos 8,Duelos ganados 5,Regateado 1,Pérdidas 2,Regates totales 2,Regates completados 2,Ocasiones claras falladas 1,Tiros fuera 2,Despejes totales 1,Intercepciones 3,Entradas totales 2,Faltas recibidas 1,Faltas cometidas 5,Minutos jugados 87,Toques 52,Valoración 6.8,Posesiones perdidas 5,Goles esperados 0.3,Pases clave 1,MATCH_STAT_expectedAssists 0.0,2023-11-04 17:50:20.859328
YangelHerrera,J7,6,6,2,3,Pases totales 37,Pases precisos 33,Balones en largo totales 3,Balones en largo precisos 1,Centros totales 1,Centros precisos 1,Duelos aéreos perdidos 1,Duelos aéreos ganados 1,Duelos perdidos 10,Duelos ganados 4,Regateado 3,Pérdidas 1,Regates totales 1,Regates completados 1,Ocasiones creadas 1,Tiros bloqueados en ataque 1,Intercepciones 1,Entradas totales 2,Faltas cometidas 5,Minutos jugados 90,Toques 45,Valoración 6.6,Posesiones perdidas 5,Goles esperados 0.0,Pases clave 1,MATCH_STAT_expectedAssists 0.1,2023-11-04 17:50:24.870634
YangelHerrera,J6,10,14,10,14,Pases totales 30,Pases precisos 29,Balones en largo totales 1,Balones en largo precisos 1,Duelos aéreos ganados 1,Duelos perdidos 2,Duelos ganados 6,Pérdidas 2,Regates totales 1,Regates completados 1,Tiros fuera 1,Tiros a puerta 2,Tiros bloqueados en ataque 1,Goles 1,Tiros bloqueados en defensa 1,Intercepciones 1,Entradas totales 2,Faltas recibidas 2,Penaltis provocados 1,Minutos jugados 74,Toques 48,Valoración 8.4,Posesiones perdidas 4,Goles esperados 0.4,Pases clave 1,MATCH_STAT_expectedAssists 0.1,2023-11-04 17:50:28.912237
YangelHerrera,J5,2,2,2,2,Pases totales 13,Pases precisos 11,Balones en largo totales 1,Duelos aéreos perdidos 1,Duelos perdidos 5,Duelos ganados 2,Regateado 2,Pérdidas 1,Regates totales 1,Regates completados 1,Tiros bloqueados en defensa 1,Faltas recibidas 1,Faltas cometidas 2,Minutos jugados 19,Toques 18,Valoración 6.4,Posesiones perdidas 4,Goles esperados 0,MATCH_STAT_expectedAssists 0.0,2023-11-04 17:50:32.869302
YangelHerrera,J4,2,2,2,3,Pases totales 21,Pases precisos 21,Duelos aéreos perdidos 1,Duelos perdidos 4,Duelos ganados 2,Regateado 1,Pérdidas 1,Regates totales 1,Regates completados 1,Tiros fuera 1,Tiros bloqueados en ataque 1,Faltas recibidas 1,Faltas cometidas 1,Minutos jugados 61,Toques 30,Valoración 6.7,Posesiones perdidas 2,Goles esperados 0.1,MATCH_STAT_expectedAssists 0.0,2023-11-04 17:50:36.826979
YangelHerrera,J3,6,6,10,10,Pases totales 15,Pases precisos 13,Balones en largo totales 2,Balones en largo precisos 1,Centros totales 1,Duelos aéreos ganados 1,Duelos perdidos 4,Duelos ganados 2,Regateado 1,Regates totales 1,Regates completados 1,Tiros fuera 1,Tiros a puerta 1,Goles 1,Despejes totales 5,Faltas cometidas 4,Minutos jugados 45,Toques 27,Valoración 7.3,Posesiones perdidas 4,Goles esperados 0.2,2023-11-04 17:50:40.818423
YangelHerrera,J2,14,10,10,11,Pases totales 39,Pases precisos 31,Balones en largo totales 4,Balones en largo precisos 2,Duelos aéreos perdidos 1,Duelos aéreos ganados 3,Duelos perdidos 4,Duelos ganados 5,Regateado 1,Pérdidas 2,Tiros a puerta 1,Goles 1,Despejes totales 5,Entradas totales 1,Faltas recibidas 1,Fueras de juego 1,Minutos jugados 89,Toques 55,Valoración 7.5,Posesiones perdidas 14,Goles esperados 0.4,MATCH_STAT_expectedAssists 0.0,2023-11-04 17:50:44.797783
YangelHerrera,J1,2,2,6,5,Pases totales 28,Pases precisos 24,Balones en largo totales 2,Centros totales 1,Duelos aéreos perdidos 1,Duelos aéreos ganados 2,Duelos perdidos 6,Duelos ganados 13,Regateado 1,Pérdidas 1,Regates totales 2,Regates completados 2,Entradas totales 5,Faltas recibidas 4,Faltas cometidas 3,Minutos jugados 86,Toques 44,Valoración 7,Posesiones perdidas 7,Goles esperados 0,MATCH_STAT_expectedAssists 0.0,2023-11-04 17:50:48.786737
