Player full name,Game Week,AS Score,Marca Score,Mundo Deportivo Score,Sofa Score,Stat 1,Stat 2,Stat 3,Stat 4,Stat 5,Stat 6,Stat 7,Stat 8,Stat 9,Stat 10,Stat 11,Stat 12,Stat 13,Stat 14,Stat 15,Stat 16,Stat 17,Stat 18,Stat 19,Stat 20,Stat 21,Stat 22,Stat 23,Stat 24,Stat 25,Stat 26,Stat 27,Stat 28,Stat 29,Stat 30
PepChavarría,J9,2,2,2,1,Pases totales 1,Duelos perdidos 1,Faltas cometidas 1,Minutos jugados 14,Toques 4,Valoración 6.3,Posesiones perdidas 2,Goles esperados 0,2023-11-04 05:01:19.750652
PepChavarría,J3,0,0,6,1,Pases totales 8,Pases precisos 8,Balones en largo totales 1,Balones en largo precisos 1,Minutos jugados 8,Toques 9,Valoración 6.2,Goles esperados 0,MATCH_STAT_expectedAssists 0.0,2023-11-04 05:01:37.534297
PepChavarría,J1,0,0,2,3,Pases totales 2,Pases precisos 1,Duelos aéreos ganados 1,Duelos ganados 1,Minutos jugados 9,Toques 5,Valoración 6.6,Posesiones perdidas 3,Goles esperados 0,2023-11-04 05:01:46.365874
