Player full name,Game Week,AS Score,Marca Score,Mundo Deportivo Score,Sofa Score,Stat 1,Stat 2,Stat 3,Stat 4,Stat 5,Stat 6,Stat 7,Stat 8,Stat 9,Stat 10,Stat 11,Stat 12,Stat 13,Stat 14,Stat 15,Stat 16,Stat 17,Stat 18,Stat 19,Stat 20,Stat 21,Stat 22,Stat 23,Stat 24,Stat 25,Stat 26,Stat 27,Stat 28,Stat 29,Stat 30
UnaiNúñez,J11,6,6,2,4,Pases totales 45,Pases precisos 34,Balones en largo totales 10,Balones en largo precisos 5,Duelos aéreos ganados 4,Duelos perdidos 2,Duelos ganados 5,Despejes totales 7,Tiros bloqueados en defensa 1,Intercepciones 1,Faltas recibidas 1,Faltas cometidas 2,Minutos jugados 90,Toques 57,Valoración 6.9,Posesiones perdidas 11,MATCH_STAT_expectedAssists 0.0,2023-11-03 23:57:55.492028
UnaiNúñez,J10,2,2,2,0,Pases totales 57,Pases precisos 44,Balones en largo totales 8,Balones en largo precisos 2,Duelos aéreos perdidos 1,Duelos perdidos 3,Duelos ganados 1,Regateado 1,Ocasiones claras falladas 1,Tiros fuera 1,Tiros bloqueados en ataque 1,Despejes totales 3,Intercepciones 1,Entradas totales 1,Faltas cometidas 1,Minutos jugados 90,Toques 70,Valoración 6,Posesiones perdidas 16,Goles esperados 0.0,MATCH_STAT_expectedAssists 0.0,2023-11-03 23:58:02.135356
UnaiNúñez,J9,2,-2,6,8,Pases totales 86,Pases precisos 74,Balones en largo totales 8,Balones en largo precisos 2,Duelos aéreos perdidos 1,Duelos aéreos ganados 3,Duelos perdidos 2,Duelos ganados 6,Regateado 1,Tiros a puerta 1,Intercepciones 1,Entradas totales 2,Faltas recibidas 1,Penaltis provocados 1,Minutos jugados 90,Toques 96,Valoración 7.6,Posesiones perdidas 13,Goles esperados 0.0,Pases clave 2,MATCH_STAT_expectedAssists 0.1,2023-11-03 23:58:08.775549
UnaiNúñez,J8,2,2,6,5,Pases totales 35,Pases precisos 22,Balones en largo totales 12,Balones en largo precisos 2,Duelos aéreos perdidos 1,Duelos aéreos ganados 4,Duelos perdidos 4,Duelos ganados 6,Regateado 1,Despejes totales 7,Tiros bloqueados en defensa 2,Intercepciones 4,Entradas totales 1,Faltas recibidas 1,Faltas cometidas 2,Minutos jugados 90,Toques 53,Valoración 7.1,Posesiones perdidas 13,Goles esperados 0,Pases clave 1,MATCH_STAT_expectedAssists 0.1,2023-11-03 23:58:15.410717
UnaiNúñez,J7,-2,2,6,4,Pases totales 65,Pases precisos 48,Balones en largo totales 12,Balones en largo precisos 4,Duelos aéreos perdidos 1,Duelos aéreos ganados 1,Duelos perdidos 2,Duelos ganados 4,Regateado 1,Tiros fuera 1,Despejes totales 2,Tiros bloqueados en defensa 1,Entradas totales 2,Faltas recibidas 1,Minutos jugados 90,Toques 78,Valoración 6.8,Posesiones perdidas 18,Goles esperados 0.0,MATCH_STAT_expectedAssists 0.0,2023-11-03 23:58:22.049557
UnaiNúñez,J6,2,2,2,2,Pases totales 25,Pases precisos 16,Balones en largo totales 7,Balones en largo precisos 2,Duelos aéreos perdidos 2,Duelos perdidos 4,Duelos ganados 1,Pérdidas 1,Despejes totales 9,Tiros bloqueados en defensa 1,Intercepciones 2,Entradas totales 1,Faltas cometidas 1,Minutos jugados 89,Toques 41,Valoración 6.5,Posesiones perdidas 10,Goles esperados 0,MATCH_STAT_expectedAssists 0.0,2023-11-03 23:58:28.688811
UnaiNúñez,J5,2,2,6,5,Pases totales 71,Pases precisos 61,Balones en largo totales 8,Balones en largo precisos 5,Duelos aéreos perdidos 3,Duelos aéreos ganados 3,Duelos perdidos 4,Duelos ganados 3,Regateado 1,Ocasiones claras falladas 1,Tiros fuera 2,Tiros a puerta 1,Despejes totales 2,Minutos jugados 90,Toques 80,Valoración 7,Posesiones perdidas 10,Goles esperados 0.2,Pases clave 1,MATCH_STAT_expectedAssists 0.0,2023-11-03 23:58:35.337816
UnaiNúñez,J4,11,7,15,12,Pases totales 39,Pases precisos 28,Balones en largo totales 11,Balones en largo precisos 7,Duelos aéreos perdidos 2,Duelos aéreos ganados 2,Duelos perdidos 5,Duelos ganados 5,Regateado 3,Regates totales 1,Regates completados 1,Tiros a puerta 1,Goles 1,Despejes totales 7,Intercepciones 3,Entradas totales 2,Minutos jugados 90,Toques 61,Valoración 7.5,Posesiones perdidas 13,Goles esperados 0.3,MATCH_STAT_expectedAssists 0.0,2023-11-03 23:58:42.011709
UnaiNúñez,J3,6,2,6,4,Pases totales 51,Pases precisos 41,Balones en largo totales 9,Balones en largo precisos 4,Duelos aéreos perdidos 1,Duelos aéreos ganados 1,Duelos perdidos 6,Duelos ganados 3,Regateado 1,Regates totales 1,Regates completados 1,Tiros a puerta 1,Despejes totales 4,Intercepciones 2,Entradas totales 1,Faltas cometidas 4,Minutos jugados 90,Toques 62,Valoración 6.8,Posesiones perdidas 10,Goles esperados 0.0,MATCH_STAT_expectedAssists 0.0,2023-11-03 23:58:48.667280
UnaiNúñez,J2,2,2,6,5,Pases totales 50,Pases precisos 36,Balones en largo totales 8,Balones en largo precisos 1,Duelos aéreos ganados 4,Duelos perdidos 1,Duelos ganados 5,Regates totales 1,Regates completados 1,Tiros fuera 1,Despejes totales 7,Tiros bloqueados en defensa 1,Intercepciones 4,Faltas cometidas 1,Minutos jugados 90,Toques 65,Valoración 7.1,Posesiones perdidas 15,Goles esperados 0.0,2023-11-03 23:58:55.298135
UnaiNúñez,J1,2,2,2,3,Pases totales 70,Pases precisos 59,Balones en largo totales 10,Balones en largo precisos 4,Duelos aéreos perdidos 1,Duelos aéreos ganados 5,Duelos perdidos 2,Duelos ganados 6,Despejes totales 4,Tiros bloqueados en defensa 1,Intercepciones 1,Entradas totales 1,Faltas cometidas 1,Minutos jugados 90,Toques 82,Valoración 6.7,Posesiones perdidas 13,Goles esperados 0,2023-11-03 23:59:01.927587
