Player full name,Game Week,AS Score,Marca Score,Mundo Deportivo Score,Sofa Score,Stat 1,Stat 2,Stat 3,Stat 4,Stat 5,Stat 6,Stat 7,Stat 8,Stat 9,Stat 10,Stat 11,Stat 12,Stat 13,Stat 14,Stat 15,Stat 16,Stat 17,Stat 18,Stat 19,Stat 20,Stat 21,Stat 22,Stat 23,Stat 24,Stat 25,Stat 26,Stat 27,Stat 28,Stat 29,Stat 30
José LuisGayà,J11,2,6,6,5,Pases totales 38,Pases precisos 29,Balones en largo totales 4,Balones en largo precisos 2,Centros totales 3,Centros precisos 1,Duelos aéreos perdidos 1,Duelos perdidos 3,Duelos ganados 6,Regateado 2,Ocasiones creadas 1,Despejes totales 2,Entradas como último hombre 1,Entradas totales 6,Minutos jugados 90,Toques 59,Valoración 7.1,Posesiones perdidas 14,Pases clave 1,MATCH_STAT_expectedAssists 0.4,2023-11-03 23:24:13.969095
José LuisGayà,J10,15,15,15,13,Pases totales 51,Pases precisos 42,Balones en largo totales 7,Balones en largo precisos 2,Centros totales 4,Centros precisos 1,Duelos perdidos 2,Duelos ganados 1,Pérdidas 1,Tiros fuera 1,Tiros a puerta 1,Goles 1,Entradas totales 1,Faltas cometidas 1,Minutos jugados 90,Toques 69,Valoración 7.6,Posesiones perdidas 17,Goles esperados 0.2,Pases clave 2,MATCH_STAT_expectedAssists 0.0,2023-11-03 23:24:20.608221
José LuisGayà,J7,2,6,2,1,Pases totales 23,Pases precisos 17,Balones en largo totales 5,Balones en largo precisos 2,Centros totales 1,Duelos aéreos perdidos 1,Duelos aéreos ganados 1,Duelos perdidos 3,Duelos ganados 1,Pérdidas 1,Regates totales 1,Faltas cometidas 1,Minutos jugados 55,Toques 32,Valoración 6.2,Posesiones perdidas 11,Goles esperados 0,2023-11-03 23:24:31.713482
José LuisGayà,J6,2,2,2,5,Pases totales 41,Pases precisos 33,Balones en largo totales 7,Balones en largo precisos 4,Centros totales 3,Duelos aéreos perdidos 1,Duelos aéreos ganados 1,Duelos perdidos 2,Duelos ganados 9,Regateado 1,Despejes totales 2,Entradas totales 8,Minutos jugados 90,Toques 64,Valoración 7,Posesiones perdidas 13,Goles esperados 0,Pases clave 1,MATCH_STAT_expectedAssists 0.0,2023-11-03 23:24:38.372504
José LuisGayà,J5,2,6,6,4,Pases totales 33,Pases precisos 24,Balones en largo totales 9,Balones en largo precisos 4,Centros totales 1,Duelos ganados 1,Tiros bloqueados en ataque 2,Despejes totales 1,Intercepciones 1,Faltas recibidas 1,Minutos jugados 70,Toques 47,Valoración 6.9,Posesiones perdidas 11,Goles esperados 0.1,Pases clave 2,MATCH_STAT_expectedAssists 0.0,2023-11-03 23:24:45.006406
José LuisGayà,J4,6,2,6,6,Pases totales 42,Pases precisos 37,Balones en largo totales 6,Balones en largo precisos 2,Centros totales 6,Duelos aéreos ganados 1,Duelos ganados 6,Regates totales 1,Regates completados 1,Despejes totales 2,Tiros bloqueados en defensa 1,Intercepciones 1,Entradas totales 2,Faltas recibidas 2,Minutos jugados 90,Toques 66,Valoración 7.2,Posesiones perdidas 14,Goles esperados 0,Pases clave 2,MATCH_STAT_expectedAssists 0.0,2023-11-03 23:24:51.685931
José LuisGayà,J3,6,6,6,10,Pases totales 47,Pases precisos 37,Balones en largo totales 8,Balones en largo precisos 4,Centros totales 8,Centros precisos 1,Duelos aéreos perdidos 1,Duelos aéreos ganados 2,Duelos perdidos 2,Duelos ganados 10,Regates totales 2,Regates completados 2,Ocasiones creadas 1,Tiros fuera 1,Despejes totales 3,Intercepciones 1,Entradas totales 5,Faltas recibidas 1,Faltas cometidas 1,Minutos jugados 90,Toques 86,Valoración 8,Posesiones perdidas 19,Goles esperados 0.0,Pases clave 4,MATCH_STAT_expectedAssists 0.2,2023-11-03 23:24:58.380992
José LuisGayà,J2,2,6,6,6,Pases totales 26,Pases precisos 19,Balones en largo totales 7,Balones en largo precisos 2,Centros totales 5,Centros precisos 2,Duelos aéreos ganados 2,Duelos perdidos 3,Duelos ganados 9,Regateado 1,Pérdidas 1,Regates totales 3,Regates completados 3,Tiros bloqueados en ataque 1,Despejes totales 1,Entradas totales 3,Faltas recibidas 1,Faltas cometidas 1,Minutos jugados 90,Toques 54,Valoración 7.2,Posesiones perdidas 12,Goles esperados 0.0,Pases clave 2,MATCH_STAT_expectedAssists 0.0,2023-11-03 23:25:05.051518
José LuisGayà,J1,2,2,2,4,Pases totales 20,Pases precisos 13,Balones en largo totales 4,Centros totales 4,Centros precisos 2,Duelos perdidos 2,Duelos ganados 8,Regateado 1,Regates totales 2,Regates completados 2,Tiros fuera 1,Despejes totales 3,Entradas totales 6,Faltas cometidas 2,Minutos jugados 87,Toques 45,Valoración 6.9,Posesiones perdidas 11,Goles esperados 0.1,Pases clave 1,MATCH_STAT_expectedAssists 0.1,2023-11-03 23:25:11.731088
