Player full name,Game Week,AS Score,Marca Score,Mundo Deportivo Score,Sofa Score,Stat 1,Stat 2,Stat 3,Stat 4,Stat 5,Stat 6,Stat 7,Stat 8,Stat 9,Stat 10,Stat 11,Stat 12,Stat 13,Stat 14,Stat 15,Stat 16,Stat 17,Stat 18,Stat 19,Stat 20,Stat 21,Stat 22,Stat 23,Stat 24,Stat 25,Stat 26,Stat 27,Stat 28,Stat 29,Stat 30
MihailoRistić,J9,2,6,6,4,Pases totales 53,Pases precisos 44,Balones en largo totales 8,Balones en largo precisos 3,Centros totales 4,Centros precisos 1,Duelos aéreos perdidos 2,Duelos aéreos ganados 1,Duelos perdidos 4,Duelos ganados 6,Regates totales 4,Regates completados 2,Tiros bloqueados en ataque 1,Despejes totales 1,Intercepciones 1,Entradas totales 1,Faltas recibidas 2,Minutos jugados 85,Toques 79,Valoración 6.9,Posesiones perdidas 16,Goles esperados 0.0,Pases clave 1,MATCH_STAT_expectedAssists 0.1,2023-11-04 04:00:18.386722
MihailoRistić,J7,2,2,6,3,Pases totales 38,Pases precisos 31,Balones en largo totales 6,Balones en largo precisos 3,Centros totales 3,Centros precisos 1,Duelos aéreos perdidos 1,Duelos perdidos 5,Duelos ganados 2,Regates totales 3,Despejes totales 3,Tiros bloqueados en defensa 1,Entradas totales 1,Faltas recibidas 1,Faltas cometidas 1,Minutos jugados 90,Toques 69,Valoración 6.7,Posesiones perdidas 14,Goles esperados 0,Pases clave 2,MATCH_STAT_expectedAssists 0.1,2023-11-04 04:00:27.268596
MihailoRistić,J6,6,6,6,-1,Pases totales 20,Pases precisos 12,Balones en largo totales 6,Balones en largo precisos 1,Centros totales 3,Duelos aéreos perdidos 1,Duelos aéreos ganados 3,Duelos perdidos 5,Duelos ganados 3,Regates totales 2,Despejes totales 4,Intercepciones 1,Faltas cometidas 2,Minutos jugados 90,Toques 39,Valoración 5.8,Posesiones perdidas 15,Goles esperados 0,MATCH_STAT_expectedAssists 0.0,2023-11-04 04:00:33.918252
MihailoRistić,J5,2,2,2,5,Pases totales 53,Pases precisos 43,Balones en largo totales 5,Balones en largo precisos 1,Centros totales 4,Duelos aéreos perdidos 1,Duelos aéreos ganados 1,Duelos perdidos 6,Duelos ganados 6,Pérdidas 3,Regates totales 1,Tiros fuera 1,Entradas totales 1,Faltas recibidas 4,Faltas cometidas 1,Minutos jugados 90,Toques 87,Valoración 7,Posesiones perdidas 22,Goles esperados 0.0,Pases clave 1,MATCH_STAT_expectedAssists 0.0,2023-11-04 04:00:40.583886
