Player full name,Game Week,AS Score,Marca Score,Mundo Deportivo Score,Sofa Score,Stat 1,Stat 2,Stat 3,Stat 4,Stat 5,Stat 6,Stat 7,Stat 8,Stat 9,Stat 10,Stat 11,Stat 12,Stat 13,Stat 14,Stat 15,Stat 16,Stat 17,Stat 18,Stat 19,Stat 20,Stat 21,Stat 22,Stat 23,Stat 24,Stat 25,Stat 26,Stat 27,Stat 28,Stat 29,Stat 30
StefanSavić,J12,2,-2,6,3,Pases totales 54,Pases precisos 42,Balones en largo totales 8,Balones en largo precisos 1,Duelos aéreos perdidos 1,Duelos aéreos ganados 4,Duelos perdidos 5,Duelos ganados 7,Regateado 2,Despejes totales 3,Tiros bloqueados en defensa 1,Intercepciones 1,Entradas totales 2,Faltas recibidas 1,Faltas cometidas 2,Minutos jugados 90,Toques 67,Valoración 6.7,Posesiones perdidas 13,MATCH_STAT_expectedAssists 0.0,2023-11-04 02:09:23.354674
StefanSavić,J11,6,6,6,5,Pases totales 70,Pases precisos 63,Balones en largo totales 4,Balones en largo precisos 2,Duelos aéreos ganados 3,Duelos ganados 5,Despejes totales 3,Intercepciones 1,Entradas totales 2,Minutos jugados 90,Toques 79,Valoración 7.1,Posesiones perdidas 7,2023-11-04 02:09:29.987308
StefanSavić,J9,2,2,2,4,Pases totales 6,Pases precisos 4,Balones en largo totales 4,Balones en largo precisos 3,Duelos aéreos ganados 3,Duelos ganados 3,Despejes totales 3,Minutos jugados 11,Toques 9,Valoración 6.9,Posesiones perdidas 2,Goles esperados 0,MATCH_STAT_expectedAssists 0.0,2023-11-04 02:09:38.855159
StefanSavić,J6,10,6,10,4,Pases totales 36,Pases precisos 32,Balones en largo totales 2,Duelos aéreos perdidos 1,Duelos perdidos 4,Duelos ganados 3,Regateado 2,Despejes totales 2,Tiros bloqueados en defensa 2,Intercepciones 2,Entradas totales 2,Faltas recibidas 1,Faltas cometidas 1,Minutos jugados 90,Toques 46,Valoración 6.9,Posesiones perdidas 4,Goles esperados 0,2023-11-04 02:09:50.038077
StefanSavić,J5,-2,-2,-2,1,Pases totales 38,Pases precisos 31,Balones en largo totales 6,Balones en largo precisos 2,Centros totales 1,Duelos perdidos 2,Regateado 2,Despejes totales 1,Intercepciones 1,Minutos jugados 45,Toques 43,Valoración 6.2,Posesiones perdidas 8,Goles esperados 0,MATCH_STAT_expectedAssists 0.0,2023-11-04 02:09:56.687827
StefanSavić,J3,2,6,10,3,Pases totales 41,Pases precisos 28,Balones en largo totales 11,Balones en largo precisos 3,Duelos aéreos perdidos 2,Duelos perdidos 5,Duelos ganados 3,Regateado 2,Regates totales 3,Regates completados 3,Despejes totales 2,Faltas cometidas 1,Minutos jugados 90,Toques 51,Valoración 6.6,Posesiones perdidas 13,Goles esperados 0,MATCH_STAT_expectedAssists 0.0,2023-11-04 02:10:03.368706
StefanSavić,J2,6,2,2,6,Pases totales 61,Pases precisos 53,Balones en largo totales 7,Balones en largo precisos 3,Duelos aéreos perdidos 2,Duelos aéreos ganados 2,Duelos perdidos 4,Duelos ganados 3,Tiros bloqueados en defensa 3,Intercepciones 3,Entradas totales 1,Faltas cometidas 2,Minutos jugados 90,Toques 72,Valoración 7.3,Posesiones perdidas 8,Goles esperados 0,MATCH_STAT_expectedAssists 0.0,2023-11-04 02:10:10.025952
StefanSavić,J1,2,2,6,6,Pases totales 45,Pases precisos 35,Balones en largo totales 9,Balones en largo precisos 3,Duelos aéreos perdidos 3,Duelos aéreos ganados 6,Duelos perdidos 4,Duelos ganados 6,Tiros fuera 1,Despejes totales 4,Tiros bloqueados en defensa 2,Intercepciones 5,Faltas cometidas 1,Minutos jugados 90,Toques 58,Valoración 7.2,Posesiones perdidas 11,Goles esperados 0.0,MATCH_STAT_expectedAssists 0.0,2023-11-04 02:10:16.701249
