Player full name,Game Week,AS Score,Marca Score,Mundo Deportivo Score,Sofa Score,Stat 1,Stat 2,Stat 3,Stat 4,Stat 5,Stat 6,Stat 7,Stat 8,Stat 9,Stat 10,Stat 11,Stat 12,Stat 13,Stat 14,Stat 15,Stat 16,Stat 17,Stat 18,Stat 19,Stat 20,Stat 21,Stat 22,Stat 23,Stat 24,Stat 25,Stat 26,Stat 27,Stat 28,Stat 29,Stat 30
DavidGarcía,J11,2,2,2,3,Pases totales 47,Pases precisos 41,Balones en largo totales 5,Balones en largo precisos 2,Duelos aéreos perdidos 1,Duelos aéreos ganados 3,Duelos perdidos 4,Duelos ganados 6,Regateado 2,Regates totales 1,Regates completados 1,Tiros bloqueados en ataque 1,Despejes totales 5,Intercepciones 3,Entradas totales 1,Faltas recibidas 1,Faltas cometidas 1,Minutos jugados 90,Toques 61,Valoración 6.6,Posesiones perdidas 6,Goles esperados 0.0,2023-11-04 00:27:01.735533
DavidGarcía,J10,2,6,6,6,Pases totales 48,Pases precisos 41,Balones en largo totales 7,Balones en largo precisos 4,Duelos aéreos perdidos 2,Duelos aéreos ganados 4,Duelos perdidos 2,Duelos ganados 4,Despejes totales 8,Tiros bloqueados en defensa 1,Minutos jugados 90,Toques 61,Valoración 7.3,Posesiones perdidas 9,2023-11-04 00:27:08.353227
DavidGarcía,J9,-2,-2,2,0,Pases totales 19,Pases precisos 15,Balones en largo totales 3,Balones en largo precisos 1,Duelos aéreos ganados 1,Duelos ganados 3,Despejes totales 7,Tiros bloqueados en defensa 1,Intercepciones 1,Entradas totales 2,Errores que llevan a disparo 1,Penaltis cometidos 1,Faltas cometidas 1,Minutos jugados 90,Toques 33,Valoración 6.1,Posesiones perdidas 4,Goles esperados 0,MATCH_STAT_expectedAssists 0.0,2023-11-04 00:27:14.992769
DavidGarcía,J8,2,2,6,6,Pases totales 53,Pases precisos 44,Balones en largo totales 10,Balones en largo precisos 5,Duelos aéreos perdidos 1,Duelos aéreos ganados 2,Duelos perdidos 3,Duelos ganados 6,Pérdidas 1,Despejes totales 3,Tiros bloqueados en defensa 2,Entradas totales 3,Faltas recibidas 1,Faltas cometidas 1,Minutos jugados 90,Toques 66,Valoración 7.3,Posesiones perdidas 10,Goles esperados 0,MATCH_STAT_expectedAssists 0.0,2023-11-04 00:27:21.645770
DavidGarcía,J7,6,6,10,5,Pases totales 72,Pases precisos 65,Balones en largo totales 6,Balones en largo precisos 3,Duelos aéreos ganados 3,Duelos perdidos 2,Duelos ganados 6,Regates totales 1,Tiros fuera 2,Despejes totales 5,Intercepciones 1,Entradas totales 3,Faltas cometidas 1,Minutos jugados 90,Toques 84,Valoración 7.1,Posesiones perdidas 8,Goles esperados 0.1,MATCH_STAT_expectedAssists 0.0,2023-11-04 00:27:28.283366
DavidGarcía,J6,2,2,6,4,Pases totales 30,Pases precisos 19,Balones en largo totales 6,Balones en largo precisos 4,Duelos aéreos perdidos 3,Duelos aéreos ganados 3,Duelos perdidos 5,Duelos ganados 3,Regateado 1,Despejes totales 6,Faltas cometidas 1,Minutos jugados 90,Toques 39,Valoración 6.9,Posesiones perdidas 12,Goles esperados 0,2023-11-04 00:27:34.888824
DavidGarcía,J5,6,6,6,2,Pases totales 54,Pases precisos 41,Balones en largo totales 14,Balones en largo precisos 6,Duelos aéreos perdidos 4,Duelos aéreos ganados 6,Duelos perdidos 4,Duelos ganados 6,Despejes totales 10,Fueras de juego 1,Minutos jugados 90,Toques 67,Valoración 6.5,Posesiones perdidas 13,Goles esperados 0,MATCH_STAT_expectedAssists 0.0,2023-11-04 00:27:41.519541
DavidGarcía,J3,6,2,2,4,Pases totales 35,Pases precisos 30,Balones en largo totales 3,Duelos aéreos perdidos 1,Duelos aéreos ganados 2,Duelos perdidos 3,Duelos ganados 5,Regateado 1,Regates totales 1,Regates completados 1,Despejes totales 8,Intercepciones 1,Entradas totales 1,Faltas recibidas 1,Faltas cometidas 1,Minutos jugados 90,Toques 50,Valoración 6.9,Posesiones perdidas 7,Goles esperados 0,2023-11-04 00:27:50.392837
DavidGarcía,J2,6,6,2,5,Pases totales 65,Pases precisos 57,Balones en largo totales 8,Balones en largo precisos 4,Duelos aéreos perdidos 2,Duelos aéreos ganados 5,Duelos perdidos 2,Duelos ganados 8,Tiros fuera 1,Tiros a puerta 1,Despejes totales 3,Intercepciones 1,Entradas totales 2,Faltas recibidas 1,Minutos jugados 90,Toques 79,Valoración 7.1,Posesiones perdidas 9,Goles esperados 0.1,MATCH_STAT_expectedAssists 0.0,2023-11-04 00:27:57.063401
DavidGarcía,J1,6,2,6,8,Pases totales 41,Pases precisos 36,Balones en largo totales 6,Balones en largo precisos 5,Duelos aéreos ganados 3,Duelos perdidos 1,Duelos ganados 6,Tiros fuera 1,Despejes totales 3,Tiros bloqueados en defensa 1,Intercepciones 1,Entradas totales 3,Faltas cometidas 1,Minutos jugados 90,Toques 53,Valoración 7.6,Posesiones perdidas 5,Goles esperados 0.0,MATCH_STAT_expectedAssists 0.0,2023-11-04 00:28:03.699711
