Player full name,Game Week,AS Score,Marca Score,Mundo Deportivo Score,Sofa Score,Stat 1,Stat 2,Stat 3,Stat 4,Stat 5,Stat 6,Stat 7,Stat 8,Stat 9,Stat 10,Stat 11,Stat 12,Stat 13,Stat 14,Stat 15,Stat 16,Stat 17,Stat 18,Stat 19,Stat 20,Stat 21,Stat 22,Stat 23,Stat 24,Stat 25,Stat 26,Stat 27,Stat 28,Stat 29,Stat 30
BryanZaragoza,J11,10,6,10,9,Pases totales 17,Pases precisos 12,Balones en largo totales 2,Balones en largo precisos 2,Asistencias de gol 1,Centros totales 12,Centros precisos 6,Duelos perdidos 4,Duelos ganados 5,Regateado 1,Regates totales 6,Regates completados 3,Tiros a puerta 2,Faltas recibidas 2,Minutos jugados 90,Toques 47,Valoración 7.8,Posesiones perdidas 18,Goles esperados 0.2,Pases clave 4,MATCH_STAT_expectedAssists 0.8,2023-11-04 17:39:46.791503
BryanZaragoza,J10,2,-2,2,4,Pases totales 12,Pases precisos 10,Balones en largo totales 1,Centros totales 5,Centros precisos 2,Duelos aéreos perdidos 1,Duelos perdidos 5,Duelos ganados 5,Regateado 1,Regates totales 5,Regates completados 2,Tiros fuera 1,Tiros a puerta 1,Entradas totales 2,Faltas recibidas 1,Faltas cometidas 1,Fueras de juego 1,Minutos jugados 90,Toques 32,Valoración 6.8,Posesiones perdidas 11,Goles esperados 0.1,Pases clave 2,MATCH_STAT_expectedAssists 0.1,2023-11-04 17:39:50.875908
BryanZaragoza,J9,18,18,18,18,Pases totales 8,Pases precisos 8,Centros totales 2,Duelos aéreos perdidos 1,Duelos perdidos 6,Duelos ganados 4,Regateado 1,Pérdidas 1,Regates totales 5,Regates completados 2,Tiros fuera 1,Tiros a puerta 2,Tiros al palo 1,Goles 2,Entradas totales 1,Faltas recibidas 1,Fueras de juego 1,Minutos jugados 90,Toques 24,Valoración 8.1,Posesiones perdidas 9,Goles esperados 0.4,2023-11-04 17:39:54.921379
BryanZaragoza,J8,9,13,13,13,Pases totales 18,Pases precisos 13,Balones en largo totales 1,Centros totales 1,Duelos perdidos 4,Duelos ganados 7,Pérdidas 1,Regates totales 7,Regates completados 4,Ocasiones creadas 1,Tiros fuera 1,Tiros a puerta 1,Goles 1,Faltas recibidas 3,Penaltis provocados 1,Fueras de juego 1,Minutos jugados 90,Toques 38,Valoración 8,Posesiones perdidas 15,Goles esperados 0.8,Pases clave 3,MATCH_STAT_expectedAssists 0.7,2023-11-04 17:39:58.924767
BryanZaragoza,J7,6,10,6,9,Pases totales 14,Pases precisos 7,Asistencias de gol 1,Centros totales 4,Centros precisos 3,Duelos aéreos ganados 2,Duelos perdidos 2,Duelos ganados 9,Regates totales 7,Regates completados 6,Ocasiones creadas 1,Tiros a puerta 1,Tiros bloqueados en ataque 1,Faltas recibidas 1,Faltas cometidas 1,Fueras de juego 1,Minutos jugados 52,Toques 32,Valoración 7.9,Posesiones perdidas 13,Goles esperados 0.1,Pases clave 3,MATCH_STAT_expectedAssists 0.8,2023-11-04 17:40:02.940075
BryanZaragoza,J6,2,-2,2,-2,Pases totales 7,Pases precisos 4,Balones en largo totales 1,Centros totales 2,Duelos aéreos perdidos 1,Duelos perdidos 6,Regateado 2,Regates totales 3,Minutos jugados 17,Toques 17,Valoración 5.7,Posesiones perdidas 10,Goles esperados 0,2023-11-04 17:40:06.875352
BryanZaragoza,J5,2,-2,2,0,Pases totales 11,Pases precisos 7,Balones en largo totales 1,Centros totales 5,Centros precisos 1,Duelos aéreos ganados 1,Duelos perdidos 6,Duelos ganados 3,Pérdidas 1,Regates totales 5,Regates completados 1,Faltas recibidas 1,Faltas cometidas 1,Fueras de juego 1,Minutos jugados 83,Toques 34,Valoración 6,Posesiones perdidas 17,Goles esperados 0,2023-11-04 17:40:10.845117
BryanZaragoza,J4,10,6,14,11,Pases totales 12,Pases precisos 7,Balones en largo totales 1,Centros totales 6,Centros precisos 1,Duelos aéreos perdidos 1,Duelos perdidos 9,Duelos ganados 8,Regateado 1,Pérdidas 1,Regates totales 10,Regates completados 5,Tiros a puerta 3,Goles 1,Faltas recibidas 3,Faltas cometidas 1,Minutos jugados 90,Toques 37,Valoración 7.4,Posesiones perdidas 17,Goles esperados 0.6,Pases clave 1,MATCH_STAT_expectedAssists 0.1,2023-11-04 17:40:14.832799
BryanZaragoza,J3,14,14,14,9,Pases totales 9,Pases precisos 4,Centros totales 3,Duelos aéreos perdidos 1,Duelos perdidos 3,Duelos ganados 3,Pérdidas 1,Regates totales 2,Regates completados 1,Tiros a puerta 1,Goles 1,Faltas recibidas 2,Minutos jugados 72,Toques 21,Valoración 7,Posesiones perdidas 11,Goles esperados 0.1,2023-11-04 17:40:18.870352
BryanZaragoza,J2,6,6,6,9,Pases totales 17,Pases precisos 12,Balones en largo totales 3,Balones en largo precisos 1,Centros totales 3,Duelos perdidos 7,Duelos ganados 10,Regateado 1,Pérdidas 1,Regates totales 12,Regates completados 7,Tiros fuera 2,Tiros a puerta 2,Tiros bloqueados en ataque 1,Tiros al palo 1,Intercepciones 1,Entradas totales 3,Minutos jugados 90,Toques 52,Valoración 7.8,Posesiones perdidas 17,Goles esperados 0.4,Pases clave 1,MATCH_STAT_expectedAssists 0.1,2023-11-04 17:40:22.935968
BryanZaragoza,J1,2,2,6,2,Pases totales 6,Pases precisos 4,Centros totales 1,Duelos perdidos 4,Duelos ganados 4,Pérdidas 1,Regates totales 5,Regates completados 2,Entradas totales 1,Faltas recibidas 1,Minutos jugados 9,Toques 16,Valoración 6.4,Posesiones perdidas 7,Goles esperados 0,2023-11-04 17:40:26.961191
