Player full name,Game Week,AS Score,Marca Score,Mundo Deportivo Score,Sofa Score,Stat 1,Stat 2,Stat 3,Stat 4,Stat 5,Stat 6,Stat 7,Stat 8,Stat 9,Stat 10,Stat 11,Stat 12,Stat 13,Stat 14,Stat 15,Stat 16,Stat 17,Stat 18,Stat 19,Stat 20,Stat 21,Stat 22,Stat 23,Stat 24,Stat 25,Stat 26,Stat 27,Stat 28,Stat 29,Stat 30
KaikyFernandes,J10,-2,-2,2,1,Pases totales 30,Pases precisos 25,Balones en largo totales 5,Balones en largo precisos 4,Duelos aéreos ganados 1,Duelos perdidos 2,Duelos ganados 1,Despejes totales 4,Tiros bloqueados en defensa 3,Faltas cometidas 2,Minutos jugados 90,Toques 39,Valoración 6.3,Posesiones perdidas 5,MATCH_STAT_expectedAssists 0.0,2023-11-04 03:42:46.212259
KaikyFernandes,J9,-2,-2,2,2,Pases totales 54,Pases precisos 42,Balones en largo totales 10,Balones en largo precisos 3,Duelos aéreos perdidos 1,Duelos perdidos 1,Duelos ganados 4,Regates totales 2,Regates completados 2,Despejes totales 7,Tiros bloqueados en defensa 1,Intercepciones 1,Entradas totales 2,Errores que llevan a disparo 1,Minutos jugados 90,Toques 68,Valoración 6.4,Posesiones perdidas 13,Goles esperados 0,2023-11-04 03:42:52.873703
KaikyFernandes,J8,2,2,2,2,Pases totales 55,Pases precisos 42,Balones en largo totales 18,Balones en largo precisos 7,Duelos aéreos perdidos 2,Duelos aéreos ganados 6,Duelos perdidos 5,Duelos ganados 8,Regateado 2,Despejes totales 4,Entradas totales 2,Faltas cometidas 1,Minutos jugados 90,Toques 63,Valoración 6.4,Posesiones perdidas 13,Goles esperados 0,MATCH_STAT_expectedAssists 0.0,2023-11-04 03:42:59.508151
KaikyFernandes,J7,2,2,2,3,Pases totales 24,Pases precisos 21,Balones en largo totales 4,Balones en largo precisos 3,Duelos aéreos perdidos 2,Duelos aéreos ganados 1,Duelos perdidos 4,Duelos ganados 2,Regates totales 1,Tiros fuera 1,Tiros bloqueados en ataque 1,Entradas totales 1,Faltas cometidas 1,Minutos jugados 26,Toques 28,Valoración 6.7,Posesiones perdidas 4,Goles esperados 0.2,MATCH_STAT_expectedAssists 0.0,2023-11-04 03:43:06.173327
KaikyFernandes,J4,2,2,2,1,Pases totales 68,Pases precisos 66,Balones en largo totales 1,Balones en largo precisos 1,Duelos aéreos perdidos 1,Duelos aéreos ganados 2,Duelos perdidos 4,Duelos ganados 3,Regateado 1,Despejes totales 3,Intercepciones 1,Entradas totales 1,Faltas cometidas 2,Minutos jugados 90,Toques 74,Valoración 6.3,Posesiones perdidas 2,Goles esperados 0,MATCH_STAT_expectedAssists 0.0,2023-11-04 03:43:17.288876
KaikyFernandes,J3,11,11,11,11,Pases totales 11,Pases precisos 5,Balones en largo totales 2,Balones en largo precisos 1,Duelos aéreos perdidos 2,Duelos perdidos 2,Tiros a puerta 1,Goles 1,Despejes totales 3,Tiros bloqueados en defensa 1,Intercepciones 1,Minutos jugados 38,Toques 18,Valoración 7.3,Posesiones perdidas 6,Goles esperados 0.0,2023-11-04 03:43:23.970306
