Player full name,Game Week,AS Score,Marca Score,Mundo Deportivo Score,Sofa Score,Stat 1,Stat 2,Stat 3,Stat 4,Stat 5,Stat 6,Stat 7,Stat 8,Stat 9,Stat 10,Stat 11,Stat 12,Stat 13,Stat 14,Stat 15,Stat 16,Stat 17,Stat 18,Stat 19,Stat 20,Stat 21,Stat 22,Stat 23,Stat 24,Stat 25,Stat 26,Stat 27,Stat 28,Stat 29,Stat 30
IbrahimaKoné,J8,-2,2,2,3,Pases totales 4,Pases precisos 3,Duelos aéreos perdidos 2,Duelos perdidos 3,Duelos ganados 1,Faltas recibidas 1,Faltas cometidas 1,Minutos jugados 19,Toques 6,Valoración 6.6,Posesiones perdidas 1,Goles esperados 0,Pases clave 1,MATCH_STAT_expectedAssists 0.0,2023-11-04 04:15:19.562156
IbrahimaKoné,J7,-2,-2,2,3,Pases totales 10,Pases precisos 8,Duelos aéreos perdidos 3,Duelos aéreos ganados 1,Duelos perdidos 5,Duelos ganados 3,Pérdidas 1,Ocasiones claras falladas 1,Tiros fuera 1,Despejes totales 3,Entradas totales 1,Faltas recibidas 1,Faltas cometidas 1,Fueras de juego 2,Minutos jugados 64,Toques 21,Valoración 6.6,Posesiones perdidas 5,Goles esperados 0.0,MATCH_STAT_expectedAssists 0.0,2023-11-04 04:15:26.217423
IbrahimaKoné,J6,2,2,0,2,Pases totales 4,Pases precisos 2,Duelos aéreos ganados 2,Duelos ganados 2,Despejes totales 1,Fueras de juego 2,Minutos jugados 28,Toques 7,Valoración 6.5,Posesiones perdidas 3,Goles esperados 0,MATCH_STAT_expectedAssists 0.0,2023-11-04 04:15:32.838523
IbrahimaKoné,J5,0,0,6,2,Pases totales 2,Pases precisos 2,Duelos aéreos perdidos 1,Duelos perdidos 1,Minutos jugados 10,Toques 2,Valoración 6.5,Goles esperados 0,2023-11-04 04:15:39.433835
IbrahimaKoné,J4,2,2,2,1,Pases totales 9,Pases precisos 5,Duelos aéreos perdidos 1,Duelos aéreos ganados 2,Duelos perdidos 1,Duelos ganados 2,Ocasiones claras falladas 1,Tiros a puerta 1,Minutos jugados 45,Toques 13,Valoración 6.3,Posesiones perdidas 5,Goles esperados 0.2,2023-11-04 04:15:46.072037
IbrahimaKoné,J3,2,2,2,1,Pases totales 5,Pases precisos 2,Duelos aéreos ganados 2,Duelos perdidos 2,Duelos ganados 3,Regates totales 2,Faltas recibidas 1,Fueras de juego 1,Minutos jugados 17,Toques 10,Valoración 6.3,Posesiones perdidas 5,Goles esperados 0,2023-11-04 04:15:52.672287
IbrahimaKoné,J2,2,2,6,4,Pases totales 7,Pases precisos 6,Centros totales 1,Tiros a puerta 1,Minutos jugados 29,Toques 10,Valoración 6.8,Posesiones perdidas 2,Goles esperados 0.1,Pases clave 1,MATCH_STAT_expectedAssists 0.4,2023-11-04 04:15:59.278049
