Player full name,Game Week,AS Score,Marca Score,Mundo Deportivo Score,Sofa Score,Stat 1,Stat 2,Stat 3,Stat 4,Stat 5,Stat 6,Stat 7,Stat 8,Stat 9,Stat 10,Stat 11,Stat 12,Stat 13,Stat 14,Stat 15,Stat 16,Stat 17,Stat 18,Stat 19,Stat 20,Stat 21,Stat 22,Stat 23,Stat 24,Stat 25,Stat 26,Stat 27,Stat 28,Stat 29,Stat 30
DavidSoria,J11,10,6,6,8,Pases totales 35,Pases precisos 14,Balones en largo totales 32,Balones en largo precisos 11,Despejes totales 2,Paradas desde dentro del área 2,Paradas 4,Despejes con los puños 1,Minutos jugados 90,Toques 44,Valoración 7.6,Posesiones perdidas 21,Goles evitados 0.7,2023-11-03 23:28:51.811215
DavidSoria,J10,6,6,2,4,Pases totales 36,Pases precisos 16,Balones en largo totales 28,Balones en largo precisos 8,Despejes por alto 2,Paradas desde dentro del área 2,Paradas 2,Salidas totales 1,Salidas precisas 1,Minutos jugados 90,Toques 50,Valoración 6.9,Posesiones perdidas 20,Goles evitados 0.1,2023-11-03 23:28:58.442380
DavidSoria,J9,6,10,14,10,Pases totales 36,Pases precisos 7,Balones en largo totales 36,Balones en largo precisos 7,Despejes totales 1,Paradas desde dentro del área 7,Paradas 9,Salidas totales 2,Salidas precisas 2,Minutos jugados 90,Toques 47,Valoración 8.3,Posesiones perdidas 29,Goles esperados 0,Goles evitados 2.7,2023-11-03 23:29:05.055433
DavidSoria,J8,2,2,6,4,Pases totales 18,Pases precisos 14,Balones en largo totales 9,Balones en largo precisos 5,Minutos jugados 90,Toques 22,Valoración 6.8,Posesiones perdidas 4,Goles esperados 0,2023-11-03 23:29:11.646617
DavidSoria,J7,2,2,2,2,Pases totales 26,Pases precisos 13,Balones en largo totales 20,Balones en largo precisos 7,Errores que llevan a gol 1,Errores que llevan a disparo 1,Despejes por alto 2,Paradas desde dentro del área 1,Paradas 2,Minutos jugados 90,Toques 39,Valoración 6.5,Posesiones perdidas 13,Goles esperados 0,Goles evitados -0.5,2023-11-03 23:29:18.270862
DavidSoria,J6,-2,-2,2,0,Pases totales 28,Pases precisos 12,Balones en largo totales 25,Balones en largo precisos 9,Duelos aéreos ganados 1,Duelos ganados 1,Despejes totales 1,Errores que llevan a gol 1,Paradas desde dentro del área 1,Paradas 2,Despejes con los puños 1,Salidas totales 1,Salidas precisas 1,Minutos jugados 90,Toques 36,Valoración 6,Posesiones perdidas 17,Goles esperados 0,MATCH_STAT_expectedAssists 0.0,Goles evitados -1.2,2023-11-03 23:29:24.940244
DavidSoria,J5,2,2,6,1,Pases totales 46,Pases precisos 21,Balones en largo totales 42,Balones en largo precisos 18,Duelos perdidos 1,Penaltis cometidos 1,Faltas cometidas 1,Paradas desde dentro del área 1,Paradas 1,Salidas totales 1,Salidas precisas 1,Minutos jugados 90,Toques 51,Valoración 6.2,Posesiones perdidas 25,Goles esperados 0,Goles evitados -0.5,2023-11-03 23:29:31.590528
DavidSoria,J4,10,10,10,11,Pases totales 33,Pases precisos 18,Balones en largo totales 32,Balones en largo precisos 17,Despejes totales 3,Errores que llevan a gol 1,Paradas desde dentro del área 7,Paradas 10,Despejes con los puños 2,Salidas totales 2,Salidas precisas 2,Minutos jugados 90,Toques 47,Valoración 8.7,Posesiones perdidas 15,Goles esperados 0,Goles evitados 0.7,2023-11-03 23:29:38.229397
DavidSoria,J3,6,2,6,6,Pases totales 32,Pases precisos 17,Balones en largo totales 24,Balones en largo precisos 10,Despejes totales 2,Paradas desde dentro del área 1,Paradas 1,Minutos jugados 90,Toques 39,Valoración 7.2,Posesiones perdidas 15,Goles esperados 0,MATCH_STAT_expectedAssists 0.0,Goles evitados 0.5,2023-11-03 23:29:44.858650
DavidSoria,J2,-2,-2,-2,2,Pases totales 24,Pases precisos 10,Balones en largo totales 20,Balones en largo precisos 8,Duelos aéreos ganados 1,Duelos ganados 1,Despejes totales 1,Errores que llevan a gol 1,Faltas recibidas 1,Paradas desde dentro del área 2,Paradas 3,Salidas totales 2,Salidas precisas 2,Minutos jugados 90,Toques 34,Valoración 6.4,Posesiones perdidas 17,Goles esperados 0,MATCH_STAT_expectedAssists 0.0,Goles evitados -1.2,2023-11-03 23:29:51.522229
DavidSoria,J1,6,6,6,7,Pases totales 35,Pases precisos 17,Balones en largo totales 31,Balones en largo precisos 13,Paradas desde dentro del área 2,Paradas 3,Salidas totales 1,Salidas precisas 1,Minutos jugados 90,Toques 41,Valoración 7.4,Posesiones perdidas 18,Goles esperados 0,MATCH_STAT_expectedAssists 0.0,Goles evitados 0.4,2023-11-03 23:29:58.150988
