Player full name,Game Week,AS Score,Marca Score,Mundo Deportivo Score,Sofa Score,Stat 1,Stat 2,Stat 3,Stat 4,Stat 5,Stat 6,Stat 7,Stat 8,Stat 9,Stat 10,Stat 11,Stat 12,Stat 13,Stat 14,Stat 15,Stat 16,Stat 17,Stat 18,Stat 19,Stat 20,Stat 21,Stat 22,Stat 23,Stat 24,Stat 25,Stat 26,Stat 27,Stat 28,Stat 29,Stat 30
UnaiSimón,J11,10,6,10,3,Pases totales 37,Pases precisos 24,Balones en largo totales 23,Balones en largo precisos 11,Duelos ganados 1,Despejes por alto 1,Paradas desde dentro del área 1,Paradas 2,Minutos jugados 90,Toques 43,Valoración 6.7,Posesiones perdidas 13,Goles evitados 0.3,2023-11-03 22:49:04.259772
UnaiSimón,J10,10,10,10,9,Pases totales 33,Pases precisos 15,Balones en largo totales 26,Balones en largo precisos 8,Duelos ganados 2,Faltas recibidas 2,Despejes por alto 1,Paradas desde dentro del área 4,Paradas 6,Minutos jugados 90,Toques 44,Valoración 7.9,Posesiones perdidas 18,Goles evitados 0.8,2023-11-03 22:49:10.897873
UnaiSimón,J9,2,2,2,5,Pases totales 36,Pases precisos 27,Balones en largo totales 17,Balones en largo precisos 8,Despejes totales 1,Despejes por alto 1,Paradas 1,Salidas totales 2,Salidas precisas 2,Minutos jugados 90,Toques 42,Valoración 7.1,Posesiones perdidas 9,Goles esperados 0,Goles evitados 0.1,2023-11-03 22:49:17.536996
UnaiSimón,J8,-2,-2,2,1,Pases totales 37,Pases precisos 19,Balones en largo totales 28,Balones en largo precisos 10,Duelos perdidos 1,Regateado 1,Paradas desde dentro del área 1,Paradas 2,Minutos jugados 90,Toques 47,Valoración 6.2,Posesiones perdidas 18,Goles esperados 0,Goles evitados -1.1,2023-11-03 22:49:24.176700
UnaiSimón,J7,6,6,2,3,Pases totales 34,Pases precisos 18,Balones en largo totales 21,Balones en largo precisos 6,Despejes por alto 1,Paradas desde dentro del área 3,Paradas 3,Minutos jugados 90,Toques 42,Valoración 6.7,Posesiones perdidas 17,Goles esperados 0,Goles evitados 0.7,2023-11-03 22:49:30.802259
UnaiSimón,J6,6,10,6,10,Pases totales 39,Pases precisos 24,Balones en largo totales 26,Balones en largo precisos 11,Duelos ganados 1,Despejes por alto 1,Paradas desde dentro del área 5,Paradas 5,Minutos jugados 90,Toques 51,Valoración 8.2,Posesiones perdidas 15,Goles esperados 0,Goles evitados 1.7,2023-11-03 22:49:37.438469
UnaiSimón,J5,6,6,6,10,Pases totales 17,Pases precisos 10,Balones en largo totales 12,Balones en largo precisos 5,Duelos aéreos ganados 1,Duelos ganados 1,Despejes por alto 2,Paradas desde dentro del área 2,Paradas 4,Minutos jugados 90,Toques 28,Valoración 8,Posesiones perdidas 7,Goles esperados 0,Goles evitados 0.9,2023-11-03 22:49:44.079531
UnaiSimón,J4,2,2,2,4,Pases totales 30,Pases precisos 17,Balones en largo totales 19,Balones en largo precisos 7,Duelos aéreos ganados 1,Duelos ganados 1,Faltas recibidas 1,Paradas 1,Minutos jugados 90,Toques 39,Valoración 6.9,Posesiones perdidas 13,Goles esperados 0,Goles evitados 0.0,2023-11-03 22:49:50.732771
UnaiSimón,J3,2,2,6,3,Pases totales 32,Pases precisos 20,Balones en largo totales 22,Balones en largo precisos 10,Despejes totales 1,Despejes por alto 1,Paradas desde dentro del área 2,Paradas 3,Salidas totales 1,Salidas precisas 1,Minutos jugados 90,Toques 41,Valoración 6.6,Posesiones perdidas 12,Goles esperados 0,MATCH_STAT_expectedAssists 0.0,Goles evitados -1.0,2023-11-03 22:49:57.364655
UnaiSimón,J2,10,10,10,11,Pases totales 43,Pases precisos 16,Balones en largo totales 37,Balones en largo precisos 10,Despejes totales 2,Despejes por alto 2,Paradas desde dentro del área 5,Paradas 7,Minutos jugados 90,Toques 58,Valoración 8.7,Posesiones perdidas 27,Goles esperados 0,Goles evitados 1.7,2023-11-03 22:50:03.981596
UnaiSimón,J1,2,2,6,8,Pases totales 20,Pases precisos 17,Balones en largo totales 7,Balones en largo precisos 5,Despejes totales 1,Paradas desde dentro del área 4,Paradas 6,Minutos jugados 90,Toques 35,Valoración 7.6,Posesiones perdidas 3,Goles esperados 0,Goles evitados -0.5,2023-11-03 22:50:10.613577
