Player full name,Game Week,AS Score,Marca Score,Mundo Deportivo Score,Sofa Score,Stat 1,Stat 2,Stat 3,Stat 4,Stat 5,Stat 6,Stat 7,Stat 8,Stat 9,Stat 10,Stat 11,Stat 12,Stat 13,Stat 14,Stat 15,Stat 16,Stat 17,Stat 18,Stat 19,Stat 20,Stat 21,Stat 22,Stat 23,Stat 24,Stat 25,Stat 26,Stat 27,Stat 28,Stat 29,Stat 30
IvanRakitić,J11,10,10,10,14,Pases totales 65,Pases precisos 55,Balones en largo totales 9,Balones en largo precisos 7,Centros totales 7,Centros precisos 3,Duelos aéreos ganados 1,Duelos perdidos 1,Duelos ganados 3,Pérdidas 1,Tiros a puerta 1,Goles 1,Despejes totales 2,Intercepciones 1,Entradas totales 1,Faltas recibidas 1,Minutos jugados 90,Toques 82,Valoración 8.2,Posesiones perdidas 16,Goles esperados 0.0,Pases clave 3,MATCH_STAT_expectedAssists 0.2,2023-11-04 00:30:26.149202
IvanRakitić,J10,6,6,2,8,Pases totales 56,Pases precisos 51,Balones en largo totales 13,Balones en largo precisos 10,Centros totales 4,Duelos perdidos 3,Duelos ganados 4,Pérdidas 1,Regates totales 3,Regates completados 1,Tiros fuera 1,Tiros a puerta 2,Tiros bloqueados en ataque 1,Entradas totales 3,Minutos jugados 90,Toques 79,Valoración 7.6,Posesiones perdidas 15,Goles esperados 0.3,Pases clave 2,MATCH_STAT_expectedAssists 0.0,2023-11-04 00:30:32.812794
IvanRakitić,J9,6,2,6,8,Pases totales 54,Pases precisos 38,Balones en largo totales 11,Balones en largo precisos 4,Asistencias de gol 1,Centros totales 10,Centros precisos 3,Duelos aéreos ganados 2,Duelos perdidos 2,Duelos ganados 6,Regateado 1,Tiros bloqueados en ataque 1,Entradas totales 3,Faltas recibidas 2,Faltas cometidas 1,Minutos jugados 53,Toques 75,Valoración 7.7,Posesiones perdidas 24,Goles esperados 0.1,Pases clave 5,MATCH_STAT_expectedAssists 0.5,2023-11-04 00:30:39.515052
IvanRakitić,J8,2,2,6,7,Pases totales 27,Pases precisos 22,Balones en largo totales 4,Balones en largo precisos 2,Centros totales 6,Centros precisos 3,Duelos aéreos perdidos 2,Duelos aéreos ganados 3,Duelos perdidos 5,Duelos ganados 4,Regates totales 2,Ocasiones creadas 1,Tiros fuera 1,Tiros a puerta 1,Tiros bloqueados en defensa 1,Faltas recibidas 1,Faltas cometidas 1,Minutos jugados 90,Toques 42,Valoración 7.5,Posesiones perdidas 11,Goles esperados 0.1,Pases clave 2,MATCH_STAT_expectedAssists 0.5,2023-11-04 00:30:46.200241
IvanRakitić,J6,2,2,2,6,Pases totales 53,Pases precisos 37,Balones en largo totales 7,Balones en largo precisos 2,Centros totales 6,Centros precisos 2,Duelos aéreos perdidos 1,Duelos aéreos ganados 1,Duelos perdidos 3,Duelos ganados 2,Regateado 1,Tiros fuera 1,Despejes totales 3,Tiros bloqueados en defensa 1,Intercepciones 1,Entradas totales 1,Faltas cometidas 1,Minutos jugados 90,Toques 76,Valoración 7.3,Posesiones perdidas 24,Goles esperados 0.0,Pases clave 4,MATCH_STAT_expectedAssists 0.5,2023-11-04 00:30:55.126575
IvanRakitić,J5,2,2,2,8,Pases totales 32,Pases precisos 26,Balones en largo totales 3,Balones en largo precisos 2,Centros totales 7,Centros precisos 3,Duelos aéreos ganados 1,Duelos perdidos 2,Duelos ganados 5,Regateado 1,Pérdidas 1,Regates totales 1,Regates completados 1,Tiros a puerta 1,Tiros bloqueados en ataque 2,Tiros bloqueados en defensa 1,Intercepciones 2,Entradas totales 3,Minutos jugados 90,Toques 52,Valoración 7.6,Posesiones perdidas 12,Goles esperados 0.1,Pases clave 2,MATCH_STAT_expectedAssists 0.2,2023-11-04 00:31:01.820633
IvanRakitić,J3,2,-2,6,10,Pases totales 51,Pases precisos 44,Balones en largo totales 12,Balones en largo precisos 8,Centros totales 10,Centros precisos 4,Duelos aéreos perdidos 1,Duelos perdidos 3,Duelos ganados 4,Regates totales 1,Ocasiones creadas 1,Tiros fuera 1,Tiros bloqueados en ataque 1,Despejes totales 2,Intercepciones 1,Entradas totales 2,Faltas recibidas 2,Faltas cometidas 1,Fueras de juego 1,Minutos jugados 90,Toques 76,Valoración 8.2,Posesiones perdidas 18,Goles esperados 0.1,Pases clave 6,MATCH_STAT_expectedAssists 0.6,2023-11-04 00:31:08.525778
IvanRakitić,J2,2,2,-2,3,Pases totales 34,Pases precisos 29,Balones en largo totales 6,Balones en largo precisos 4,Centros totales 3,Centros precisos 3,Duelos ganados 3,Regates totales 1,Regates completados 1,Tiros bloqueados en ataque 2,Faltas recibidas 2,Minutos jugados 45,Toques 46,Valoración 6.7,Posesiones perdidas 6,Goles esperados 0.1,Pases clave 1,MATCH_STAT_expectedAssists 0.3,2023-11-04 00:31:15.199177
IvanRakitić,J1,2,2,-2,3,Pases totales 55,Pases precisos 41,Balones en largo totales 4,Balones en largo precisos 1,Centros totales 9,Centros precisos 1,Duelos aéreos ganados 2,Duelos perdidos 8,Duelos ganados 8,Regateado 1,Pérdidas 2,Regates totales 4,Regates completados 2,Tiros fuera 1,Intercepciones 1,Entradas totales 3,Faltas recibidas 1,Faltas cometidas 3,Minutos jugados 90,Toques 87,Valoración 6.6,Posesiones perdidas 29,Goles esperados 0.0,Pases clave 1,MATCH_STAT_expectedAssists 0.0,2023-11-04 00:31:21.908730
