Player full name,Game Week,AS Score,Marca Score,Mundo Deportivo Score,Sofa Score,Stat 1,Stat 2,Stat 3,Stat 4,Stat 5,Stat 6,Stat 7,Stat 8,Stat 9,Stat 10,Stat 11,Stat 12,Stat 13,Stat 14,Stat 15,Stat 16,Stat 17,Stat 18,Stat 19,Stat 20,Stat 21,Stat 22,Stat 23,Stat 24,Stat 25,Stat 26,Stat 27,Stat 28,Stat 29,Stat 30
DaniCeballos,J9,2,2,2,4,Pases totales 19,Pases precisos 17,Balones en largo totales 1,Balones en largo precisos 1,Centros totales 2,Duelos ganados 1,Regates totales 1,Regates completados 1,Tiros bloqueados en ataque 1,Minutos jugados 18,Toques 25,Valoración 6.9,Posesiones perdidas 4,Goles esperados 0.0,MATCH_STAT_expectedAssists 0.0,2023-11-04 04:35:50.744560
DaniCeballos,J8,2,2,2,2,Pases totales 19,Pases precisos 18,Duelos perdidos 3,Duelos ganados 2,Regateado 1,Pérdidas 1,Regates totales 1,Tiros bloqueados en defensa 1,Entradas totales 1,Faltas recibidas 1,Minutos jugados 16,Toques 25,Valoración 6.5,Posesiones perdidas 3,Goles esperados 0,MATCH_STAT_expectedAssists 0.0,2023-11-04 04:35:57.400200
DaniCeballos,J7,6,2,2,5,Pases totales 36,Pases precisos 35,Balones en largo totales 1,Balones en largo precisos 1,Duelos perdidos 2,Duelos ganados 3,Regateado 1,Entradas totales 1,Faltas recibidas 2,Faltas cometidas 1,Minutos jugados 33,Toques 41,Valoración 7,Posesiones perdidas 1,Goles esperados 0,MATCH_STAT_expectedAssists 0.0,2023-11-04 04:36:04.052857
