Player full name,Game Week,AS Score,Marca Score,Mundo Deportivo Score,Sofa Score,Stat 1,Stat 2,Stat 3,Stat 4,Stat 5,Stat 6,Stat 7,Stat 8,Stat 9,Stat 10,Stat 11,Stat 12,Stat 13,Stat 14,Stat 15,Stat 16,Stat 17,Stat 18,Stat 19,Stat 20,Stat 21,Stat 22,Stat 23,Stat 24,Stat 25,Stat 26,Stat 27,Stat 28,Stat 29,Stat 30
DamiánSuárez,J10,2,2,2,3,Pases totales 18,Pases precisos 14,Balones en largo totales 2,Centros totales 1,Duelos perdidos 1,Duelos ganados 5,Regateado 1,Regates totales 1,Regates completados 1,Despejes totales 1,Entradas totales 4,Minutos jugados 55,Toques 31,Valoración 6.6,Posesiones perdidas 7,MATCH_STAT_expectedAssists 0.0,2023-11-04 01:45:38.269454
DamiánSuárez,J9,2,2,10,1,Pases totales 27,Pases precisos 14,Balones en largo totales 11,Balones en largo precisos 1,Duelos aéreos perdidos 2,Duelos aéreos ganados 1,Duelos perdidos 9,Duelos ganados 4,Regateado 1,Regates totales 1,Despejes totales 4,Entradas totales 3,Faltas cometidas 5,Minutos jugados 90,Toques 44,Valoración 6.2,Posesiones perdidas 16,Goles esperados 0,MATCH_STAT_expectedAssists 0.0,2023-11-04 01:45:44.934689
DamiánSuárez,J8,6,2,6,8,Pases totales 38,Pases precisos 33,Balones en largo totales 1,Centros totales 11,Centros precisos 5,Duelos aéreos perdidos 1,Duelos perdidos 5,Duelos ganados 9,Regates totales 3,Regates completados 1,Despejes totales 2,Entradas totales 5,Faltas recibidas 3,Faltas cometidas 2,Minutos jugados 82,Toques 71,Valoración 7.7,Posesiones perdidas 17,Goles esperados 0,Pases clave 4,MATCH_STAT_expectedAssists 0.4,2023-11-04 01:45:51.583658
DamiánSuárez,J6,2,2,2,1,Pases totales 37,Pases precisos 26,Balones en largo totales 7,Balones en largo precisos 2,Centros totales 2,Centros precisos 2,Duelos aéreos ganados 2,Duelos perdidos 4,Duelos ganados 5,Regateado 2,Pérdidas 1,Tiros fuera 1,Intercepciones 2,Entradas totales 3,Faltas cometidas 1,Minutos jugados 90,Toques 54,Valoración 6.3,Posesiones perdidas 15,Goles esperados 0.1,Pases clave 1,MATCH_STAT_expectedAssists 0.0,2023-11-04 01:46:00.502649
DamiánSuárez,J5,6,6,2,5,Pases totales 36,Pases precisos 22,Balones en largo totales 9,Balones en largo precisos 4,Asistencias de gol 1,Centros totales 8,Centros precisos 2,Duelos aéreos perdidos 2,Duelos perdidos 4,Duelos ganados 3,Regates totales 1,Despejes totales 3,Entradas totales 3,Faltas cometidas 1,Minutos jugados 90,Toques 63,Valoración 7,Posesiones perdidas 22,Goles esperados 0,Pases clave 3,MATCH_STAT_expectedAssists 0.2,2023-11-04 01:46:07.173322
DamiánSuárez,J4,6,6,2,2,Pases totales 18,Pases precisos 10,Balones en largo totales 4,Balones en largo precisos 2,Centros totales 2,Duelos perdidos 2,Duelos ganados 1,Regateado 2,Despejes totales 1,Entradas totales 1,Minutos jugados 77,Toques 29,Valoración 6.5,Posesiones perdidas 11,Goles esperados 0,Pases clave 1,MATCH_STAT_expectedAssists 0.0,2023-11-04 01:46:13.839324
DamiánSuárez,J3,2,2,6,4,Pases totales 36,Pases precisos 20,Balones en largo totales 6,Balones en largo precisos 2,Centros totales 2,Duelos aéreos ganados 1,Duelos perdidos 6,Duelos ganados 4,Regateado 1,Pérdidas 1,Regates totales 2,Tiros bloqueados en defensa 1,Intercepciones 2,Entradas totales 1,Faltas recibidas 2,Faltas cometidas 2,Minutos jugados 90,Toques 59,Valoración 6.9,Posesiones perdidas 24,Goles esperados 0,MATCH_STAT_expectedAssists 0.1,2023-11-04 01:46:20.503429
DamiánSuárez,J2,2,2,2,3,Pases totales 29,Pases precisos 21,Balones en largo totales 4,Balones en largo precisos 2,Centros totales 5,Centros precisos 1,Duelos perdidos 1,Duelos ganados 3,Regates totales 1,Regates completados 1,Tiros bloqueados en ataque 1,Entradas totales 2,Faltas cometidas 1,Minutos jugados 88,Toques 52,Valoración 6.6,Posesiones perdidas 15,Goles esperados 0.1,Pases clave 1,MATCH_STAT_expectedAssists 0.0,2023-11-04 01:46:27.190623
DamiánSuárez,J1,2,2,6,3,Pases totales 27,Pases precisos 18,Balones en largo totales 6,Balones en largo precisos 1,Centros totales 4,Centros precisos 1,Duelos aéreos perdidos 1,Duelos aéreos ganados 1,Duelos perdidos 7,Duelos ganados 4,Regateado 1,Despejes totales 4,Intercepciones 2,Entradas totales 2,Faltas recibidas 1,Faltas cometidas 5,Minutos jugados 90,Toques 52,Valoración 6.7,Posesiones perdidas 16,Goles esperados 0,Pases clave 1,MATCH_STAT_expectedAssists 0.0,2023-11-04 01:46:33.857872
