Player full name,Game Week,AS Score,Marca Score,Mundo Deportivo Score,Sofa Score,Stat 1,Stat 2,Stat 3,Stat 4,Stat 5,Stat 6,Stat 7,Stat 8,Stat 9,Stat 10,Stat 11,Stat 12,Stat 13,Stat 14,Stat 15,Stat 16,Stat 17,Stat 18,Stat 19,Stat 20,Stat 21,Stat 22,Stat 23,Stat 24,Stat 25,Stat 26,Stat 27,Stat 28,Stat 29,Stat 30
ViktorTsygankov,J11,2,2,2,3,Pases totales 13,Pases precisos 12,Balones en largo totales 1,Balones en largo precisos 1,Centros totales 1,Minutos jugados 11,Toques 15,Valoración 6.6,Posesiones perdidas 2,MATCH_STAT_expectedAssists 0.0,2023-11-04 00:31:29.453353
ViktorTsygankov,J8,2,2,2,0,Pases totales 17,Pases precisos 12,Balones en largo totales 1,Duelos perdidos 4,Duelos ganados 1,Regateado 1,Pérdidas 1,Regates totales 1,Ocasiones claras falladas 1,Tiros fuera 1,Tiros al palo 1,Entradas totales 1,Faltas cometidas 1,Minutos jugados 45,Toques 26,Valoración 6,Posesiones perdidas 9,Goles esperados 0.5,MATCH_STAT_expectedAssists 0.1,2023-11-04 00:31:40.609487
ViktorTsygankov,J7,2,2,6,8,Pases totales 26,Pases precisos 23,Centros totales 4,Centros precisos 3,Duelos aéreos perdidos 2,Duelos aéreos ganados 1,Duelos perdidos 5,Duelos ganados 6,Regateado 1,Pérdidas 1,Regates totales 2,Regates completados 2,Tiros fuera 1,Tiros bloqueados en ataque 1,Despejes totales 2,Intercepciones 2,Faltas recibidas 3,Faltas cometidas 1,Minutos jugados 88,Toques 45,Valoración 7.6,Posesiones perdidas 7,Goles esperados 0.2,Pases clave 4,MATCH_STAT_expectedAssists 0.4,2023-11-04 00:31:47.314843
ViktorTsygankov,J6,6,2,2,4,Pases totales 31,Pases precisos 30,Centros totales 2,Centros precisos 2,Duelos aéreos ganados 1,Duelos perdidos 1,Duelos ganados 2,Pérdidas 1,Penaltis cometidos 1,Faltas recibidas 1,Faltas cometidas 1,Minutos jugados 61,Toques 38,Valoración 6.8,Posesiones perdidas 3,Goles esperados 0.1,Pases clave 2,MATCH_STAT_expectedAssists 0.2,2023-11-04 00:31:53.980779
ViktorTsygankov,J5,10,10,10,10,Pases totales 14,Pases precisos 11,Balones en largo totales 2,Balones en largo precisos 1,Centros totales 2,Centros precisos 1,Duelos aéreos perdidos 1,Duelos perdidos 6,Duelos ganados 4,Regates totales 2,Regates completados 1,Ocasiones claras falladas 1,Tiros a puerta 2,Goles 1,Entradas totales 2,Faltas recibidas 1,Faltas cometidas 4,Minutos jugados 68,Toques 28,Valoración 7.2,Posesiones perdidas 8,Goles esperados 0.5,Pases clave 1,MATCH_STAT_expectedAssists 0.0,2023-11-04 00:32:00.661244
ViktorTsygankov,J4,2,2,2,4,Pases totales 19,Pases precisos 16,Centros totales 5,Duelos aéreos ganados 2,Duelos perdidos 3,Duelos ganados 5,Regates totales 4,Regates completados 2,Ocasiones claras falladas 1,Tiros fuera 1,Tiros a puerta 1,Despejes totales 1,Faltas recibidas 2,Faltas cometidas 1,Fueras de juego 1,Minutos jugados 74,Toques 38,Valoración 6.8,Posesiones perdidas 14,Goles esperados 0.3,Pases clave 1,MATCH_STAT_expectedAssists 0.1,2023-11-04 00:32:07.339136
ViktorTsygankov,J3,2,2,2,3,Pases totales 18,Pases precisos 13,Centros totales 4,Duelos aéreos perdidos 1,Duelos aéreos ganados 3,Duelos perdidos 5,Duelos ganados 7,Regateado 1,Pérdidas 3,Regates totales 2,Regates completados 2,Ocasiones creadas 1,Tiros al palo 1,Despejes totales 1,Entradas totales 1,Faltas recibidas 1,Minutos jugados 79,Toques 35,Valoración 6.7,Posesiones perdidas 13,Goles esperados 0,Pases clave 1,MATCH_STAT_expectedAssists 0.0,2023-11-04 00:32:14.033227
ViktorTsygankov,J2,2,6,6,6,Pases totales 32,Pases precisos 25,Balones en largo totales 4,Balones en largo precisos 2,Centros totales 3,Duelos aéreos ganados 2,Duelos perdidos 6,Duelos ganados 8,Regateado 1,Pérdidas 1,Regates totales 5,Regates completados 1,Tiros a puerta 1,Despejes totales 1,Entradas totales 3,Faltas recibidas 2,Minutos jugados 90,Toques 60,Valoración 7.3,Posesiones perdidas 18,Goles esperados 0.0,Pases clave 1,MATCH_STAT_expectedAssists 0.2,2023-11-04 00:32:20.725775
ViktorTsygankov,J1,6,6,10,5,Pases totales 16,Pases precisos 13,Asistencias de gol 1,Centros totales 1,Centros precisos 1,Duelos aéreos perdidos 2,Duelos aéreos ganados 2,Duelos perdidos 5,Duelos ganados 6,Pérdidas 1,Regates totales 2,Ocasiones creadas 1,Despejes totales 1,Faltas recibidas 4,Minutos jugados 90,Toques 32,Valoración 7.1,Posesiones perdidas 9,Goles esperados 0,Pases clave 1,MATCH_STAT_expectedAssists 0.5,2023-11-04 00:32:27.417166
