Player full name,Game Week,AS Score,Marca Score,Mundo Deportivo Score,Sofa Score,Stat 1,Stat 2,Stat 3,Stat 4,Stat 5,Stat 6,Stat 7,Stat 8,Stat 9,Stat 10,Stat 11,Stat 12,Stat 13,Stat 14,Stat 15,Stat 16,Stat 17,Stat 18,Stat 19,Stat 20,Stat 21,Stat 22,Stat 23,Stat 24,Stat 25,Stat 26,Stat 27,Stat 28,Stat 29,Stat 30
ArnauPuigmal,J9,2,0,0,0,Pases totales 7,Pases precisos 6,Balones en largo totales 1,Duelos aéreos perdidos 1,Duelos perdidos 4,Regateado 1,Pérdidas 1,Regates totales 1,Minutos jugados 8,Toques 9,Valoración 6.1,Posesiones perdidas 3,Goles esperados 0,MATCH_STAT_expectedAssists 0.0,2023-11-04 04:39:28.278850
ArnauPuigmal,J8,2,2,2,1,Pases totales 25,Pases precisos 19,Balones en largo totales 4,Balones en largo precisos 1,Centros totales 6,Duelos perdidos 3,Duelos ganados 2,Regateado 1,Despejes totales 1,Intercepciones 1,Entradas totales 1,Penaltis cometidos 1,Faltas recibidas 1,Faltas cometidas 2,Minutos jugados 84,Toques 42,Valoración 6.2,Posesiones perdidas 13,Goles esperados 0,MATCH_STAT_expectedAssists 0.0,2023-11-04 04:39:34.942678
ArnauPuigmal,J7,2,2,2,3,Pases totales 7,Pases precisos 6,Centros totales 5,Centros precisos 2,Duelos aéreos perdidos 2,Duelos perdidos 3,Duelos ganados 2,Regates totales 1,Regates completados 1,Faltas recibidas 1,Faltas cometidas 1,Minutos jugados 26,Toques 16,Valoración 6.7,Posesiones perdidas 4,Goles esperados 0,Pases clave 2,MATCH_STAT_expectedAssists 0.1,2023-11-04 04:39:41.606160
ArnauPuigmal,J5,2,2,6,1,Pases totales 1,Pases precisos 1,Balones en largo totales 1,Balones en largo precisos 1,Duelos perdidos 2,Regates totales 1,Faltas cometidas 1,Minutos jugados 15,Toques 4,Valoración 6.2,Posesiones perdidas 2,Goles esperados 0,2023-11-04 04:39:50.468668
ArnauPuigmal,J3,-2,2,-2,1,Pases totales 10,Pases precisos 8,Duelos aéreos ganados 1,Duelos perdidos 3,Duelos ganados 1,Regates totales 1,Intercepciones 1,Faltas cometidas 2,Minutos jugados 45,Toques 16,Valoración 6.3,Posesiones perdidas 6,Goles esperados 0,MATCH_STAT_expectedAssists 0.0,2023-11-04 04:39:59.342901
ArnauPuigmal,J2,0,0,0,2,Pases totales 5,Pases precisos 5,Balones en largo totales 1,Balones en largo precisos 1,Centros totales 1,Duelos perdidos 1,Pérdidas 1,Minutos jugados 8,Toques 7,Valoración 6.5,Posesiones perdidas 2,Goles esperados 0,2023-11-04 04:40:05.969119
