Player full name,Game Week,AS Score,Marca Score,Mundo Deportivo Score,Sofa Score,Stat 1,Stat 2,Stat 3,Stat 4,Stat 5,Stat 6,Stat 7,Stat 8,Stat 9,Stat 10,Stat 11,Stat 12,Stat 13,Stat 14,Stat 15,Stat 16,Stat 17,Stat 18,Stat 19,Stat 20,Stat 21,Stat 22,Stat 23,Stat 24,Stat 25,Stat 26,Stat 27,Stat 28,Stat 29,Stat 30
CarlesPérez,J9,-2,2,10,3,Pases totales 23,Pases precisos 17,Balones en largo totales 2,Centros totales 1,Duelos aéreos perdidos 1,Duelos perdidos 11,Duelos ganados 4,Pérdidas 2,Regates totales 2,Regates completados 2,Tiros fuera 1,Tiros bloqueados en ataque 3,Intercepciones 1,Entradas totales 1,Faltas recibidas 1,Faltas cometidas 8,Minutos jugados 85,Toques 42,Valoración 6.6,Posesiones perdidas 14,Goles esperados 0.2,Pases clave 1,MATCH_STAT_expectedAssists 0.0,2023-11-04 04:53:01.324940
CarlesPérez,J7,2,2,2,4,Pases totales 10,Pases precisos 8,Balones en largo totales 4,Balones en largo precisos 3,Duelos aéreos perdidos 1,Duelos aéreos ganados 1,Duelos perdidos 5,Duelos ganados 6,Regateado 1,Pérdidas 1,Regates totales 1,Regates completados 1,Tiros bloqueados en ataque 1,Entradas totales 2,Faltas recibidas 2,Faltas cometidas 2,Minutos jugados 34,Toques 19,Valoración 6.8,Posesiones perdidas 3,Goles esperados 0.1,2023-11-04 04:53:10.236907
CarlesPérez,J1,-2,2,-2,1,Pases totales 11,Pases precisos 8,Balones en largo totales 1,Centros totales 3,Centros precisos 1,Duelos aéreos perdidos 1,Duelos perdidos 7,Duelos ganados 1,Pérdidas 4,Regates totales 1,Intercepciones 1,Faltas recibidas 1,Faltas cometidas 2,Fueras de juego 1,Minutos jugados 63,Toques 25,Valoración 6.3,Posesiones perdidas 11,Goles esperados 0,Pases clave 2,MATCH_STAT_expectedAssists 0.1,2023-11-04 04:53:28.117686
