Player full name,Game Week,AS Score,Marca Score,Mundo Deportivo Score,Sofa Score,Stat 1,Stat 2,Stat 3,Stat 4,Stat 5,Stat 6,Stat 7,Stat 8,Stat 9,Stat 10,Stat 11,Stat 12,Stat 13,Stat 14,Stat 15,Stat 16,Stat 17,Stat 18,Stat 19,Stat 20,Stat 21,Stat 22,Stat 23,Stat 24,Stat 25,Stat 26,Stat 27,Stat 28,Stat 29,Stat 30
IgorZubeldia,J11,6,6,6,3,Pases totales 46,Pases precisos 36,Balones en largo totales 7,Balones en largo precisos 2,Duelos aéreos perdidos 4,Duelos aéreos ganados 3,Duelos perdidos 7,Duelos ganados 7,Regates totales 1,Regates completados 1,Despejes totales 8,Tiros bloqueados en defensa 1,Intercepciones 2,Entradas totales 2,Errores que llevan a disparo 1,Faltas recibidas 1,Faltas cometidas 3,Minutos jugados 90,Toques 64,Valoración 6.6,Posesiones perdidas 11,2023-11-04 00:18:53.324552
IgorZubeldia,J10,2,6,6,2,Pases totales 50,Pases precisos 37,Balones en largo totales 11,Balones en largo precisos 4,Duelos aéreos perdidos 4,Duelos aéreos ganados 2,Duelos perdidos 5,Duelos ganados 3,Tiros bloqueados en ataque 1,Despejes totales 1,Faltas recibidas 1,Faltas cometidas 3,Minutos jugados 70,Toques 59,Valoración 6.5,Posesiones perdidas 14,Goles esperados 0.1,MATCH_STAT_expectedAssists 0.1,2023-11-04 00:18:59.977215
IgorZubeldia,J9,2,2,6,2,Pases totales 72,Pases precisos 64,Balones en largo totales 6,Balones en largo precisos 5,Duelos aéreos perdidos 3,Duelos aéreos ganados 1,Duelos perdidos 5,Duelos ganados 1,Despejes totales 5,Faltas cometidas 2,Minutos jugados 90,Toques 78,Valoración 6.5,Posesiones perdidas 8,Goles esperados 0,MATCH_STAT_expectedAssists 0.0,2023-11-04 00:19:06.620384
IgorZubeldia,J8,6,6,10,5,Pases totales 47,Pases precisos 32,Balones en largo totales 8,Duelos aéreos perdidos 1,Duelos aéreos ganados 3,Duelos perdidos 3,Duelos ganados 4,Despejes totales 2,Tiros bloqueados en defensa 2,Intercepciones 1,Entradas totales 1,Faltas cometidas 2,Minutos jugados 90,Toques 56,Valoración 7,Posesiones perdidas 15,Goles esperados 0,2023-11-04 00:19:13.274171
IgorZubeldia,J7,2,2,6,3,Pases totales 30,Pases precisos 25,Balones en largo totales 4,Duelos aéreos perdidos 1,Duelos aéreos ganados 1,Duelos perdidos 1,Duelos ganados 2,Intercepciones 1,Entradas totales 1,Faltas cometidas 1,Minutos jugados 29,Toques 33,Valoración 6.6,Posesiones perdidas 6,Goles esperados 0,2023-11-04 00:19:19.917054
IgorZubeldia,J6,6,6,10,3,Pases totales 60,Pases precisos 52,Balones en largo totales 6,Balones en largo precisos 3,Duelos aéreos perdidos 3,Duelos aéreos ganados 4,Duelos perdidos 3,Duelos ganados 5,Regates totales 1,Regates completados 1,Ocasiones claras falladas 1,Tiros fuera 1,Despejes totales 3,Intercepciones 1,Minutos jugados 83,Toques 67,Valoración 6.6,Posesiones perdidas 8,Goles esperados 0.1,Pases clave 1,MATCH_STAT_expectedAssists 0.0,2023-11-04 00:19:26.574041
IgorZubeldia,J5,6,6,2,2,Pases totales 53,Pases precisos 46,Balones en largo totales 4,Balones en largo precisos 2,Duelos aéreos perdidos 1,Duelos perdidos 5,Duelos ganados 3,Pérdidas 1,Despejes totales 4,Tiros bloqueados en defensa 1,Intercepciones 1,Entradas totales 2,Faltas recibidas 1,Faltas cometidas 3,Minutos jugados 90,Toques 66,Valoración 6.5,Posesiones perdidas 9,Goles esperados 0,MATCH_STAT_expectedAssists 0.0,2023-11-04 00:19:33.234844
IgorZubeldia,J4,2,2,6,1,Pases totales 70,Pases precisos 61,Balones en largo totales 5,Balones en largo precisos 2,Duelos aéreos perdidos 5,Duelos aéreos ganados 1,Duelos perdidos 6,Duelos ganados 1,Regateado 1,Despejes totales 2,Tiros bloqueados en defensa 2,Minutos jugados 90,Toques 80,Valoración 6.3,Posesiones perdidas 11,Goles esperados 0,MATCH_STAT_expectedAssists 0.0,2023-11-04 00:19:39.872326
IgorZubeldia,J3,2,2,2,6,Pases totales 58,Pases precisos 46,Balones en largo totales 9,Balones en largo precisos 2,Duelos aéreos perdidos 3,Duelos aéreos ganados 2,Duelos perdidos 6,Duelos ganados 4,Despejes totales 4,Tiros bloqueados en defensa 1,Intercepciones 1,Entradas como último hombre 1,Entradas totales 2,Faltas cometidas 3,Minutos jugados 90,Toques 69,Valoración 7.2,Posesiones perdidas 13,Goles esperados 0,MATCH_STAT_expectedAssists 0.0,2023-11-04 00:19:46.533940
IgorZubeldia,J2,-2,2,6,3,Pases totales 63,Pases precisos 48,Balones en largo totales 11,Balones en largo precisos 3,Duelos aéreos perdidos 2,Duelos perdidos 3,Duelos ganados 1,Regateado 1,Despejes totales 3,Tiros bloqueados en defensa 1,Entradas totales 1,Minutos jugados 90,Toques 70,Valoración 6.6,Posesiones perdidas 16,Goles esperados 0,MATCH_STAT_expectedAssists 0.0,2023-11-04 00:19:53.178162
IgorZubeldia,J1,2,2,6,3,Pases totales 47,Pases precisos 41,Balones en largo totales 5,Balones en largo precisos 2,Duelos aéreos perdidos 4,Duelos aéreos ganados 2,Duelos perdidos 5,Duelos ganados 3,Regateado 1,Tiros bloqueados en defensa 1,Intercepciones 1,Faltas recibidas 1,Minutos jugados 90,Toques 53,Valoración 6.7,Posesiones perdidas 6,Goles esperados 0,Pases clave 1,MATCH_STAT_expectedAssists 0.0,2023-11-04 00:19:59.824494
