Player full name,Game Week,AS Score,Marca Score,Mundo Deportivo Score,Sofa Score,Stat 1,Stat 2,Stat 3,Stat 4,Stat 5,Stat 6,Stat 7,Stat 8,Stat 9,Stat 10,Stat 11,Stat 12,Stat 13,Stat 14,Stat 15,Stat 16,Stat 17,Stat 18,Stat 19,Stat 20,Stat 21,Stat 22,Stat 23,Stat 24,Stat 25,Stat 26,Stat 27,Stat 28,Stat 29,Stat 30
YerayÁlvarez,J9,0,0,0,3,Pases totales 4,Pases precisos 4,Duelos ganados 1,Faltas recibidas 1,Minutos jugados 8,Toques 5,Valoración 6.6,Goles esperados 0,2023-11-04 04:31:58.865104
YerayÁlvarez,J8,2,-2,2,7,Pases totales 51,Pases precisos 41,Balones en largo totales 9,Balones en largo precisos 5,Duelos aéreos ganados 6,Duelos perdidos 1,Duelos ganados 10,Regateado 1,Tiros fuera 2,Tiros a puerta 1,Despejes totales 3,Tiros bloqueados en defensa 1,Intercepciones 1,Entradas totales 4,Minutos jugados 90,Toques 68,Valoración 7.4,Posesiones perdidas 12,Goles esperados 0.1,Pases clave 1,MATCH_STAT_expectedAssists 0.0,2023-11-04 04:32:05.532966
YerayÁlvarez,J7,2,2,2,3,Pases totales 12,Pases precisos 9,Balones en largo totales 4,Balones en largo precisos 3,Duelos aéreos ganados 2,Duelos perdidos 1,Duelos ganados 2,Despejes totales 6,Intercepciones 1,Faltas cometidas 1,Minutos jugados 45,Toques 21,Valoración 6.6,Posesiones perdidas 4,Goles esperados 0,Pases clave 1,2023-11-04 04:32:12.181639
YerayÁlvarez,J6,2,2,2,4,Pases totales 6,Pases precisos 6,Balones en largo totales 2,Balones en largo precisos 2,Duelos aéreos perdidos 1,Duelos perdidos 1,Duelos ganados 2,Despejes totales 1,Tiros bloqueados en defensa 1,Intercepciones 1,Entradas totales 1,Faltas recibidas 1,Minutos jugados 19,Toques 12,Valoración 6.9,Goles esperados 0,2023-11-04 04:32:18.838909
YerayÁlvarez,J5,2,2,2,2,Pases totales 10,Pases precisos 6,Balones en largo totales 3,Duelos aéreos perdidos 1,Duelos perdidos 1,Despejes totales 1,Minutos jugados 22,Toques 11,Valoración 6.4,Posesiones perdidas 4,Goles esperados 0,2023-11-04 04:32:25.504381
