Player full name,Game Week,AS Score,Marca Score,Mundo Deportivo Score,Sofa Score,Stat 1,Stat 2,Stat 3,Stat 4,Stat 5,Stat 6,Stat 7,Stat 8,Stat 9,Stat 10,Stat 11,Stat 12,Stat 13,Stat 14,Stat 15,Stat 16,Stat 17,Stat 18,Stat 19,Stat 20,Stat 21,Stat 22,Stat 23,Stat 24,Stat 25,Stat 26,Stat 27,Stat 28,Stat 29,Stat 30
Frenkie DeJong,J6,2,6,2,4,Pases totales 39,Pases precisos 39,Balones en largo totales 2,Balones en largo precisos 2,Duelos perdidos 1,Intercepciones 1,Faltas cometidas 1,Minutos jugados 36,Toques 41,Valoración 6.9,Goles esperados 0,MATCH_STAT_expectedAssists 0.2,2023-11-04 00:01:48.607739
Frenkie DeJong,J5,6,6,6,7,Pases totales 110,Pases precisos 104,Balones en largo totales 5,Balones en largo precisos 4,Centros totales 1,Centros precisos 1,Duelos aéreos ganados 1,Duelos ganados 2,Despejes totales 2,Intercepciones 1,Entradas totales 1,Minutos jugados 90,Toques 120,Valoración 7.4,Posesiones perdidas 6,Goles esperados 0,MATCH_STAT_expectedAssists 0.1,2023-11-04 00:01:55.232219
Frenkie DeJong,J4,10,6,10,7,Pases totales 115,Pases precisos 107,Balones en largo totales 4,Balones en largo precisos 3,Centros totales 4,Centros precisos 1,Duelos perdidos 5,Duelos ganados 4,Pérdidas 3,Regates totales 2,Regates completados 2,Tiros fuera 1,Tiros al palo 1,Despejes totales 1,Entradas totales 2,Faltas cometidas 2,Minutos jugados 90,Toques 135,Valoración 7.5,Posesiones perdidas 15,Goles esperados 0.1,MATCH_STAT_expectedAssists 0.5,2023-11-04 00:02:01.907897
Frenkie DeJong,J3,10,10,14,14,Pases totales 93,Pases precisos 87,Balones en largo totales 5,Balones en largo precisos 3,Centros totales 1,Duelos perdidos 6,Duelos ganados 5,Regateado 3,Pérdidas 1,Regates totales 3,Regates completados 2,Tiros a puerta 1,Goles 1,Tiros bloqueados en defensa 2,Entradas totales 1,Faltas recibidas 2,Faltas cometidas 1,Minutos jugados 90,Toques 108,Valoración 8.4,Posesiones perdidas 10,Goles esperados 0.3,Pases clave 5,MATCH_STAT_expectedAssists 0.4,2023-11-04 00:02:08.575735
Frenkie DeJong,J2,6,6,6,10,Pases totales 112,Pases precisos 109,Balones en largo totales 4,Balones en largo precisos 2,Centros totales 1,Duelos aéreos perdidos 2,Duelos aéreos ganados 2,Duelos perdidos 3,Duelos ganados 6,Regates totales 1,Regates completados 1,Ocasiones creadas 1,Despejes totales 1,Entradas totales 1,Faltas recibidas 2,Faltas cometidas 1,Minutos jugados 90,Toques 120,Valoración 8,Posesiones perdidas 5,Goles esperados 0,Pases clave 1,MATCH_STAT_expectedAssists 0.3,2023-11-04 00:02:15.212188
Frenkie DeJong,J1,6,6,10,8,Pases totales 131,Pases precisos 120,Balones en largo totales 3,Balones en largo precisos 2,Centros totales 1,Duelos aéreos perdidos 4,Duelos aéreos ganados 6,Duelos perdidos 7,Duelos ganados 11,Regates totales 4,Regates completados 2,Tiros bloqueados en ataque 1,Despejes totales 3,Faltas recibidas 3,Faltas cometidas 1,Minutos jugados 90,Toques 150,Valoración 7.6,Posesiones perdidas 16,Goles esperados 0.0,Pases clave 1,MATCH_STAT_expectedAssists 0.1,2023-11-04 00:02:21.858352
