Player full name,Game Week,AS Score,Marca Score,Mundo Deportivo Score,Sofa Score,Stat 1,Stat 2,Stat 3,Stat 4,Stat 5,Stat 6,Stat 7,Stat 8,Stat 9,Stat 10,Stat 11,Stat 12,Stat 13,Stat 14,Stat 15,Stat 16,Stat 17,Stat 18,Stat 19,Stat 20,Stat 21,Stat 22,Stat 23,Stat 24,Stat 25,Stat 26,Stat 27,Stat 28,Stat 29,Stat 30
TakefusaKubo,J11,6,6,6,6,Pases totales 14,Pases precisos 11,Balones en largo totales 1,Balones en largo precisos 1,Centros totales 5,Centros precisos 2,Duelos aéreos perdidos 1,Duelos perdidos 6,Duelos ganados 5,Pérdidas 1,Regates totales 3,Regates completados 1,Tiros fuera 1,Tiros bloqueados en ataque 1,Intercepciones 1,Faltas recibidas 4,Faltas cometidas 2,Minutos jugados 80,Toques 39,Valoración 7.2,Posesiones perdidas 15,Goles esperados 0.1,Pases clave 2,MATCH_STAT_expectedAssists 0.1,2023-11-03 22:12:13.408704
TakefusaKubo,J10,6,6,10,6,Pases totales 7,Pases precisos 5,Balones en largo totales 1,Balones en largo precisos 1,Asistencias de gol 1,Centros totales 3,Centros precisos 2,Duelos aéreos ganados 1,Duelos perdidos 1,Duelos ganados 2,Regates totales 1,Ocasiones creadas 2,Tiros fuera 1,Faltas recibidas 1,Minutos jugados 30,Toques 17,Valoración 7.3,Posesiones perdidas 7,Goles esperados 0.1,Pases clave 2,MATCH_STAT_expectedAssists 0.4,2023-11-03 22:12:20.109169
TakefusaKubo,J9,2,2,2,4,Pases totales 23,Pases precisos 20,Balones en largo totales 1,Balones en largo precisos 1,Centros totales 2,Centros precisos 1,Duelos perdidos 6,Duelos ganados 3,Regateado 2,Pérdidas 1,Regates totales 4,Regates completados 1,Ocasiones creadas 1,Tiros bloqueados en ataque 1,Entradas totales 2,Minutos jugados 65,Toques 41,Valoración 6.8,Posesiones perdidas 12,Goles esperados 0.0,Pases clave 2,MATCH_STAT_expectedAssists 0.3,2023-11-03 22:12:26.783261
TakefusaKubo,J8,14,10,14,12,Pases totales 23,Pases precisos 18,Centros totales 5,Duelos aéreos perdidos 2,Duelos perdidos 5,Duelos ganados 5,Regateado 1,Regates totales 1,Tiros a puerta 1,Tiros bloqueados en ataque 1,Goles 1,Tiros bloqueados en defensa 1,Entradas totales 3,Faltas recibidas 2,Faltas cometidas 1,Minutos jugados 90,Toques 46,Valoración 7.7,Posesiones perdidas 16,Goles esperados 0.2,Pases clave 2,MATCH_STAT_expectedAssists 0.1,2023-11-03 22:12:33.445848
TakefusaKubo,J6,10,6,14,10,Pases totales 22,Pases precisos 18,Balones en largo totales 1,Centros totales 4,Duelos aéreos perdidos 1,Duelos aéreos ganados 1,Duelos perdidos 3,Duelos ganados 4,Regateado 1,Pérdidas 1,Regates totales 2,Regates completados 2,Tiros a puerta 1,Goles 1,Despejes totales 1,Faltas recibidas 1,Faltas cometidas 1,Minutos jugados 90,Toques 38,Valoración 7.3,Posesiones perdidas 13,Goles esperados 0.1,MATCH_STAT_expectedAssists 0.0,2023-11-03 22:12:42.357177
TakefusaKubo,J5,10,6,10,10,Pases totales 26,Pases precisos 23,Centros totales 4,Centros precisos 2,Duelos aéreos perdidos 1,Duelos perdidos 4,Duelos ganados 7,Regates totales 5,Regates completados 3,Ocasiones creadas 2,Tiros a puerta 1,Tiros bloqueados en ataque 1,Intercepciones 2,Faltas recibidas 4,Faltas cometidas 1,Minutos jugados 90,Toques 52,Valoración 8,Posesiones perdidas 11,Goles esperados 0.1,Pases clave 4,MATCH_STAT_expectedAssists 0.7,2023-11-03 22:12:49.013934
TakefusaKubo,J4,18,18,22,19,Pases totales 34,Pases precisos 29,Balones en largo totales 2,Balones en largo precisos 1,Centros totales 3,Duelos perdidos 1,Duelos ganados 1,Regates totales 1,Tiros a puerta 2,Goles 2,Faltas recibidas 1,Fueras de juego 3,Minutos jugados 79,Toques 46,Valoración 8.8,Posesiones perdidas 12,Goles esperados 0.4,Pases clave 1,MATCH_STAT_expectedAssists 0.1,2023-11-03 22:12:55.664477
TakefusaKubo,J3,2,2,10,7,Pases totales 24,Pases precisos 17,Balones en largo totales 1,Balones en largo precisos 1,Centros totales 3,Centros precisos 2,Duelos aéreos perdidos 1,Duelos perdidos 4,Duelos ganados 3,Regateado 1,Regates totales 3,Regates completados 2,Ocasiones creadas 1,Tiros fuera 2,Intercepciones 1,Faltas recibidas 1,Faltas cometidas 2,Minutos jugados 75,Toques 38,Valoración 7.4,Posesiones perdidas 10,Goles esperados 0.1,Pases clave 2,MATCH_STAT_expectedAssists 0.3,2023-11-03 22:13:02.359432
TakefusaKubo,J2,6,2,10,7,Pases totales 26,Pases precisos 12,Balones en largo totales 2,Asistencias de gol 1,Centros totales 2,Centros precisos 1,Duelos ganados 4,Regates totales 1,Regates completados 1,Ocasiones creadas 1,Tiros bloqueados en ataque 1,Entradas totales 1,Faltas recibidas 2,Minutos jugados 78,Toques 38,Valoración 7.5,Posesiones perdidas 17,Goles esperados 0.1,Pases clave 1,MATCH_STAT_expectedAssists 0.1,2023-11-03 22:13:09.432561
TakefusaKubo,J1,10,10,14,13,Pases totales 16,Pases precisos 13,Centros totales 1,Duelos ganados 3,Regates totales 1,Regates completados 1,Tiros fuera 2,Tiros a puerta 1,Goles 1,Intercepciones 2,Entradas totales 2,Minutos jugados 74,Toques 29,Valoración 7.8,Posesiones perdidas 6,Goles esperados 0.3,Pases clave 1,MATCH_STAT_expectedAssists 0.0,2023-11-03 22:13:16.161712
