Player full name,Game Week,AS Score,Marca Score,Mundo Deportivo Score,Sofa Score,Stat 1,Stat 2,Stat 3,Stat 4,Stat 5,Stat 6,Stat 7,Stat 8,Stat 9,Stat 10,Stat 11,Stat 12,Stat 13,Stat 14,Stat 15,Stat 16,Stat 17,Stat 18,Stat 19,Stat 20,Stat 21,Stat 22,Stat 23,Stat 24,Stat 25,Stat 26,Stat 27,Stat 28,Stat 29,Stat 30
CarlosRomero,J11,6,2,6,3,Pases totales 23,Pases precisos 18,Balones en largo totales 2,Duelos perdidos 3,Duelos ganados 4,Regateado 1,Regates totales 2,Regates completados 1,Despejes totales 4,Intercepciones 1,Entradas totales 1,Faltas recibidas 2,Faltas cometidas 1,Minutos jugados 45,Toques 40,Valoración 6.6,Posesiones perdidas 9,MATCH_STAT_expectedAssists 0.0,2023-11-04 04:35:09.736160
CarlosRomero,J6,0,0,0,0,Duelos perdidos 1,Duelos ganados 1,Regateado 1,Faltas recibidas 1,Minutos jugados 1,Toques 1,Goles esperados 0,2023-11-04 04:35:23.055511
CarlosRomero,J5,2,6,6,4,Pases totales 26,Pases precisos 21,Balones en largo totales 1,Centros totales 5,Duelos perdidos 1,Duelos ganados 4,Regates totales 2,Regates completados 1,Tiros bloqueados en ataque 1,Entradas totales 3,Minutos jugados 62,Toques 48,Valoración 6.9,Posesiones perdidas 15,Goles esperados 0.1,MATCH_STAT_expectedAssists 0.1,2023-11-04 04:35:29.683713
