Player full name,Game Week,AS Score,Marca Score,Mundo Deportivo Score,Sofa Score,Stat 1,Stat 2,Stat 3,Stat 4,Stat 5,Stat 6,Stat 7,Stat 8,Stat 9,Stat 10,Stat 11,Stat 12,Stat 13,Stat 14,Stat 15,Stat 16,Stat 17,Stat 18,Stat 19,Stat 20,Stat 21,Stat 22,Stat 23,Stat 24,Stat 25,Stat 26,Stat 27,Stat 28,Stat 29,Stat 30
AlexCentelles,J11,-2,2,-2,1,Pases totales 17,Pases precisos 13,Balones en largo totales 4,Centros totales 3,Centros precisos 1,Duelos aéreos ganados 1,Duelos perdidos 3,Duelos ganados 2,Regateado 2,Tiros fuera 1,Despejes totales 1,Faltas recibidas 1,Faltas cometidas 1,Minutos jugados 45,Toques 29,Valoración 6.3,Posesiones perdidas 9,Goles esperados 0.0,Pases clave 1,MATCH_STAT_expectedAssists 0.0,2023-11-04 05:16:43.104425
AlexCentelles,J10,-2,2,2,1,Pases totales 32,Pases precisos 22,Balones en largo totales 9,Balones en largo precisos 5,Centros totales 4,Duelos aéreos ganados 1,Duelos perdidos 2,Duelos ganados 3,Regateado 2,Regates totales 1,Regates completados 1,Despejes totales 2,Intercepciones 3,Entradas totales 1,Minutos jugados 90,Toques 55,Valoración 6.2,Posesiones perdidas 16,Pases clave 1,MATCH_STAT_expectedAssists 0.0,2023-11-04 05:16:49.762269
AlexCentelles,J7,-2,2,2,1,Pases totales 41,Pases precisos 28,Balones en largo totales 7,Balones en largo precisos 3,Centros totales 8,Centros precisos 4,Duelos aéreos ganados 1,Duelos perdidos 2,Duelos ganados 4,Regates totales 1,Despejes totales 3,Tiros bloqueados en defensa 1,Intercepciones 1,Entradas totales 2,Faltas recibidas 1,Faltas cometidas 1,Minutos jugados 90,Toques 72,Valoración 6.3,Posesiones perdidas 21,Goles esperados 0,Pases clave 2,MATCH_STAT_expectedAssists 0.2,2023-11-04 05:17:00.906697
