Player full name,Game Week,AS Score,Marca Score,Mundo Deportivo Score,Sofa Score,Stat 1,Stat 2,Stat 3,Stat 4,Stat 5,Stat 6,Stat 7,Stat 8,Stat 9,Stat 10,Stat 11,Stat 12,Stat 13,Stat 14,Stat 15,Stat 16,Stat 17,Stat 18,Stat 19,Stat 20,Stat 21,Stat 22,Stat 23,Stat 24,Stat 25,Stat 26,Stat 27,Stat 28,Stat 29,Stat 30
MarkoDmitrović,J5,6,6,6,6,Pases totales 22,Pases precisos 16,Balones en largo totales 13,Balones en largo precisos 7,Despejes totales 1,Paradas desde dentro del área 2,Paradas 2,Salidas totales 1,Salidas precisas 1,Minutos jugados 90,Toques 29,Valoración 7.3,Posesiones perdidas 6,Goles esperados 0,Goles evitados 0.5,2023-11-04 04:46:07.517080
MarkoDmitrović,J3,2,2,2,2,Pases totales 19,Pases precisos 14,Balones en largo totales 12,Balones en largo precisos 7,Despejes totales 2,Paradas desde dentro del área 1,Paradas 1,Despejes con los puños 1,Salidas totales 2,Salidas precisas 1,Minutos jugados 90,Toques 24,Valoración 6.4,Posesiones perdidas 5,Goles esperados 0,Goles evitados -1.2,2023-11-04 04:46:14.155117
MarkoDmitrović,J2,2,-2,-2,0,Pases totales 32,Pases precisos 23,Balones en largo totales 11,Balones en largo precisos 2,Duelos perdidos 1,Regateado 1,Paradas desde dentro del área 3,Paradas 3,Salidas totales 1,Salidas precisas 1,Minutos jugados 90,Toques 43,Valoración 6,Posesiones perdidas 9,Goles esperados 0,Goles evitados -1.4,2023-11-04 04:46:20.769052
